"PROJECT_BUILDING","VP_BUILDING_CLASS","RESOURCE_ID","YIELD_CHANGE","STATUS","NOTES"
"Stone Works","BUILDINGCLASS_STONE_WORKS","STONE","Production+2","VP_DIRECT","Current project building exists"
"Granary","BUILDINGCLASS_GRANARY","WHEAT","Food+1","VP_DIRECT","Dynamic-resource visibility does not change local building bonus"
"Granary","BUILDINGCLASS_GRANARY","MAIZE","Food+1","VP_DIRECT","Dynamic-resource visibility does not change local building bonus"
"Granary","BUILDINGCLASS_GRANARY","RICE","Food+1","VP_DIRECT","Dynamic-resource visibility does not change local building bonus"
"Granary","BUILDINGCLASS_GRANARY","BANANAS","Food+1","VP_DIRECT","Dynamic-resource visibility does not change local building bonus"
"Customs Office","BUILDINGCLASS_MINT","BANANAS","Gold+2","VP_CLASS_ADAPTED","Current VP repurposes BUILDINGCLASS_MINT as Customs House; mapped to project Customs Office rather than literal Mint"
"PENDING_SMOKEHOUSE_EQUIVALENT","BUILDINGCLASS_SMOKEHOUSE","BISON","Food+1","BUILDING_GAP","Project has no direct Smokehouse"
"PENDING_SMOKEHOUSE_EQUIVALENT","BUILDINGCLASS_SMOKEHOUSE","DEER","Food+1","BUILDING_GAP","Project has no direct Smokehouse"
"Stable","BUILDINGCLASS_STABLE","CATTLE","Production+2","VP_DIRECT","Current project building exists"
"Stable","BUILDINGCLASS_STABLE","SHEEP","Production+2","VP_DIRECT","Current project building exists"
"PENDING_FORGE_EQUIVALENT","BUILDINGCLASS_FORGE","IRON","Production+1; Gold+1","BUILDING_GAP","Do not force onto Gunsmith/Steelworks until building-line review"
"Stable","BUILDINGCLASS_STABLE","HORSES","Production+2","VP_DIRECT","Dynamic horse system retained"
"Factory","BUILDINGCLASS_FACTORY","COAL","Production+2; Science+2","VP_DIRECT","Project reveal timing overrides VP reveal timing"
"Research Lab","BUILDINGCLASS_LABORATORY","OIL","Science+4","VP_DIRECT","Project resource reveal timing retained"
"Research Lab","BUILDINGCLASS_LABORATORY","ALUMINUM","Science+4","VP_DIRECT","Project resource reveal timing retained"
"Research Lab","BUILDINGCLASS_LABORATORY","URANIUM","Science+4","VP_DIRECT","Project Mine improvement override does not affect building interaction"
"Market","BUILDINGCLASS_MARKET","SPICES","Food+1; Production+1","VP_DIRECT","Dynamic resource system retained"
"Market","BUILDINGCLASS_MARKET","SUGAR","Food+1; Gold+1","VP_DIRECT","Dynamic resource system retained"
"Stone Works","BUILDINGCLASS_STONE_WORKS","SALT","Gold+2","VP_DIRECT","Natural salt deposits only; Saltworks remains separate"
"Stone Works","BUILDINGCLASS_STONE_WORKS","MARBLE","Production+1; Gold+1","VP_DIRECT","Current project building exists"
"Stone Works","BUILDINGCLASS_STONE_WORKS","JADE","Production+1; Gold+1","VP_DIRECT","Jade corrected to Quarry under current VP"
"Arena","BUILDINGCLASS_COLOSSEUM","OLIVES","Food+1; Gold+1","VP_CLASS_ADAPTED","Project Arena is VP Colosseum-equivalent entertainment building"
"Arena","BUILDINGCLASS_COLOSSEUM","PERFUME","Gold+1; Culture+1","VP_CLASS_ADAPTED","Project Arena is VP Colosseum-equivalent entertainment building"
"PENDING_FORGE_EQUIVALENT","BUILDINGCLASS_FORGE","COPPER","Gold+2","BUILDING_GAP","Do not force onto Gunsmith/Steelworks until building-line review"
"Amphitheater","BUILDINGCLASS_AMPHITHEATER","DYES","Gold+1; Culture+1","VP_DIRECT","Dynamic resource system retained"
"Amphitheater","BUILDINGCLASS_AMPHITHEATER","SILK","Gold+1; Culture+1","VP_DIRECT","Current project fixed-map treatment retained"
"Amphitheater","BUILDINGCLASS_AMPHITHEATER","LAPIS_LAZULI","Culture+2","VP_DIRECT","Project name maps to VP RESOURCE_LAPIS"
"Caravansary","BUILDINGCLASS_CARAVANSARY","TRUFFLES","Gold+2","VP_DIRECT","Current project building exists"
"Caravansary","BUILDINGCLASS_CARAVANSARY","COTTON","Production+1; Culture+1","VP_DIRECT","Dynamic resource system retained"
