RECORD_ID,PROJECT_ERA,UNLOCK_TYPE,CONTENT_EN,TECH_GATE,CIVIC_GATE,GATE_MODE,SOURCE,SOURCE_UNLOCK,DECISION,REASON,NOTES
"AA001","Atomic","UNIT","Drone","Computers","Rapid Deployment","TECH+CIVIC","Civ6 GS","Computers","CROSS_GATE","Unmanned reconnaissance needs digital control and an organizational doctrine for rapid modern deployment","Support/recon role; exact combat rules later"
"AA002","Atomic","SYSTEM","Digital Information Processing","Computers","","TECH","Civ6 GS; project adaptation","Computers","KEEP","Core technological identity of the node","Supports later Robotics, AI, software and information systems"
"AA003","Atomic","SYSTEM","Additional Spy Capacity","Computers","Cold War","TECH+CIVIC","Civ6 GS","Computers / Cold War","MERGE","Civ6 grants spy capacity from both Computers and Cold War; combine into one coherent digital-intelligence milestone","Avoid double stacking"
"AA004","Atomic","SYSTEM","Tourism information-network bonus","Computers","Mass Media","TECH+CIVIC","Civ6 GS","Computers","ADAPT","Civ6 increases all Tourism after Computers; retain concept but require existing mass-media institutions","Exact +25% rather than doubling is the GS baseline candidate"
"AA005","Atomic","CITY_BUILDING","Flood Barrier","Ecology","Environmentalism","TECH+CIVIC","Civ6 GS remap","Computers","REMAP_TECH","Coastal flood protection is environmental/civil engineering, not fundamentally computing","Re-evaluate in Atomic Part B Ecology + Environmentalism"
"AA006","Atomic","CORPORATION_SECTOR","Computing Hardware corporations","Computers","Capitalism","TECH+CIVIC","Project corporation map","COMPUTING_HARDWARE","KEEP","Existing corporation gate imported unchanged",""
"AA007","Atomic","CORPORATION_SECTOR","Software & IT Services corporations","Computers","Capitalism","TECH+CIVIC","Project corporation map","SOFTWARE_IT","KEEP",""
"AA008","Atomic","CORPORATION_SECTOR","Consumer Electronics upgrade","Computers","","TECH","Project corporation map","CONSUMER_ELECTRONICS upgrade","KEEP",""
"AA009","Atomic","CORPORATION_SECTOR","Digital Platforms upgrade","Computers","","TECH","Project corporation map","DIGITAL_PLATFORMS upgrade","KEEP",""
"AA010","Atomic","CORPORATION_SECTOR","Finance & Banking digital upgrade","Computers","","TECH","Project corporation map","FINANCE_BANKING upgrade","KEEP",""
"AA011","Atomic","CORPORATION_SECTOR","Insurance digital upgrade","Computers","","TECH","Project corporation map","INSURANCE upgrade","KEEP",""
"AA012","Atomic","CORPORATION_SECTOR","Semiconductor computing upgrade","Computers","","TECH","Project corporation map","SEMICONDUCTORS upgrade","KEEP",""
"AA013","Atomic","CITY_BUILDING","Nuclear Power Plant","Nuclear Fission","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Nuclear Fission","CROSS_GATE","Fission physics enables reactor power, while safe grid/infrastructure integration is a civil-engineering task","Upgrades/replaces prior Power Plant fuel mode"
"AA014","Atomic","PROJECT","Manhattan Project","Nuclear Fission","Nuclear Program","TECH+CIVIC","Civ6 GS; prior Modern decision","Nuclear Fission","CROSS_GATE","Weaponization requires fission technology and a concentrated state nuclear program",""
"AA015","Atomic","PROJECT","Build Nuclear Device","Nuclear Fission","Nuclear Program","TECH+CIVIC","Civ6 GS","Nuclear Fission","CROSS_GATE","Available only after Manhattan Project and with Uranium",""
"AA016","Atomic","SYSTEM","Convert to Nuclear Power","Nuclear Fission","Civil Engineering","TECH+CIVIC","Civ6 GS","Nuclear Fission","KEEP","Existing fossil power plant can be converted to nuclear power","Reactor aging/risk may be audited later"
"AA017","Atomic","RESOURCE_EXPLOITATION","Uranium for nuclear fuel","Nuclear Fission","","TECH","Civ5/Civ6 synthesis","Uranium","KEEP","Atomic Theory revealed Uranium; Nuclear Fission creates peaceful/military fuel demand",""
"AA018","Atomic","SYSTEM","Global Telecommunications Network","Telecommunications","","TECH","Civ6 GS + project adaptation","Telecommunications","KEEP","Core technology is high-capacity long-distance communications, not a naval unit","Builds on Telegraph/Radio/Electronics"
