resource,id,name,lat,lon,radius_km,weight,source_short,source_url
AMBER,BALTIC_AMBER,Baltic amber province,54.90,20.00,230,5,"Well-known amber mines occur in the Baltic Sea coastal region","https://jogg.cug.edu.cn/en/article/doi/10.15964/j.cnki.027jgg.2019.S1.013"
AMBER,DOMINICAN_AMBER,Dominican Republic amber district,19.45,-70.65,85,4,"Dominican Republic is one of the major well-known amber mining regions","https://jogg.cug.edu.cn/en/article/doi/10.15964/j.cnki.027jgg.2019.S1.013"
AMBER,CHIAPAS_AMBER,Chiapas Mexico amber district,16.75,-92.65,90,3,"Mexico is one of the major well-known amber mining regions","https://jogg.cug.edu.cn/en/article/doi/10.15964/j.cnki.027jgg.2019.S1.013"
AMBER,MYANMAR_AMBER,Hukawng Valley Myanmar amber district,26.25,96.55,100,4,"Myanmar is one of the major well-known amber mining regions","https://jogg.cug.edu.cn/en/article/doi/10.15964/j.cnki.027jgg.2019.S1.013"
JADE,HPAKANT_JADE,Hpakant jadeite district Myanmar,25.62,96.32,110,5,"Myanmar is the traditional and most important gem-quality jadeite source","https://www.gia.edu/gems-gemology/spring-2000-burmese-jade-hughes?lang=en"
JADE,MOTAGUA_JADE,Motagua Valley jadeite Guatemala,15.05,-89.75,120,4,"Guatemala is the second-largest important jadeite producer","https://www.gia.edu/gems-gemology/spring-2024-ice-jade"
JADE,HOTAN_JADE,Hotan-Kunlun nephrite Xinjiang,37.10,79.95,170,5,"Hotan and the Kunlun belt are among China's most important nephrite districts","https://www.gia.edu/gia-news-research/nephrite-jade-road-evolution-green-nephrite-market"
JADE,MANASI_JADE,Manasi green nephrite Xinjiang,44.30,86.25,110,4,"Manasi is a major green nephrite source in Xinjiang","https://www.gia.edu/gia-news-research/nephrite-jade-road-evolution-green-nephrite-market"
JADE,BC_JADE,Northern British Columbia nephrite,58.40,-129.85,210,4,"British Columbia is one of the economically important green nephrite sources","https://www.gia.edu/gia-news-research/nephrite-jade-road-evolution-green-nephrite-market"
JADE,SIBERIA_JADE,Siberian nephrite belt,52.00,103.50,190,4,"Siberia is one of the economically important green nephrite sources","https://www.gia.edu/gia-news-research/nephrite-jade-road-evolution-green-nephrite-market"
JADE,ITOIGAWA_JADE,Itoigawa jadeite Japan,37.05,137.85,65,2,"Itoigawa area contains historically important jadeite occurrences","https://research.amnh.org/users/gharlow/IGC2000HighRes.pdf"
JADE,COWELL_JADE,Cowell nephrite South Australia,-33.68,136.92,90,2,"Australia is among countries with economically significant nephrite deposits","https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2023.1047707/full"
JADE,NEW_ZEALAND_JADE,South Island pounamu New Zealand,-43.25,170.20,210,3,"New Zealand is among regions with important nephrite deposits","https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2023.1047707/full"
JADE,KOREA_JADE,Korean nephrite district,37.90,127.75,80,2,"South Korea is among regions with documented nephrite deposits","https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2023.1047707/full"
LAPIS_LAZULI,BADAKHSHAN_LAPIS,Badakhshan lapis lazuli Afghanistan,36.25,70.75,110,5,"Afghanistan is the traditional and leading source of fine lapis lazuli","https://www.gia.edu/lapis-lazuli-description-v1"
LAPIS_LAZULI,CHILE_LAPIS,Ovalle-Andes lapis lazuli Chile,-30.90,-70.70,100,4,"Chile is one of the world's major lapis lazuli sources","https://www.gia.edu/lapis-lazuli-description-v1"
LAPIS_LAZULI,BAIKAL_LAPIS,Lake Baikal lapis lazuli Russia,51.70,103.50,120,4,"Lake Baikal in Siberia is one of the major lapis lazuli sources","https://www.gia.edu/lapis-lazuli-description-v1"
LAPIS_LAZULI,PAKISTAN_LAPIS,Pakistan lapis lazuli source,35.35,74.90,90,2,"Pakistan is a documented minor lapis lazuli source","https://www.gia.edu/lapis-lazuli-description-v1"
LAPIS_LAZULI,ANGOLA_LAPIS,Angola lapis lazuli source,-12.50,16.50,120,2,"Angola is a documented minor lapis lazuli source","https://www.gia.edu/lapis-lazuli-description-v1"
