CATEGORY,ITEM,HEALTH_PER_WORKED_COPY,STATUS,BASIS
RESOURCE,CATTLE,1,SOURCE_CONFIRMED_PATTERN,"Health & Plague author explicitly used worked cattle as a +1 Health example and stated multiple worked copies stack."
RESOURCE,SHEEP,1,PROJECT_ADAPTED,"Nutritive livestock category, matched to cattle scale."
RESOURCE,BISON,1,PROJECT_ADAPTED,"Nutritive hunted livestock/large game category."
RESOURCE,DEER,1,PROJECT_ADAPTED,"Nutritive hunted game category."
RESOURCE,FISH,1,PROJECT_ADAPTED,"Nutritive marine food category."
RESOURCE,WHEAT,1,PROJECT_ADAPTED,"Staple food crop category."
RESOURCE,RICE,1,PROJECT_ADAPTED,"Staple food crop category."
RESOURCE,MAIZE,1,PROJECT_ADAPTED,"Staple food crop category."
RESOURCE,BANANAS,1,PROJECT_ADAPTED,"Fruit food crop category."
RESOURCE,CITRUS,1,PROJECT_ADAPTED,"Fruit food crop category."
RESOURCE,OLIVES,1,PROJECT_ADAPTED,"Food crop category."
RESOURCE,COAL,-1,SOURCE_CONFIRMED_PATTERN,"Health & Plague author explicitly listed coal among additive worked-resource Health maluses."
RESOURCE,IRON,-1,SOURCE_CONFIRMED_PATTERN,"Health & Plague author explicitly listed iron among additive worked-resource Health maluses."
RESOURCE,OIL,-1,SOURCE_CONFIRMED_PATTERN,"Health & Plague author explicitly listed oil among additive worked-resource Health maluses."
FEATURE,FLOOD_PLAINS,-1,PROJECT_ADAPTED,"Waterborne/vector disease exposure proxy; consistent with source feature-based Health and reported unhealthy floodplain cities."
FEATURE,MARSH,-1,PROJECT_ADAPTED,"Wetland disease exposure proxy."
FEATURE,JUNGLE,-1,PROJECT_ADAPTED,"Tropical/vector disease exposure proxy."
FEATURE,RAINFOREST,-1,PROJECT_ADAPTED,"Alias of Jungle category where the map uses rainforest naming."
RULE,TRADED_RESOURCE,0,SOURCE_CONFIRMED,"No Health from merely traded copies; Health comes from worked local copies."
RULE,OWNED_UNWORKED_RESOURCE,0,SOURCE_CONFIRMED,"No Health from an owned but unworked copy under the v11 worked-yield design."
RULE,MULTIPLE_WORKED_COPIES,STACK,SOURCE_CONFIRMED,"Each worked copy contributes independently."
