"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"LA001","Late Antiquity","UNIT","Pikeman","Military Tactics","","TECH","Civ6 GS; Civ5 BNW remap","Military Tactics / Civil Service","KEEP","Pike warfare is a battlefield-technical/tactical development; project has a dedicated Military Tactics technology","Civ5 Civil Service placement is not retained"
"LA002","Late Antiquity","UNIT","Landsknecht","Military Tactics","","TECH","Civ5 BNW","Civil Service","DEFER_CIV_UNIQUE","Historically/culturally specific unit is not promoted to generic roster","Could return as civilization/mercenary content"
"LA003","Late Antiquity","WONDER","Huey Teocalli","Military Tactics","","TECH","Civ6 GS","Military Tactics","DEFER_WONDER","World Wonder audit separate",""
"LA004","Late Antiquity","UNIT","Military Engineer","Military Engineering","Military Training","TECH+CIVIC","Civ6 GS","Military Engineering + Armory","CROSS_GATE","Technical military construction plus organized military institution","Requires Armory"
"LA005","Late Antiquity","CITY_BUILDING","Armory","Military Engineering","Military Training","TECH+CIVIC","Civ6 GS; Civ5 BNW remap","Military Engineering / Steel","CROSS_GATE","Armory needs specialized military engineering and an established training organization","Barracks remains Military Tradition"
"LA006","Late Antiquity","RESOURCE_REVEAL","Niter","Military Engineering","","TECH","Civ6 GS","Military Engineering","KEEP","Civ6 placement is functionally useful: engineers and military mining identify strategic saltpeter before gunpowder weaponization","Gunpowder later turns it into a weapon-system input"
"LA007","Late Antiquity","RESOURCE_EXPLOITATION","Niter mining","Mining","","TECH","Civ6 GS","Mine","KEEP","Once revealed, existing Mine improvement can exploit Niter","No new saltpeter tile improvement"
"LA008","Late Antiquity","ROUTE_INFRASTRUCTURE","Military Road construction by Military Engineer","Military Engineering","Military Training","TECH+CIVIC","Civ6 GS","Medieval Road / Military Engineer","ADAPT_TILE","Military Engineer can create or upgrade strategic road segments","Exact movement bonus later"
"LA009","Late Antiquity","UNIT","Trebuchet","Military Engineering","","TECH","Civ6 GS","Military Engineering","REMAP_TECH","Fully developed trebuchet fits later project Physics better; do not force it into Late Antiquity","Physics audit will decide final unit"
"LA010","Late Antiquity","TILE_IMPROVEMENT","Fort construction by Military Engineer","Military Engineering","Military Training","TECH+CIVIC","Civ6 GS; Civ5 Engineering","Military Engineer / Fort","MERGE","Ordinary Fort already exists from Engineering; Military Engineer gains a faster/specialized construction role","Does not create a Great General Citadel"
"LA011","Late Antiquity","TILE_IMPROVEMENT","Airstrip / Missile Silo","Military Engineering","","TECH","Civ6 GS","Military Engineer","REMAP_TECH","Far too late technologically for Late Antiquity","Re-evaluate at Flight / nuclear technologies"
"LA012","Late Antiquity","UNIT","Knight","Stirrups","","TECH","Civ6 GS; Civ5 Chivalry remap","Stirrups / Chivalry","KEEP","Stirrup is the project's explicit material gate for mature heavy cavalry","Represents late-antique/early-medieval heavy cavalry; naming can be revisited in unit-roster audit"
"LA013","Late Antiquity","YIELD_UPGRADE","Pasture +1 Food","Stirrups","","TECH","Civ6 GS","Stirrups","REMAP_TECH","Stirrups improve mounted warfare, not pastoral productivity","Move agricultural labor effect to Horse Collar"
"LA014","Late Antiquity","DIPLOMACY","Defensive Pact","Stirrups","","TECH","Civ5 BNW remap","Chivalry","MOVE_TO_CIVIC","Defensive pact is diplomatic/institutional, not a riding technology","Handled under Civil Service/alliances"
"LA015","Late Antiquity","SYSTEM","Draft Animal Labor","Horse Collar","","TECH","Historical addition","Horse Collar","KEEP","Horse collar greatly improves usable draft power and therefore agricultural/transport productivity","Project-added historical node"
"LA016","Late Antiquity","YIELD_UPGRADE","Farm +1 Production","Horse Collar","","TECH","Historical adaptation","Horse Collar","ADAPT","Represents improved animal traction in plowing and hauling","Initial value subject to balance; can later require access to Horses/Cattle if resource model supports it"
