resource,id,name,lat,lon,radius_km,weight,source_short,source_url
DYES,BENGAL_INDIGO,Bengal indigo production region,24.50,89.00,330,5,"Early colonial Indian indigo industry was centered in Bengal deltaic districts before shifting westward","https://www.cambridge.org/core/journals/comparative-studies-in-society-and-history/article/plantation-indigo-and-synthetic-indigo-european-planters-and-the-redefinition-of-a-colonial-commodity/D219BA642B0115501E6A96DD8FA2F45E"
DYES,BIHAR_INDIGO,North Bihar indigo tracts,26.20,85.60,280,5,"Muzaffarpur Darbhanga Saran and Champaran were major nineteenth-century indigo districts","https://www.cambridge.org/core/journals/british-journal-for-the-history-of-science/article/plantation-science-improving-natural-indigo-in-colonial-india-18601913/428C51DDE5FDB86C4841FEAE9CBDD648"
DYES,OAXACA_COCHINEAL,Oaxaca cochineal region,17.10,-96.70,250,5,"Oaxaca was a major indigenous and later global production center for cochineal red dye","https://hmsc.harvard.edu/online-exhibits/cochineal1/color-power/"
DYES,SW_ASIA_DYE_CROPS,Southwest Asia and eastern Mediterranean dye-crop zone,36.50,36.00,600,3,"Woad weld madder indigo and safflower were domesticated dye crops of Southwest Asia and the Mediterranean basin","https://academic.oup.com/book/11300/chapter-abstract/159881953"
INCENSE,DHOFAR_FRANKINCENSE,Dhofar frankincense region Oman,17.10,54.10,180,5,"Boswellia sacra is native in Dhofar and adjacent southern Arabia","https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A127065-1/general-information"
INCENSE,YEMEN_FRANKINCENSE,Hadramaut-Mahrah frankincense region Yemen,15.80,50.00,260,4,"Boswellia sacra native range includes southern Yemen","https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A127065-1/general-information"
INCENSE,SOMALIA_FRANKINCENSE,Northern and northeastern Somalia frankincense region,10.00,48.20,380,5,"Boswellia sacra native range includes northern and northeastern Somalia","https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A127065-1/general-information"
INCENSE,ETHIOPIA_MYRRH,Eastern and southeastern Ethiopia myrrh region,8.50,41.50,450,4,"Commiphora myrrha is native from eastern and southeastern Ethiopia toward northeastern Kenya and Arabia","https://powo.science.kew.org/taxon/127741-1"
INCENSE,NE_KENYA_MYRRH,Northeastern Kenya myrrh region,3.00,40.50,350,3,"Commiphora myrrha native range reaches northeastern Kenya","https://powo.science.kew.org/taxon/127741-1"
SILK,LOWER_YANGTZE_SILK,Zhejiang-Jiangsu sericulture region China,31.10,120.30,350,5,"UNESCO identifies Zhejiang and Jiangsu near Shanghai as core Chinese sericulture areas","https://ich.unesco.org/en/RL/sericulture-and-silk-craftsmanship-of-china-00197"
SILK,SICHUAN_SILK,Chengdu-Sichuan sericulture region China,30.70,104.10,280,5,"UNESCO identifies Chengdu in Sichuan as a core Chinese sericulture area","https://ich.unesco.org/en/RL/sericulture-and-silk-craftsmanship-of-china-00197"
SILK,KARNATAKA_SILK,Karnataka-Mysore mulberry sericulture region India,13.00,76.50,430,5,"FAO reports Karnataka as by far India's largest mulberry area in its sericulture survey","https://www.fao.org/4/X9895E/x9895e04.htm"
SILK,WEST_BENGAL_SILK,West Bengal mulberry sericulture region India,23.30,87.50,300,3,"FAO documents substantial mulberry cultivation for sericulture in West Bengal","https://www.fao.org/4/X9895E/x9895e04.htm"
SILK,SOUTH_INDIA_SILK,Andhra Pradesh-Tamil Nadu sericulture belt India,14.50,79.00,430,4,"FAO reports most Indian mulberry area in the tropical southern states including Karnataka Andhra Pradesh and Tamil Nadu","https://www.fao.org/4/X9895E/x9895e04.htm"
