FOUNDER,REGION,PROJECT_ERA,GREAT_PERSON,SIGNATURE_FIRM,FOUNDER_STATUS,CANONICAL_SECTOR_ID,PRODUCT_SERVICE,TECH_GATE,CIVIC_GATE
"Levi Strauss","Europe/North America","Industrial","Great Merchant","Levi Strauss & Co.","Founder","TEXTILES_APPAREL_SPORTING","Jeans","Mass Production","Capitalism"
"Estée Lauder","Europe/North America","Atomic","Great Merchant","Estée Lauder","Co-founder","COSMETICS_PERSONAL_CARE","Cosmetics","Chemistry","Capitalism"
"Milton Hershey","Europe/North America","Industrial","Great Merchant","Hershey","Founder","FOOD_PROCESSING","Chocolate","Refrigeration","Capitalism"
"Henri Nestlé","Europe/North America","Industrial","Great Engineer","Nestlé precursor","Founder","FOOD_PROCESSING","Processed/Nutritional Food","Refrigeration","Capitalism"
"Henry J. Heinz","Europe/North America","Industrial","Great Merchant","Heinz","Founder","FOOD_PROCESSING","Processed Food","Refrigeration","Capitalism"
"Gabrielle Chanel","Europe/North America","Modern","Great Merchant","Chanel","Founder","TEXTILES_APPAREL_SPORTING","Fashion Goods / Perfume","Mass Production","Capitalism"
"Ingvar Kamprad","Europe/North America","Modern","Great Merchant","IKEA","Founder","FURNITURE_HOUSEHOLD","Furniture","Mass Production","Capitalism"
"Conrad Hilton","Europe/North America","Modern","Great Merchant","Hilton","Founder","HOSPITALITY_TRAVEL","Hotel Services","Railroad","Capitalism"
"J. Willard Marriott","Europe/North America","Modern","Great Merchant","Marriott","Co-founder","HOSPITALITY_TRAVEL","Hotel Services","Railroad","Capitalism"
"Marcus Goldman","Europe/North America","Industrial","Great Merchant","Goldman Sachs","Founder","FINANCE_BANKING","Financial Services","Banking","Capitalism"
"J. Pierpont Morgan","Europe/North America","Industrial","Great Merchant","J.P. Morgan lineage","Lineage founder / partner","FINANCE_BANKING","Financial Services","Banking","Capitalism"
"John D. Rockefeller","Europe/North America","Industrial","Great Merchant","Standard Oil","Founder / principal organizer","PETROLEUM_REFINING","Refined Petroleum Products","Refining","Capitalism"
"Carl Benz","Europe/North America","Industrial","Great Engineer","Benz & Cie.","Founder","AUTOMOTIVE","Automobiles","Mass Production","Capitalism"
"Henry Ford","Europe/North America","Modern","Great Engineer","Ford Motor Co.","Founder / principal organizer","AUTOMOTIVE","Automobiles","Combustion","Capitalism"
"Robert Bosch","Europe/North America","Industrial","Great Engineer","Bosch","Founder","MACHINERY_COMPONENTS","Precision Components","Replaceable Parts","Capitalism"
"Werner von Siemens","Europe/North America","Industrial","Great Engineer","Siemens & Halske","Co-founder","ELECTRICAL_EQUIPMENT","Electrical Equipment","Electricity","Capitalism"
"Gerard Philips","Europe/North America","Industrial","Great Engineer","Philips","Co-founder","ELECTRICAL_EQUIPMENT","Electrical Equipment","Electricity","Capitalism"
"Lars Magnus Ericsson","Europe/North America","Industrial","Great Engineer","Ericsson","Founder","TELECOMMUNICATIONS","Telecom Equipment/Service","Telegraph","Capitalism"
"John Deere","Europe/North America","Industrial","Great Engineer","Deere","Founder","MACHINERY_COMPONENTS","Farm Machinery","Replaceable Parts","Capitalism"
"Herbert H. Dow","Europe/North America","Industrial","Great Engineer","Dow Chemical","Founder","CHEMICALS_MATERIALS","Industrial Chemicals","Chemistry","Capitalism"
