EVENT_ID,CATEGORY,GREP_POINTS,COOLDOWN_TURNS,SCOPE,REQUIRES_MOVEMENT_CAPACITY,TRIGGER_LIMIT,STACK_RULE,NOTES
PRESSURE_TICK_1_GRIEVANCE,STRUCTURAL_PRESSURE,4,5,POLITICAL_UNIT,TRUE,RECURRING,EXCLUSIVE_WITH_OTHER_PRESSURE_TICKS,"Movement Capacity + exactly 1 active grievance"
PRESSURE_TICK_2_GRIEVANCES,STRUCTURAL_PRESSURE,6,5,POLITICAL_UNIT,TRUE,RECURRING,EXCLUSIVE_WITH_OTHER_PRESSURE_TICKS,"Movement Capacity + exactly 2 active grievances"
PRESSURE_TICK_3PLUS_GRIEVANCES,STRUCTURAL_PRESSURE,8,5,POLITICAL_UNIT,TRUE,RECURRING,EXCLUSIVE_WITH_OTHER_PRESSURE_TICKS,"Movement Capacity + 3 or more active grievances; recurring tick cap"
SELF_DETERMINATION_MILESTONE,POLITICAL_MILESTONE,12,0,POLITICAL_UNIT,FALSE,ONCE_PER_MILESTONE_ID,STACKS,"First adoption/unlock of a self-determination or national-sovereignty milestone"
LABOR_ORGANIZATION_MILESTONE,POLITICAL_MILESTONE,10,0,POLITICAL_UNIT,FALSE,ONCE_PER_MILESTONE_ID,STACKS,"First adoption/unlock of a mass labor-organization milestone"
SUFFRAGE_CIVIL_RIGHTS_MILESTONE,POLITICAL_MILESTONE,10,0,POLITICAL_UNIT,FALSE,ONCE_PER_MILESTONE_ID,STACKS,"First adoption/unlock of suffrage/civil-rights political mobilization milestone"
ANTI_COLONIAL_MILESTONE,POLITICAL_MILESTONE,12,0,COLONIAL_OR_SUBJECT_UNIT,FALSE,ONCE_PER_MILESTONE_ID,STACKS,"First adoption/unlock of anti-colonial or decolonization milestone"
REVOLUTIONARY_CONSTITUTIONAL_MILESTONE,POLITICAL_MILESTONE,10,0,POLITICAL_UNIT,FALSE,ONCE_PER_MILESTONE_ID,STACKS,"First adoption/unlock of revolutionary constitutional or regime-change milestone"
COLONIAL_POLITICAL_DEVELOPMENT_MILESTONE,COLONIAL_DEVELOPMENT,8,0,COLONIAL_OR_SUBJECT_UNIT,FALSE,ONCE_PER_MILESTONE_ID,STACKS,"Political institution or self-government development milestone"
AUTONOMY_REQUEST_DENIED,COLONIAL_GRIEVANCE,12,20,COLONIAL_OR_SUBJECT_UNIT,FALSE,COOLDOWN,STACKS,"Formal autonomy/self-government request denied by metropole"
SUSTAINED_COLONIAL_BURDEN,COLONIAL_GRIEVANCE,6,15,COLONIAL_OR_SUBJECT_UNIT,TRUE,COOLDOWN,STACKS,"High colonial tax/policy/administrative burden sustained for qualifying period"
SUSTAINED_OCCUPATION_RESISTANCE,OCCUPATION_GRIEVANCE,6,15,OCCUPIED_POLITICAL_UNIT,TRUE,COOLDOWN,STACKS,"Foreign occupation burden sustained while an organized movement exists"
WAR_WEARINESS_CROSS_30,WAR_SHOCK,4,0,POLITICAL_UNIT,FALSE,ONCE_PER_WAR,STACKS,"Empire War Weariness crosses 30 from below during the current war state"
WAR_WEARINESS_CROSS_60,WAR_SHOCK,8,0,POLITICAL_UNIT,FALSE,ONCE_PER_WAR,STACKS,"Empire War Weariness crosses 60 from below during the current war state"
WAR_WEARINESS_CROSS_90,WAR_SHOCK,12,0,POLITICAL_UNIT,FALSE,ONCE_PER_WAR,STACKS,"Empire War Weariness crosses 90 from below during the current war state"
CAPITAL_LOST,POLITICAL_SHOCK,12,0,POLITICAL_UNIT,FALSE,ONCE_PER_CAPITAL_LOSS_EVENT,STACKS,"Capital loss creates revolutionary political shock; recovery/reconquest does not erase already-awarded GReP"
CORE_CITY_LOST,POLITICAL_SHOCK,5,0,POLITICAL_UNIT,FALSE,PER_EVENT_WITH_TURN_CAP,STACKS_UP_TO_10_PER_TURN,"Loss of a non-capital core city; capital uses CAPITAL_LOST instead"
REGIME_CRISIS_TRIGGERED,POLITICAL_CRISIS,10,20,POLITICAL_UNIT,FALSE,COOLDOWN,STACKS,"Only for an actual crisis/forced regime-break event; ordinary voluntary government switching is excluded"
REFORM_BLOCKED,POLITICAL_CRISIS,8,20,POLITICAL_UNIT,TRUE,COOLDOWN,STACKS,"A formal reform demand is blocked while an organized movement exists"
MASS_MOVEMENT_SUCCESS,POLITICAL_MOVEMENT,6,15,POLITICAL_UNIT,TRUE,COOLDOWN,STACKS,"Successful mass political mobilization short of a completed revolution"
GREAT_PHILOSOPHER_GREP_EFFECT,UNIQUE_GREAT_PERSON,VARIABLE_5_TO_20,0,POLITICAL_UNIT,FALSE,PERSON_SPECIFIC,STACKS,"Value is defined by the named Great Philosopher ability; no generic automatic award"
SCRIPTED_HISTORICAL_EVENT,SCRIPTED,VARIABLE,0,DEFINED_BY_EVENT,FALSE,EVENT_SPECIFIC,EVENT_SPECIFIC,"Reserved for explicit historical/scenario events; must declare anti-exploit and repeat rules"
