BUILDING_EN,AUDIT_DOMAIN,WHY_REAUDIT,CURRENT_STATUS,AUTHORITATIVE_SOURCE_PRIORITY
"Granary","HEALTH + RESOURCE","Health system plus Wheat/Bananas/Deer and project Maize/Rice resource ecology must be reconciled","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + project 47-resource roster -> project decision -> BNW fallback"
"Stone Works","HEALTH + RESOURCE","Health/Disease layer and Stone/Marble resource interaction","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + project 47-resource roster -> BNW"
"Recycling Center","HEALTH/DISEASE + GS ENVIRONMENT","Disease/pollution cleanup must reconcile Health & Plague with GS-style environment","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + Gathering Storm adaptation -> project"
"Market","RESOURCE","Check whether adopted resource layer adds any explicit More Luxuries interaction; do not invent one","MOD_SOURCE_REAUDIT_REQUIRED","More Luxuries/project resource rules -> BNW"
"Mint","RESOURCE","Gold/Silver plus project luxury roster must be audited against any adopted resource rule","MOD_SOURCE_REAUDIT_REQUIRED","Project resource rules -> BNW"
"Aqueduct","HEALTH","Health & Plague gives explicit fresh-water/health role in addition to base growth behavior","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague -> project -> BNW"
"Harbor","HEALTH + RESOURCE + CIV6","Coastal Health/resource interactions plus Civ6/Civ5 structural merge","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + project 47-resource roster + Civ6/GS -> project"
"Lighthouse","RESOURCE","Sea-resource bonus must cover project sea resources including Coral where appropriate","MOD_SOURCE_REAUDIT_REQUIRED","Project 47-resource roster -> BNW"
"Stable","RESOURCE","Pasture/livestock bonus must use project Cattle/Sheep/Horses resource roster","MOD_SOURCE_REAUDIT_REQUIRED","Project 47-resource roster -> BNW"
"Cloth Mill","ENLIGHTENMENT + RESOURCE","Pouakai exact effect restored; resource mapping must use project roster","MOD_SOURCE_REAUDIT_REQUIRED","Pouakai Enlightenment Era -> project 47-resource roster -> project"
"Seaport","RESOURCE","Worked sea resource bonus must include the actual project sea-resource set","MOD_SOURCE_REAUDIT_REQUIRED","Project 47-resource roster -> BNW"
"Hospital","HEALTH","Health & Plague adds Health/plague role; BNW Food effect alone is incomplete","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague -> project -> BNW fallback for unaffected base fields"
"Sewer","HEALTH + CIV6","Disease/sanitation role plus Civ6 direct-building adaptation","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + Civ6/GS -> project"
"Factory","HEALTH/DISEASE + GS POWER","Industrial disease/pollution and power interaction must layer over production stats","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + Gathering Storm power -> project -> BNW base"
"Apothecary","HEALTH","Adopted health-system building; must not be balanced as generic Food/Science building first","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague adaptation -> project"
"Temple","HEALTH/BELIEF + RESOURCE","Health & Plague can modify Temple Health via beliefs; resource interactions need explicit source","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + project religion/resource rules -> BNW/Civ6"
"Airport","HEALTH/DISEASE + CIV6/CIV5","High connectivity/tourism disease layer must be added to aviation building baseline","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague + project aviation system -> BNW"
"Medical Lab","HEALTH","Health & Plague treatment role must be layered over or explicitly replace base carryover only by documented project decision","MOD_SOURCE_REAUDIT_REQUIRED","Health & Plague -> project -> BNW fallback"
"Bank","RESOURCE","Check explicit luxury-resource financial interactions before final lock","MOD_SOURCE_REAUDIT_REQUIRED","Project resource rules -> BNW"
