CIVIC_EN,CIVIC_KO,PROJECT_ERA,ERA_INDEX,SOCIAL_PREREQUISITES_AND,SOURCE,EDGE_STATUS,SUCCESSORS
Code of Laws,법전,Ancient,1,,CIV6_ROOT,STRUCTURAL_ROOT,Craftsmanship; Foreign Trade
Craftsmanship,장인 정신,Ancient,1,Code of Laws,CIV6,KEEP,Military Tradition; State Workforce
Foreign Trade,외국 무역,Ancient,1,Code of Laws,CIV6,KEEP,Early Empire; Mysticism; Naval Tradition; Mercenaries; Medieval Faires
Military Tradition,군사 전통,Ancient,1,Craftsmanship,CIV6,KEEP,Military Training; Naval Tradition
State Workforce,국가 노동력,Ancient,1,Craftsmanship,CIV6,KEEP,Games and Recreation; Political Philosophy; Military Training
Early Empire,초기 제국,Ancient,1,Foreign Trade,CIV6,KEEP,Political Philosophy; Drama and Poetry; Recorded History; Civil Service
Mysticism,신비주의,Ancient,1,Foreign Trade,CIV6,KEEP,Drama and Poetry; Theology
Games and Recreation,오락과 여가,Classical,2,State Workforce,CIV6,KEEP,Professional Sports
Political Philosophy,정치 철학,Classical,2,State Workforce; Early Empire,CIV6,KEEP,Recorded History; Defensive Tactics
Drama and Poetry,드라마와 시,Classical,2,Mysticism; Early Empire,CIV6_MOD,HISTORICAL_ADJUST,Court Culture
Military Training,군사 훈련,Classical,2,Military Tradition; State Workforce,CIV6_MOD,HISTORICAL_ADJUST,Defensive Tactics; Mercenaries
Recorded History,역사 기록,Classical,2,Early Empire; Political Philosophy,CIV6_MOD,HISTORICAL_ADJUST,Theology; Civil Service
Defensive Tactics,방어술,Late Antiquity,3,Military Training; Political Philosophy,CIV6_MOD,KEEP_V2,Feudalism; Scorched Earth
Theology,신학,Late Antiquity,3,Mysticism; Recorded History,CIV6_MOD,KEEP_V2,Divine Right; Scholasticism; Reformed Church
Naval Tradition,해군 전통,Late Antiquity,3,Military Tradition; Foreign Trade,CIV6_MOD,KEEP_V2,Exploration
