CATEGORY,ERA,ITEM,GATE,FINAL_EFFECT,STATUS,NOTES
"Yield","Late Antiquity","Horse Collar Pasture bonus","Horse Collar","No Pasture Food bonus","LOCKED","Horse Collar keeps Draft Animal Labor and Farm +1 Production"
"Science/Culture","Classical","Paper-record synergy","Papermaking + Recorded History","Paper Workshop +1 Science and +1 Culture","LOCKED",""
"Culture","Early Medieval","Great Work of Writing copying","Block Printing + Written Culture","Each Great Work of Writing in a city with Woodblock Printing House +1 Culture","LOCKED","No Tourism yet"
"Science","Early Medieval","Algebra scholarship","Algebra + Written Culture","Library, Scriptorium, Paper Workshop each +1 Science","LOCKED",""
"Gold","Early Medieval","Algebra administration","Algebra + Code of Laws","Courthouse and Market each +1 Gold","LOCKED",""
"Economy","Early Medieval","Mercenary Recruitment","Mercenaries","Eligible land units bought in a Barracks city cost 15% less Gold; +1 Gold maintenance for 20 turns","LOCKED",""
"Great Works","Early Medieval","Palace collection expansion","Court Culture","Palace +1 Great Work of Writing slot and +1 Great Work of Art slot","LOCKED",""
"Great People","High Medieval","University Scholasticism","Education + Scholasticism","Each University +1 Great Scientist Point per turn","LOCKED",""
"Science","Exploration","Scientific Revolution university bonus","Education + Scientific Revolution","Cities with University +10% Science","LOCKED",""
"Diplomacy","Enlightenment","Public Sphere war opinion","Public Sphere","Justified/Casus Belli war grievance/reputation penalty -20%; Surprise/Unjustified +20%","LOCKED",""
"Yield","Industrial","Fertilizer Pasture bonus","Fertilizer","Pasture +1 Food","LOCKED","Civ5-style"
"Yield","Atomic","Robotics Pasture automation","Robotics","Pasture +1 Food","LOCKED","Replaceable Parts already provides +1 Production"
"Espionage","Information","AI-assisted intelligence","Advanced AI + Information Warfare","Offensive Spy mission duration -10%; enemy Spy detection chance +10%","LOCKED",""
"Projects","Information","Synthetic Technocracy forecasting","Predictive Systems + Optimization Imperative","While Synthetic Technocracy adopted: +30% Production toward city projects","LOCKED","Civ6 government identity retained"
