"POLICY_EN","PROJECT_ERA","CIVIC_EN","DECISION","SOURCE_KIND","SOURCE","SOURCE_UNLOCK","QUALITATIVE_EFFECT","ADAPTATION_NOTES","NUMERIC_STATUS","SOURCE_FILE","RECORD_ID","POLICY_SLOT","FINAL_EFFECT"
"Discipline","Ancient","Code of Laws","KEEP","CIV6","Civ6 GS","Code of Laws","Direct Civ6 Code of Laws policy set retained","Discipline; God King; Survey; Urban Planning; exact numeric effects later","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C003","Military","+5 Combat Strength against Barbarians"
"God King","Ancient","Code of Laws","KEEP","CIV6","Civ6 GS","Code of Laws","Direct Civ6 Code of Laws policy set retained","Discipline; God King; Survey; Urban Planning; exact numeric effects later","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C003","Economic","+1 Faith and +1 Gold in the Capital"
"Survey","Ancient","Code of Laws","KEEP","CIV6","Civ6 GS","Code of Laws","Direct Civ6 Code of Laws policy set retained","Discipline; God King; Survey; Urban Planning; exact numeric effects later","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C003","Military","Recon units gain +100% experience"
"Urban Planning","Ancient","Code of Laws","KEEP","CIV6","Civ6 GS","Code of Laws","Direct Civ6 Code of Laws policy set retained","Discipline; God King; Survey; Urban Planning; exact numeric effects later","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C003","Economic","+1 Production in every city"
"Agoge","Ancient","Craftsmanship","KEEP","CIV6","Civ6 GS","Craftsmanship","Direct Civ6 Craftsmanship policies retained","Ilkum; Agoge; convert Builder references to Worker where needed","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C005","Military","+50% Production toward Ancient and Classical melee, ranged, and anti-cavalry units"
"Ilkum","Ancient","Craftsmanship","KEEP","CIV6","Civ6 GS","Craftsmanship","Direct Civ6 Craftsmanship policies retained","Ilkum; Agoge; convert Builder references to Worker where needed","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C005","Economic","+30% Production toward Workers"
"Colonization","Ancient","Early Empire","KEEP","CIV6","Civ6 GS","Early Empire","Direct Civ6 Early Empire expansion/border policies retained","Colonization; Land Surveyors; Limitanei","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C020","Economic","+50% Production toward Settlers"
"Land Surveyors","Ancient","Early Empire","KEEP","CIV6","Civ6 GS","Early Empire","Direct Civ6 Early Empire expansion/border policies retained","Colonization; Land Surveyors; Limitanei","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C020","Economic","Tile purchase cost -20%"
"Limitanei","Ancient","Early Empire","KEEP","CIV6","Civ6 GS","Early Empire","Direct Civ6 Early Empire expansion/border policies retained","Colonization; Land Surveyors; Limitanei","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C020","Military","Garrisoned cities suffer 25% less occupation/unrest pressure"
"Caravansaries","Ancient","Foreign Trade","KEEP","CIV6","Civ6 GS","Foreign Trade","Direct Civ6 Foreign Trade policies retained","Caravansaries; Maritime Industries; exact values later","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C009","Economic","+2 Gold from every Trade Route"
"Maritime Industries","Ancient","Foreign Trade","KEEP","CIV6","Civ6 GS","Foreign Trade","Direct Civ6 Foreign Trade policies retained","Caravansaries; Maritime Industries; exact values later","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C009","Military","+100% Production toward Ancient and Classical naval units"
"Maneuver","Ancient","Military Tradition","KEEP","CIV6","Civ6 GS","Military Tradition","Direct Civ6 Military Tradition policies retained","Maneuver; Strategos","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C014","Military","+50% Production toward Ancient and Classical light and heavy cavalry units"
"Strategos","Ancient","Military Tradition","KEEP","CIV6","Civ6 GS","Military Tradition","Direct Civ6 Military Tradition policies retained","Maneuver; Strategos","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C014","Wildcard","+2 Great General Points per turn"
"Inspiration","Ancient","Mysticism","KEEP","CIV6","Civ6 GS","Mysticism","Direct Civ6 Mysticism Great Person policies retained","Inspiration; Revelation","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C025","Wildcard","+2 Great Scientist Points per turn"
"Revelation","Ancient","Mysticism","KEEP","CIV6","Civ6 GS","Mysticism","Direct Civ6 Mysticism Great Person policies retained","Inspiration; Revelation","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C025","Wildcard","+2 Great Prophet Points per turn"
"Conscription","Ancient","State Workforce","KEEP","CIV6","Civ6 GS","State Workforce","Direct Civ6 State Workforce policies retained","Corvée; Conscription","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C016","Military","Unit maintenance -1 Gold per unit per turn"
"Corvée","Ancient","State Workforce","KEEP","CIV6","Civ6 GS","State Workforce","Direct Civ6 State Workforce policies retained","Corvée; Conscription","LOCKED_V1","tech_reference/ancient_tech_civic_unlock_audit_v2.csv","C016","Economic","+15% Production toward Ancient and Classical Wonders"
"Literary Tradition","Classical","Drama and Poetry","KEEP","CIV6","Civ6 GS","Drama and Poetry","Direct Civ6 Drama and Poetry policy retained","Literary Tradition","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC019","Wildcard","+2 Great Writer Points per turn"
"Insulae","Classical","Games and Recreation","ADAPT","CIV6","Civ6 GS","Games and Recreation","Retain Civ6 Insulae as an urban-housing policy but remove district dependence","Apply Housing benefit to sufficiently developed cities; exact threshold/value later","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC003","Economic","+1 Housing in cities with at least 2 institutional building chains"
"Equestrian Orders","Classical","Military Training","ADAPT","CIV6","Civ6 GS","Military Training","Retain Civ6 Military Training policies; convert Encampment/Harbor district references to direct military/naval city buildings","Raid; Veterancy; Equestrian Orders","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC023","Military","Each improved Horses and Iron source yields +1 strategic resource per turn"
"Raid","Classical","Military Training","ADAPT","CIV6","Civ6 GS","Military Training","Retain Civ6 Military Training policies; convert Encampment/Harbor district references to direct military/naval city buildings","Raid; Veterancy; Equestrian Orders","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC023","Military","Pillage and coastal-raid yields +50%"
"Veterancy","Classical","Military Training","ADAPT","CIV6","Civ6 GS","Military Training","Retain Civ6 Military Training policies; convert Encampment/Harbor district references to direct military/naval city buildings","Raid; Veterancy; Equestrian Orders","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC023","Military","+30% Production toward Barracks, Armory, Military Academy, Harbor, Lighthouse, and Seaport"
"Charismatic Leader","Classical","Political Philosophy","KEEP","CIV6","Civ6 GS","Political Philosophy","Direct Civ6 Political Philosophy diplomatic policies retained","Charismatic Leader; Diplomatic League","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC010","Diplomatic","+2 Influence points per turn toward earning Envoys"
"Diplomatic League","Classical","Political Philosophy","KEEP","CIV6","Civ6 GS","Political Philosophy","Direct Civ6 Political Philosophy diplomatic policies retained","Charismatic Leader; Diplomatic League","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC010","Diplomatic","The first Envoy sent to each city-state counts as 2 Envoys"
"Natural Philosophy","Classical","Recorded History","ADAPT","CIV6","Civ6 GS","Recorded History","Natural Philosophy retained with Campus adjacency translated to science buildings; Praetorium is excluded because baseline Governors are not adopted","Praetorium dropped","LOCKED_V1","tech_reference/classical_tech_civic_unlock_audit_v1.csv","CC027","Economic","Library and University each provide +1 Science"
"Meritocracy","Late Antiquity","Civil Service","ADAPT","CIV6","Civ6 GS","Civil Service","Retain Civ6 Meritocracy but replace specialty-district count with developed-city institutional/building count","Exact Culture formula later","LOCKED_V1","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv","LC019","Economic","+1 Culture per distinct institutional building chain in a city, maximum +4 Culture per city"
"Retainers","Late Antiquity","Civil Service","KEEP","CIV6","Civ6 GS","Civil Service","Direct Civ6 Civil Service garrison/amenity policy retained","Retainers; exact effect later","LOCKED_V1","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv","LC020","Military","+1 Amenity in cities with a garrisoned unit"
"Bastions","Late Antiquity","Defensive Tactics","KEEP","CIV6","Civ6 GS","Defensive Tactics","Direct Civ6 Defensive Tactics defensive policy retained","Bastions; exact combat modifier later","LOCKED_V1","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv","LC001","Military","+6 City Defense Strength and +5 City Ranged Strength"
"Limes","Late Antiquity","Defensive Tactics","KEEP","CIV6","Civ6 GS","Defensive Tactics","Direct Civ6 Defensive Tactics wall-production policy retained","Limes; exact production modifier later","LOCKED_V1","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv","LC002","Military","+100% Production toward defensive buildings"
"Naval Infrastructure","Late Antiquity","Naval Tradition","ADAPT","CIV6","Civ6 GS","Naval Tradition","Direct Civ6 Naval Tradition policy retained; Harbor district adjacency translated to Harbor/Lighthouse/Seaport and port-city output","Naval Infrastructure","LOCKED_V1","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv","LC012","Economic","Gold output from Harbor, Lighthouse, and Seaport buildings +50%"
"Navigation","Late Antiquity","Naval Tradition","KEEP","CIV6","Civ6 GS","Naval Tradition","Direct Civ6 Naval Tradition Great Admiral policy retained","Navigation","LOCKED_V1","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv","LC013","Wildcard","+2 Great Admiral Points per turn"
"Scripture","Late Antiquity","Theology","ADAPT","CIV6","Civ6 GS","Theology","Direct Civ6 Theology policy retained; Holy Site adjacency translated to Temple/Holy Site tile/religious-building output","Scripture","LOCKED_V1","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv","LC009","Economic","Shrine, Temple, and Holy Site tile each provide +1 Faith"
