RECORD_ID,PROJECT_ERA,UNLOCK_TYPE,CONTENT_EN,TECH_GATE,CIVIC_GATE,GATE_MODE,SOURCE,SOURCE_UNLOCK,DECISION,REASON,NOTES
"RN001","Renaissance","CITY_BUILDING","Bank","Banking","","TECH","Civ5 BNW; Civ6 GS","Banking","KEEP","Both source games agree; direct financial-institution fit","Requires Market"
"RN002","Renaissance","CITY_BUILDING","Constabulary","","Diplomatic Service","CIVIC","Civ5 BNW remap","Banking","MOVE_TO_CIVIC","Counter-espionage/policing institution is administrative rather than banking technology","Exact anti-spy modifier later"
"RN003","Renaissance","SYSTEM","Additional Trade Route Capacity","Banking","Foreign Trade","TECH+CIVIC","Civ5 BNW","Banking","CROSS_GATE","Financial infrastructure expands an existing trade system","Exact +1 capacity provisional"
"RN004","Renaissance","YIELD_UPGRADE","Quarry Gold bonus","Banking","","TECH","Civ6 GS","Banking","DROP","Quarry income has no strong historical or functional connection to banking",""
"RN005","Renaissance","CORPORATION_SECTOR","Finance & Banking corporations","Banking","Capitalism","TECH+CIVIC","Project corporation map","FINANCE_BANKING","KEEP","Existing corporation-sector gate imported without reinvention","Capitalism civic occurs later, so actual founding waits until both gates"
"RN006","Renaissance","CORPORATION_SECTOR","Insurance corporations","Banking","Capitalism","TECH+CIVIC","Project corporation map","INSURANCE","KEEP","Existing corporation-sector gate imported without reinvention","Capitalism civic occurs later"
"RN007","Renaissance","CITY_BUILDING","Printing Press","Printing","","TECH","Civ5 Printing Press; Civ6 Printing; project chain","Printing Press / Printing","KEEP","Movable-type/mechanized print production belongs to the material technology","Upgrades/replaces Woodblock Printing House"
"RN008","Renaissance","SYSTEM","Mass Print Circulation","Printing","Print Culture","TECH+CIVIC","Civ6 Printing + project civic synthesis","Printing","CROSS_GATE","Printing technology alone creates capacity; widespread print culture creates mass circulation and readership",""
"RN009","Renaissance","YIELD_UPGRADE","Great Works of Writing Tourism x2","Printing","Print Culture","TECH+CIVIC","Civ6 GS","Printing","CROSS_GATE","Civ6 technology effect is retained but institutionalized through Print Culture","Exact x2 may be retained initially then balanced"
"RN010","Renaissance","DIPLOMACY","Diplomatic Visibility +1","Printing","Diplomatic Service","TECH+CIVIC","Civ6 GS","Printing","CROSS_GATE","Printed information networks improve intelligence only when a formal diplomatic service exists",""
