RECORD_ID,PROJECT_ERA,UNLOCK_TYPE,CONTENT_EN,TECH_GATE,CIVIC_GATE,GATE_MODE,SOURCE,SOURCE_UNLOCK,DECISION,REASON,NOTES
"MA001","Modern","UNIT","Triplane","Flight","","TECH","Civ5 BNW","Flight","KEEP","Civ V priority; early military aviation","Requires Oil if retained from source"
"MA002","Modern","UNIT","Great War Bomber","Flight","","TECH","Civ5 BNW","Flight","KEEP","Civ V priority; early bomber stage",""
"MA003","Modern","UNIT","Observation Balloon","Flight","Mobilization","TECH+CIVIC","Civ6 GS","Flight","CROSS_GATE","Aerial reconnaissance support requires flight technology and organized modern army doctrine",""
"MA004","Modern","TILE_INFRASTRUCTURE","Airstrip","Flight","","TECH","Civ6 GS adapted","Flight","KEEP","Ordinary tile infrastructure; no Aerodrome district","Military Engineer construction rule can be retained"
"MA005","Modern","CITY_BUILDING","Hangar","Flight","","TECH","Civ6 GS adapted","Flight","KEEP","Convert Aerodrome building into direct city aviation building","Requires city air capacity; exact prerequisite later"
"MA006","Modern","DISTRICT","Aerodrome","","","NONE","Civ6 GS","Flight","REMOVE_DISTRICT","Project uses Civ V-style city structure","Airstrip/Hangar retained"
"MA007","Modern","CORPORATION_SECTOR","Aerospace Manufacturing corporations","Flight","Capitalism","TECH+CIVIC","Project corporation map","AEROSPACE","KEEP","Existing sector gate imported unchanged",""
"MA008","Modern","CITY_BUILDING","Broadcast Center","Radio","Mass Media","TECH+CIVIC","Civ6 GS; Civ5 Broadcast Tower synthesis","Radio / Broadcast Tower","CROSS_GATE","Broadcast technology plus mass-media institutions are both required","Direct city building"
"MA009","Modern","CITY_BUILDING","Film Studio","Radio","Mass Media","TECH+CIVIC","Civ6 GS adapted","Film Studio","CROSS_GATE","Mass electronic media and film-distribution infrastructure","Generic film-sector building; civ-unique American Film Studio effects not copied"
"MA010","Modern","TILE_IMPROVEMENT","Seaside Resort","Advanced Flight","Mass Media","TECH+CIVIC","Civ6 GS remap","Radio","REMAP_TECH","Mass tourism is better tied to modern air travel and mass media than to radio electronics alone","Tourism improvement; exact appeal rule later"
"MA011","Modern","RESOURCE_REVEAL","Aluminum","Electricity","","TECH","Civ6 Radio remap; historical electrolysis","Radio","MOVE_TO_TECH","Industrial aluminum production depends fundamentally on electrical electrolysis; Electricity is the better project gate","Cross-era correction to Industrial audit"
"MA012","Modern","WONDER","Broadway / Eiffel Tower / National Intelligence Agency","","","NONE","Civ5 BNW","Radio","DEFER_WONDER","World/National Wonder audit separate",""
"MA013","Modern","CORPORATION_SECTOR","Film, Media & Entertainment sector upgrade","Radio","","TECH","Project corporation map","MEDIA_FILM_ENTERTAINMENT upgrade","KEEP","Existing sector upgrade imported unchanged",""
"MA014","Modern","UNIT","Landship","Combustion","","TECH","Civ5 BNW","Combustion","KEEP","Civ V priority; early armored vehicle stage before mature Tank","Requires Oil"
"MA015","Modern","UNIT","Supply Convoy","Combustion","Mobilization","TECH+CIVIC","Civ6 GS","Combustion","CROSS_GATE","Motorized logistics requires internal combustion and mass-army organization",""
"MA016","Modern","SYSTEM","Motorized Land Trade","Combustion","Capitalism","TECH+CIVIC","Civ5 BNW adaptation","Combustion trade-route range","CROSS_GATE","Internal-combustion transport extends commercial land logistics","Exact range bonus later"
"MA017","Modern","UNIT","Destroyer","Combined Arms","","TECH","Civ5 Combustion / Civ6 Combined Arms","Combustion / Combined Arms","REMAP_TECH","Dedicated modern fleet doctrine fits Combined Arms better while Combustion already owns Landship",""
"MA018","Modern","UNIT","Tank","Combined Arms","","TECH","Civ6 Combustion / Civ5 Combined Arms","Combustion / Combined Arms","REMAP_TECH","Civ V progression Landship -> Tank is preserved by placing mature Tank at Combined Arms",""
"MA019","Modern","CORPORATION_SECTOR","Automotive sector upgrade","Combustion","","TECH","Project corporation map","AUTOMOTIVE upgrade","KEEP","Existing upgrade imported unchanged",""
"MA020","Modern","CORPORATION_SECTOR","Machinery & Precision Components sector upgrade","Combustion","","TECH","Project corporation map","MACHINERY_COMPONENTS upgrade","KEEP","Existing upgrade imported unchanged",""
"MA021","Modern","UNIT","Fighter","Advanced Flight","","TECH","Civ6 GS; Civ5 Radar remap","Advanced Flight / Radar","KEEP","Aircraft-design advancement is the strongest direct gate",""
"MA022","Modern","UNIT","Bomber","Advanced Flight","","TECH","Civ6 GS; Civ5 Radar remap","Advanced Flight / Radar","KEEP","Aircraft-design advancement is the strongest direct gate",""
"MA023","Modern","CITY_BUILDING","Airport","Radar","Mass Media","TECH+CIVIC","Civ5 BNW priority; Civ6 Advanced Flight","Radar / Advanced Flight","REMAP_TECH","Retain Civ V Airport-at-Radar placement while tying mass civilian aviation to modern communications/institutions","Mass Media civic represents organized mass travel/public communication; exact civic gate may later shift to Globalization"
"MA024","Modern","UNIT","Paratrooper","Advanced Flight","Mobilization","TECH+CIVIC","Civ5 Radar remap","Radar","CROSS_GATE","Airborne forces depend on advanced aircraft and mass military organization, not radar itself",""
"MA025","Modern","CORPORATION_SECTOR","Aerospace sector upgrade","Advanced Flight","","TECH","Project corporation map","AEROSPACE upgrade","KEEP",""
"MA026","Modern","CORPORATION_SECTOR","Airlines & Travel corporations","Advanced Flight","Capitalism","TECH+CIVIC","Project corporation map","AIRLINES_TRAVEL","KEEP","Existing gate imported unchanged"
