POLICY_EN,CIVIC_EN,POLICY_SLOT,FINAL_EFFECT,SOURCE_BASIS
"Collectivization","Class Struggle","Economic","Domestic Trade Routes provide +4 Food and +2 Production","Civ6 GS-era value"
"Defense of the Motherland","Class Struggle","Wildcard","No war weariness from combat in your territory; +100% Production toward Modern, Atomic, and Information support units","Civ6 GS"
"Five-Year Plan","Class Struggle","Economic","Library, University, Public School, Research Lab each +1 Science; Workshop, Factory, and Power Plant each +1 Production","Civ6 Campus/Industrial adjacency combined and adapted"
"Gunboat Diplomacy","Ideology","Diplomatic","Open Borders with all city-states; +4 Influence points per turn toward earning Envoys","Civ6 direct"
"Levée en Masse","Mobilization","Military","Unit maintenance -2 Gold per unit per turn","Civ6 direct"
"Sports Media","Professional Sports","Economic","Each cultural building provides +2 Culture; Stadium provides +1 Amenity","Civ6 Theater adjacency/Stadium effect adapted"
"Arsenal of Democracy","Suffrage","Diplomatic","Trade Routes to Allies give both endpoint cities +2 Food and +2 Production; Alliance growth +25%","Civ6 pre-GS policy retained conservatively"
"Economic Union","Suffrage","Economic","Market, Bank, Stock Exchange, Harbor, Lighthouse, and Seaport each provide +1 Gold","Civ6 Commercial Hub/Harbor adjacency adapted"
"New Deal","Suffrage","Economic","+4 Housing and +2 Amenities in cities with at least 3 institutional building chains","Civ6 GS adapted"
"Their Finest Hour","Suffrage","Wildcard","+50% Production toward Modern and Atomic air units; all units +5 Combat Strength in or adjacent to home territory","Civ6 GS"
"Lightning Warfare","Totalitarianism","Military","+50% Production toward all light and heavy cavalry/armored units","Civ6 direct"
"Martial Law","Totalitarianism","Wildcard","War weariness accumulation -25%; garrisoned cities suffer 50% less occupation/unrest pressure","Civ6 Loyalty translated"
"Police State","Totalitarianism","Diplomatic","Enemy Spy level -2 in your territory; all cities -1 Amenity","Civ6 non-Loyalty version retained"
"Third Alternative","Totalitarianism","Military","Research Lab, Military Academy, and each Power Plant provide +2 Culture and +4 Gold","Civ6 GS"
