SECTOR_ID,SECTOR_NAME,BASE_TECH_GATE,UPGRADE_TECH,INPUTS,OUTPUT_CLASS,PRODUCT_SERVICE,SUPPLY_MODEL,PRIMARY_EFFECTS,TRADE_BEHAVIOR,FOUNDER_COUNT,FOUNDERS
"TEXTILES_APPAREL_SPORTING","Textiles, Apparel & Sporting Goods","Mass Production","","Cotton; Dyes; optional synthetic inputs","Manufactured Luxury","Apparel; Jeans; Fashion Goods; Sporting Goods","Physical product supply","Amenities; Gold; brand Tourism; Professional Sports synergy","Export demand and brand competition","6","Levi Strauss; Gabrielle Chanel; Adolf ""Adi"" Dassler; Dhirubhai Ambani; Phil Knight; Bill Bowerman"
"COSMETICS_PERSONAL_CARE","Cosmetics & Personal Care","Chemistry","","Dyes; Perfume/premium inputs; chemical feedstocks","Manufactured Luxury","Cosmetics; Personal Care","Physical product supply","Amenities; Gold; Tourism for iconic brands","High-value trade and brand demand","5","Estée Lauder; Suh Sung-whan; Miguel Krigsner; Anita Roddick; Huda Kattan"
"FOOD_PROCESSING","Processed Food & Confectionery","Refrigeration","","Wheat; Maize; Rice; Sugar; Cocoa; Cattle and other food resources","Hybrid: Functional Corporate Good + Manufactured Luxury","Processed Food; Chocolate; Confectionery","Physical product supply","Food; Growth; Gold; limited Amenity by branded category","Strong domestic demand and food exports","7","Milton Hershey; Henri Nestlé; Henry J. Heinz; Chia Ek Chor; Chia Seow Hui; Lorenzo Servitje; Shin Kyuk-ho"
"FOOD_SERVICE","Food Service","Refrigeration","","Processed Food / agricultural supply","Service","Restaurant / Food Services","Branch coverage","Gold; Growth; Tourism in destination cities","Branches follow population and tourism demand","1","Tony Tan Caktiong"
"FURNITURE_HOUSEHOLD","Furniture & Household Goods","Mass Production","","Generic industrial materials; optional Dyes/Metals","Manufactured Luxury","Furniture; Household Goods","Physical product supply","Amenities; Gold; housing/city-growth synergy","Domestic consumption plus exports","1","Ingvar Kamprad"
"RETAIL_DISTRIBUTION","Retail & Distribution","Mass Production","","Manufactured consumer goods","Service","Retail Distribution","Branch/network coverage","Gold; product distribution; demand amplification","Improves circulation of other corporate products","1","Sam Walton"
"HOSPITALITY_TRAVEL","Hospitality & Hotels","Railroad","Advanced Flight","Tourist access; trade connections","Service","Hotel Services","Branch coverage","Tourism; Culture; Gold","Foreign visitors and trade routes raise demand","2","Conrad Hilton; J. Willard Marriott"
"FINANCE_BANKING","Finance & Banking","Banking","Computers","Capital and commercial network","Service","Financial Services; Digital Banking","Branch/network coverage","Gold; investment pool; cheaper corporate expansion","Facilitates domestic and foreign investment","4","Marcus Goldman; J. Pierpont Morgan; David Vélez; Cristina Junqueira"
"INSURANCE","Insurance","Banking","Computers","Commercial network","Service","Insurance Services","Branch/network coverage","Gold; reduced disaster/business losses; stability","Risk-priced branch expansion","1","Cornelius Vander Starr"
"TRADING_HOUSES","Trading Houses & Industrial Investment","Industrialization","Telegraph","Trade access; diverse goods","Service","Trading / Industrial Investment Services","HQ + trade-network coverage","Gold; Production financing; import/export efficiency","Strong foreign-market and port synergy","2","Lee Byung-chul; Jamsetji Tata"
