SECTOR_ID,CHANNEL,PLANT_SU_PER_TURN,POP_PER_SU,FULL_EFFECT,STACKING_OR_PARTIAL_RULE,INPUT_RULE,FOREIGN_TRADE_RULE
"TEXTILES_APPAREL_SPORTING","PHYSICAL_LUXURY","5","8","+1 Amenity for category at >=75% coverage; +5% Gold","+2% city Gold per additional competing brand, cap +6%; no extra Amenity","1 input unit/turn per active plant when resource input is required","Active trade connection required for foreign allocation"
"COSMETICS_PERSONAL_CARE","PHYSICAL_LUXURY","5","8","+1 Amenity at >=75% coverage; +5% Gold; +5% Tourism for iconic brand","+2% Gold per additional brand, cap +6%; no extra Amenity","1 chemical/premium input unit/turn per active plant","High-value export; active trade connection required"
"FOOD_PROCESSING","PHYSICAL_HYBRID","5","5","Functional line: up to +10% Food and +5% Growth; luxury subline: +1 Amenity by category","Chocolate/confectionery uses luxury-category anti-stacking rule","1 agricultural input unit/turn per active plant; recipes may accept alternative food resources","Foreign allocation through trade connection"
"FOOD_SERVICE","SERVICE","0","0","Local branch: +5% Gold, +5% Growth; +5% Tourism in cities with foreign visitors","Remote national network gives 50% of percentage effects","Requires food supply but no stockpiled service token","Foreign branch required for full foreign-city effect"
"FURNITURE_HOUSEHOLD","PHYSICAL_LUXURY","5","8","+1 Amenity at >=75% coverage; +5% Growth/housing efficiency","+2% Gold per additional brand, cap +6%","1 industrial-material input unit/turn if configured; otherwise plant capacity only","Trade connection for exports"
"RETAIL_DISTRIBUTION","SERVICE","0","0","Local branch: +10% Gold and +25% received Manufactured Luxury distribution capacity","Remote national network: 50% of Gold effect and +10% distribution capacity","No physical stockpile","Foreign branch improves local sale of parent/partner products"
"HOSPITALITY_TRAVEL","SERVICE","0","0","Local branch: +15% Tourism, +5% Culture, +5% Gold","Remote network alone gives no Tourism; branch is required for Tourism bonus","No physical stockpile","Foreign trade/tourism access multiplies demand, not base yield"
"FINANCE_BANKING","SERVICE","0","0","Local branch: +10% Gold; -15% corporate branch/plant investment cost in city","Remote national network: +5% Gold and -7.5% investment cost","No physical stockpile","Foreign branch supports outward corporate investment"
"INSURANCE","SERVICE","0","0","Local branch: +5% Gold; -25% disaster/business-loss magnitude","Remote national network: -10% loss magnitude","No physical stockpile","Foreign branch covers foreign corporate assets"
"TRADING_HOUSES","SERVICE","0","0","Local branch/HQ: +10% international trade Gold; +15% corporate import/export allocation capacity","Remote national network: +5% international trade Gold","No physical stockpile","Requires external trade access for foreign-market effect"
"PETROLEUM_REFINING","PHYSICAL_FUNCTIONAL","3","5","At full coverage: +10% Production; +20% corporate/logistics throughput for oil-dependent modern systems","Effect scales linearly with supply coverage","1 Oil input unit/turn per active plant","Foreign allocation through trade connection; bulk-good priority"
"CHEMICALS_MATERIALS","PHYSICAL_FUNCTIONAL","4","5","Industrial Chemicals: +8% Production; Fertilizer subline: +10% Food from worked farms","Only the supplied subline applies its effect","1 chemical-feedstock input unit/turn per active plant","Industrial input exports through trade connection"
"PHARMACEUTICALS","PHYSICAL_FUNCTIONAL","4","5","At full coverage: +10% Growth/Health; +5 HP unit healing per turn in city territory","Effect scales with coverage; healing bonus requires >=50% coverage","1 chemical/biological input unit/turn per active plant","High-value exports through trade connection"
"STEEL_HEAVY_MATERIALS","PHYSICAL_FUNCTIONAL","3","5","At full coverage: +10% Production toward buildings and industrial/military units","Effect scales linearly with coverage","1 Iron/Coal industrial-input package per active plant","Bulk export through connected rail/port/trade"
"CONSTRUCTION_MATERIALS","PHYSICAL_FUNCTIONAL","4","5","At full coverage: +15% Production toward buildings and infrastructure only","No unit-production bonus","1 Stone/Steel/material package per active plant","Mostly regional; foreign export requires trade connection"
"MINING_EXTRACTIVES","PHYSICAL_FUNCTIONAL","4","5","Supplied mining city: +15% improved mineral extraction and +5% Production","Applied only where relevant mineral improvements exist","Mine-linked production; no arbitrary resource creation","Export-oriented through rail/port/trade"
"MACHINERY_COMPONENTS","PHYSICAL_FUNCTIONAL","4","5","At full coverage: +10% Production; +10% factory/workshop efficiency or vehicle/component efficiency","Subline chooses industrial-machinery or vehicle-component effect","1 Steel/industrial-input package per active plant","Industrial supply-chain export"
"AUTOMOTIVE","PHYSICAL_HYBRID","4","6","At >=75% coverage: +1 Automobile-category Amenity; at full coverage: +10% land trade/logistics efficiency","Extra brands add Gold/market share, not extra Amenity","1 Steel/component package per active plant; refined fuel may raise mature-line output","Brand exports through trade connection"
"BATTERIES_ELECTRIFIED_MOBILITY","PHYSICAL_HYBRID","4","6","At full coverage: +5% Science, +5% Production; mature electric-vehicle line may grant Automobile-category Amenity","Advanced Power Cells upgrades capacity/effect, not initial founding requirement","1 electrical-material/electronics package per active plant","High-value industrial export"
"ELECTRICAL_EQUIPMENT","PHYSICAL_FUNCTIONAL","4","5","At full coverage: +10% Production and +5% Science","Science portion requires city electrical infrastructure/power where such system exists","1 Copper/Aluminum/industrial-material package per active plant","Industrial exports through trade connection"
"ELECTRONICS_MANUFACTURING","PHYSICAL_FUNCTIONAL","4","5","At full coverage: +10% Production toward electronics/advanced buildings and +5% Science","Robotics upgrade can raise plant capacity by +25%","1 electronics-material package per active plant","Global supply-chain export"
"CONSUMER_ELECTRONICS","PHYSICAL_HYBRID","5","6","At >=75% coverage: +1 Consumer-Electronics-category Amenity; at full coverage: +5% Science and +5% Gold","Extra brands do not stack Amenity","+1 electronic-component input unit/turn per active plant","Brand/high-value export"
"COMPUTING_HARDWARE","PHYSICAL_HYBRID","4","6","At full coverage: +10% Science and +5% Production; consumer line may grant +1 category Amenity at >=75%","Robotics upgrade can increase capacity","1 semiconductor/electronics package per active plant","High-value export"
"SEMICONDUCTORS","PHYSICAL_FUNCTIONAL","4","5","At full coverage: +10% Science and +10% Production toward advanced units/buildings","No Amenity effect","1 advanced-electronics/material package per active plant","Strategic high-value supply chain"
"TELECOMMUNICATIONS","HYBRID_NETWORK","3","0","Local full network: +10% Science, +5% Gold, +10% trade/network efficiency","Remote national network coverage = 0.5; local branch/network node = 1.0","Equipment plants may produce 3 SU/turn; service itself is not stockpiled","Foreign branch/network agreement required for full foreign coverage"
"SOFTWARE_IT","SERVICE","0","0","Local/full network: +10% Science, +5% Production, +5% Gold","Remote national network coverage = 0.5","No physical stockpile","Foreign service branch/license gives full local effect"
"DIGITAL_PLATFORMS","SERVICE","0","0","Local/full network: +10% Gold, +5% Science, +10% internal trade/service efficiency","Remote national network coverage = 0.5","No physical stockpile","Foreign access requires branch/market access and telecom connection"
"SHIPPING_LOGISTICS","SERVICE","0","0","Local/full network: +10% trade-route Gold and +25% physical-goods distribution/export capacity","Remote national network: +10% distribution capacity","No physical stockpile","Raises default foreign physical-goods export throughput from 4 to 5 SU/turn per active connection"
"AEROSPACE","PHYSICAL_FUNCTIONAL","3","5","At full coverage: +15% Production toward air units/aviation infrastructure; +10% long-distance logistics capacity","Advanced Flight may improve capacity by +25%","1 Aluminum/Steel/Precision-component package per active plant","High-value strategic export"
"CULTURAL_GOODS","PHYSICAL_LUXURY","5","8","At >=75% coverage: +1 Amenity; at full coverage: +5% Culture","No Amenity stacking across brands in same category","1 generic industrial-material package per plant if required","Brand/cultural export"
"MEDIA_FILM_ENTERTAINMENT","SERVICE","0","0","PROVISIONAL EFFECT ONLY: local branch +10% Culture, +15% Tourism; HQ +1 Great Director point/turn","Technology gate remains unresolved; do not implement until Film tech decision","No physical stockpile","Foreign branches distribute film/media works"
"AIRLINES_TRAVEL","SERVICE","0","0","Local route/branch: +15% Tourism, +10% international trade Gold, +25% intercontinental service connectivity","Requires airport/aviation access","No physical stockpile","Foreign route access required"
