"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"A001","Ancient","TILE_IMPROVEMENT","Farm","Agriculture","","TECH","Civ5 BNW","Agriculture","KEEP","Civ V baseline and direct functional fit",""
"A002","Ancient","UNIT","Worker","Agriculture","","TECH","Civ5 BNW","Agriculture/start","KEEP","Retain worker-based Civ V tile-improvement model","Starting roster"
"A003","Ancient","CITY_BUILDING","Granary","Pottery","","TECH","Civ5 BNW; Civ6 GS","Pottery","KEEP","Storage technology directly supports granary construction","Health value tuned later"
"A004","Ancient","CITY_BUILDING","Shrine","","Mysticism","CIVIC","Civ5 BNW; Civ6 GS","Pottery / Astrology","MOVE_TO_CIVIC","Religious institution is primarily social/religious organization","Astrology still participates in Great Prophet access"
"A005","Ancient","TILE_IMPROVEMENT","Pasture","Animal Husbandry","","TECH","Civ5 BNW","Animal Husbandry","KEEP","Direct functional fit",""
"A006","Ancient","RESOURCE_REVEAL","Horses","Animal Husbandry","","TECH","Civ5 BNW; Civ6 GS","Animal Husbandry","KEEP","Shared source placement","Dynamic 4000 BCE visibility rules remain separate"
"A007","Ancient","RESOURCE_EXPLOITATION","Horses; Cattle; Sheep","Animal Husbandry","","TECH","Civ5 BNW","Pasture resources","KEEP","Pasture connects domesticated-animal resources",""
"A008","Ancient","UNIT","Caravan","Animal Husbandry","Foreign Trade","TECH+CIVIC","Civ5 BNW; Civ6 civic synthesis","Animal Husbandry / Foreign Trade","CROSS_GATE","Transport animal capability plus commercial institution",""
"A009","Ancient","SYSTEM","Land Trade Routes","Animal Husbandry","Foreign Trade","TECH+CIVIC","Civ5 BNW; Civ6 civic synthesis","Animal Husbandry / Foreign Trade","CROSS_GATE","Separate physical transport from legal-commercial permission",""
"A010","Ancient","TILE_IMPROVEMENT","Mine","Mining","","TECH","Civ5 BNW","Mining","KEEP","Direct functional fit",""
"A011","Ancient","RESOURCE_EXPLOITATION","Mineable minerals","Mining","","TECH","Civ5 BNW","Mining","KEEP","Extraction of already-visible mine resources",""
"A012","Ancient","SYSTEM","Forest Clearing","Mining","","TECH","Civ5 BNW; Civ6 GS","Mining","KEEP","Early tool-based forest clearing",""
"A013","Ancient","UNIT","Work Boat","Sailing","","TECH","Civ5 BNW","Sailing","KEEP","Civ V water-resource improvement structure",""
"A014","Ancient","UNIT","Trireme","Sailing","","TECH","Civ5 BNW","Sailing","KEEP","Ancient coastal naval baseline",""
"A015","Ancient","TILE_IMPROVEMENT","Fishing Boats","Sailing","","TECH","Civ5 BNW; Civ6 GS","Sailing","KEEP","Direct functional fit",""
"A016","Ancient","RESOURCE_EXPLOITATION","Fish; Crab; Pearls; Whales","Sailing","","TECH","Civ5 BNW","Fishing Boats","KEEP","Early sea-resource exploitation",""
"A017","Ancient","UNIT","Cargo Ship","Sailing","Foreign Trade","TECH+CIVIC","Civ5 BNW; Civ6 civic synthesis","Sailing / Foreign Trade","CROSS_GATE","Ship capability plus commercial institution",""
"A018","Ancient","SYSTEM","Maritime Trade Routes","Sailing","Foreign Trade","TECH+CIVIC","Civ5 BNW; Civ6 civic synthesis","Sailing / Foreign Trade","CROSS_GATE","Institutional trade belongs to civic tree",""
"A019","Ancient","SYSTEM","General Land-unit Embarkation","Shipbuilding","","TECH","Civ6 GS","Sailing","MOVE_TO_TECH","Dedicated Shipbuilding node is a better functional fit","Deferred to Classical"
"A020","Ancient","GREAT_PERSON_SYSTEM","Great Prophet generation / Religion founding access","Astrology","Mysticism","TECH+CIVIC","Civ6 GS; project synthesis","Astrology / Mysticism","CROSS_GATE","Material celestial knowledge plus religious institution",""
"A021","Ancient","DISTRICT","Holy Site","","","NONE","Civ6 GS","Astrology","REMOVE_DISTRICT","Project uses Civ V-style city structure","Shrine retained as civic building"
"A022","Ancient","TILE_IMPROVEMENT","Plantation","Irrigation","","TECH","Civ6 GS; Civ5 remap","Irrigation / Calendar","KEEP","Managed water and intensive crop cultivation are the stronger functional fit",""
"A023","Ancient","SYSTEM","Marsh Clearing","Irrigation","","TECH","Civ6 GS; Civ5 remap","Irrigation / Masonry","KEEP","Drainage and water management fit Irrigation",""
"A024","Ancient","YIELD_UPGRADE","Fresh-water Farm +1 Food","Irrigation","","TECH","Civ5 BNW remap","Civil Service","MOVE_TO_TECH","Project Civil Service is a civic; material irrigation effect belongs here",""
"A025","Ancient","RESOURCE_EXPLOITATION","Plantation crops/luxuries","Irrigation","","TECH","Civ6 GS; project","Plantation","KEEP","Resource exploitation follows Plantation",""
"A026","Ancient","UNIT","Archer","Archery","","TECH","Civ5 BNW; Civ6 GS","Archery","KEEP","Direct functional fit",""
"A027","Ancient","CITY_BUILDING","Library","Writing","","TECH","Civ5 BNW; Civ6 GS","Writing","KEEP","Writing directly enables stored scholarship","Campus dependency removed"
"A028","Ancient","CITY_BUILDING","Courthouse","Writing","Code of Laws","TECH+CIVIC","Civ5 BNW remap","Mathematics","CROSS_GATE","Courthouse is legal-administrative; writing supports codified records","Used for conquered/administrative city rule, exact effect later"
"A029","Ancient","DISTRICT","Campus","","","NONE","Civ6 GS","Writing","REMOVE_DISTRICT","Civ V-style city structure","Library retained"
"A030","Ancient","TILE_IMPROVEMENT","Quarry","Masonry","","TECH","Civ5 BNW; Civ6 remap","Masonry / Mining","KEEP","Civ V placement and functional fit agree",""
"A031","Ancient","RESOURCE_EXPLOITATION","Stone; Marble","Masonry","","TECH","Civ5 BNW","Quarry","KEEP","Direct quarry exploitation",""
"A032","Ancient","CITY_BUILDING","Walls","Masonry","","TECH","Civ5 BNW; Civ6 GS","Masonry","KEEP","Material construction technology",""
"A033","Ancient","CITY_BUILDING","Stone Works","Masonry","","TECH","Civ5 BNW remap","Calendar","MOVE_TO_TECH","Stone processing belongs with masonry/quarrying",""
"A034","Ancient","UNIT","Battering Ram","Masonry","","TECH","Civ6 GS","Masonry","KEEP","Wall-breaching construction fits Masonry","Generic version subject to unit-roster balance later"
"A035","Ancient","UNIT","Spearman","Bronze Working","","TECH","Civ5 BNW; Civ6 GS","Bronze Working","KEEP","Direct military metallurgy fit",""
"A036","Ancient","RESOURCE_REVEAL","Iron","Bronze Working","","TECH","Civ5 BNW; Civ6 GS","Bronze Working","KEEP","Shared source placement",""
"A037","Ancient","SYSTEM","Jungle/Rainforest Clearing","Bronze Working","","TECH","Civ5 BNW; Civ6 GS","Bronze Working","KEEP","Metal tools enable clearing",""
"A038","Ancient","CITY_BUILDING","Barracks","","Military Tradition","CIVIC","Civ5 BNW; Civ6 GS remap","Bronze Working","MOVE_TO_CIVIC","Barracks is an institution of permanent military training rather than a metallurgical technology",""
"A039","Ancient","DISTRICT","Encampment","","","NONE","Civ6 GS","Bronze Working","REMOVE_DISTRICT","Civ V-style city structure","Barracks retained as civic building"
"A040","Ancient","ROUTE_INFRASTRUCTURE","Road","Wheel","","TECH","Civ5 BNW","The Wheel","KEEP","Direct transport-infrastructure fit",""
"A041","Ancient","CITY_BUILDING","Water Mill","Wheel","","TECH","Civ5 BNW; Civ6 GS","The Wheel / Wheel","KEEP","Wheel-powered river machinery",""
"A042","Ancient","UNIT","Chariot Archer","Wheel","","TECH","Civ5 BNW","The Wheel","KEEP","Use Civ V ancient chariot baseline","Requires Horses"
"A043","Ancient","UNIT","Heavy Chariot","Wheel","","TECH","Civ6 GS","Wheel","DROP","Civ6 Heavy Chariot checked, but project keeps Civ5-style Chariot Archer + Horseman structure to avoid an overcrowded Ancient mounted roster","No separate generic Heavy Chariot; civilization-specific chariot variants remain possible"
"A044","Ancient","SYSTEM","Seasonal Agriculture","Calendar","","TECH","Historical adaptation; Civ5 context","Calendar","ADAPT","Calendar remains a substantive agricultural technology after Plantation moves to Irrigation",""
"A045","Ancient","YIELD_UPGRADE","Improved Wheat/Rice/Maize +1 Food","Calendar","","TECH","Project adaptation","Calendar","ADAPT","Seasonal planning directly improves annual staple-crop management","Initial value subject to balance testing"
"A046","Ancient","TILE_IMPROVEMENT","Camp","Trapping","","TECH","Civ5 BNW; Civ6 remap","Trapping / Animal Husbandry","KEEP","Civ V baseline and functional fit",""
