"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"IN001","Information","UNIT","XCOM Squad","Nanotechnology","Rapid Deployment","TECH+CIVIC","Civ5 BNW","Nanotechnology","CROSS_GATE","Civ5 places XCOM Squad at Nanotechnology; rapid-deployment doctrine supplies the institutional side","Optional very-late airborne infantry; final combat balance later"
"IN002","Information","SYSTEM","Nanoscale Manufacturing and Medicine","Nanotechnology","","TECH","Civ5/Civ6; project adaptation","Nanotechnology","KEEP","Core general-purpose identity beyond space projects","Can later support medicine/materials without inventing a redundant building"
"IN003","Information","PROJECT","Mars Colony / Hydroponics","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Nanotechnology remap","Nanotechnology","REMAP_TECH","Project has a dedicated Offworld Mission technology and Exodus Imperative civic for offworld settlement","Nanotechnology remains a supporting prerequisite"
"IN004","Information","PROJECT","SS Stasis Chamber","Nanotechnology","Exodus Imperative","TECH+CIVIC","Civ5 BNW","Nanotechnology","CROSS_GATE","Direct Civ5 spaceship component; nanotech plus offworld-colonization program is coherent","Final science-victory/offworld structure later"
"IN005","Information","CITY_BUILDING","Solar Plant","Ecology","Environmentalism","TECH+CIVIC","Civ5 vanilla Nanotechnology remap","Nanotechnology","MOVE_TO_TECH","Already assigned to Ecology + Environmentalism","Avoid duplicate"
"IN006","Information","SYSTEM","Advanced AI Decision Systems","Advanced AI","","TECH","Civ6 GS future tech; project adaptation","Advanced AI","KEEP","Core general technology identity rather than only a GDR upgrade","Supports later predictive/governance/warfare systems"
"IN007","Information","UNIT","Giant Death Robot Drone Air Defense upgrade","Advanced AI","","TECH","Civ6 GS","Advanced AI","DEFER_SYSTEM","Only applies if optional GDR endgame project is adopted","Not baseline content"
"IN008","Information","SYSTEM","AI-assisted intelligence analysis","Advanced AI","Information Warfare","TECH+CIVIC","Project adaptation","Advanced AI","DEFER_SYSTEM","Strong functional fit but exact espionage/combat-information mechanics should wait for Information Warfare audit","Part B civic"
"IN009","Information","CITY_BUILDING","Grid Battery Storage","Advanced Power Cells","Global Warming Mitigation","TECH+CIVIC","Historical/project addition","Advanced Power Cells","KEEP","Advanced electrochemical storage is the civilian core of the technology and enables renewable-grid balancing","Direct city energy infrastructure"
"IN010","Information","SYSTEM","High-density Energy Storage","Advanced Power Cells","","TECH","Civ6 GS; project adaptation","Advanced Power Cells","KEEP","General energy-storage identity",""
"IN011","Information","UNIT","Giant Death Robot Particle Beam Siege Cannon upgrade","Advanced Power Cells","","TECH","Civ6 GS","Advanced Power Cells","DEFER_SYSTEM","Only if optional GDR system is adopted",""
"IN012","Information","SYSTEM","Lower unit carbon emissions","Advanced Power Cells","Environmentalism","TECH+CIVIC","Civ6 GS","Advanced Power Cells","ADAPT","Retain cleaner-energy military/logistics concept without tying it exclusively to GDR","Exact emissions effect later"
"IN013","Information","CORPORATION_SECTOR","Batteries & Electrified Mobility sector upgrade","Advanced Power Cells","","TECH","Project corporation map","BATTERIES_ELECTRIFIED_MOBILITY upgrade","KEEP","Existing sector upgrade imported unchanged",""
"IN014","Information","SYSTEM","Human-Machine Interface","Cybernetics","","TECH","Civ6 GS; historical/project adaptation","Cybernetics","KEEP","Core cybernetic feedback/control identity beyond a single GDR upgrade",""
"IN015","Information","YIELD_UPGRADE","Lumber Mill +1 Production","Cybernetics","","TECH","Civ6 GS","Cybernetics","DROP","Weak functional connection and excessive late yield stacking",""
"IN016","Information","UNIT","Giant Death Robot Enhanced Mobility upgrade","Cybernetics","","TECH","Civ6 GS","Cybernetics","DEFER_SYSTEM","Only if optional GDR endgame unit is adopted",""
"IN017","Information","SYSTEM","Cybernetic medical/assistive systems","Cybernetics","Near Future Governance","TECH+CIVIC","Project adaptation","Cybernetics","KEEP","Cybernetics + Near Future Governance supports advanced assistive medicine, rehabilitation and medical-device systems","Improves Hospital/Medical Lab effectiveness and recovery/productivity; does not directly prevent plague transmission; exact numbers later"
"IN018","Information","SYSTEM","Adaptive Smart Materials","Smart Materials","","TECH","Civ6 GS","Smart Materials","KEEP","Core technology identity",""
"IN019","Information","YIELD_UPGRADE","Mine +1 Production","Smart Materials","","TECH","Civ6 GS","Smart Materials","KEEP","Advanced material processing can plausibly improve high-value mineral use","Exact stacking later"
"IN020","Information","UNIT","Giant Death Robot Reinforced Armor upgrade","Smart Materials","","TECH","Civ6 GS","Smart Materials","DEFER_SYSTEM","Only if optional GDR is adopted",""
"IN021","Information","PROJECT","Exoplanet Expedition","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 GS remap","Smart Materials","REMAP_TECH","Interstellar expedition belongs to dedicated offworld technology/civic rather than Smart Materials alone","Smart Materials remains supporting prerequisite"
"IN022","Information","TILE_INFRASTRUCTURE","Offshore Wind Farm","Predictive Systems","Environmentalism","TECH+CIVIC","Civ6 GS","Predictive Systems","CROSS_GATE","Source unlock retained but combined with environmental-energy institution",""
"IN023","Information","YIELD_UPGRADE","Quarry/Oil Well/Offshore Rig +1 Production","Predictive Systems","Optimization Imperative","TECH+CIVIC","Civ6 GS + project synthesis","Predictive Systems","CROSS_GATE","Predictive maintenance and optimized operations explain the extraction-efficiency bonus better with technocratic optimization",""
"IN024","Information","SYSTEM","Predictive Maintenance and Logistics","Predictive Systems","","TECH","Civ6 GS; project adaptation","Predictive Systems","KEEP","Core system identity applicable across industry/logistics",""
"IN025","Information","SYSTEM","City-project forecasting bonus","Predictive Systems","Optimization Imperative","TECH+CIVIC","Project adaptation","Predictive Systems","DEFER_SYSTEM","Potential synergy with Synthetic Technocracy; exact production modifier later",""
"ICA001","Information","POLICY","Strategic Air Force","","Globalization","CIVIC","Civ6 GS","Globalization","KEEP","Late global air-power production policy retained",""
"ICA002","Information","POLICY","International Space Agency","","Globalization","CIVIC","Civ6 GS","Globalization","KEEP","Global city-state/science-space cooperation policy retained","Translate directly to project city-state system"
"ICA003","Information","POLICY","Ecommerce","","Globalization","CIVIC","Civ6 GS","Globalization","KEEP","Trade-route Gold/Production policy retained","Exact source values may be balanced"
"ICA004","Information","SYSTEM","Global Trade Network","Telecommunications","Globalization","TECH+CIVIC","Project synthesis","Globalization","KEEP","Telecommunications provides technical connectivity; Globalization provides global institutional/economic integration",""
"ICA005","Information","YIELD_UPGRADE","Plantation +2 Gold","","Globalization","CIVIC","Civ6 GS","Globalization","DROP","Weakly related and unnecessary resource-specific bonus",""
"ICA006","Information","SYSTEM","Governor Title","","Globalization","CIVIC","Civ6 GS","Globalization","DEFER_SYSTEM","Governor system has not been adopted wholesale",""
"ICA007","Information","POLICY","Online Communities","","Social Media","CIVIC","Civ6 GS","Social Media","KEEP","Tourism via active trade routes retained",""
"ICA008","Information","POLICY","Collective Activism","","Social Media","CIVIC","Civ6 GS","Social Media","KEEP","City-state-linked Culture policy retained",""
"ICA009","Information","POLICY","Communications Office","","Social Media","CIVIC","Civ6 GS","Social Media","ADAPT","Convert Governor-based loyalty to general administrative/media legitimacy if governors remain absent","Exact effect later"
"ICA010","Information","SYSTEM","Networked Public Sphere","Telecommunications","Social Media","TECH+CIVIC","Civ6 Inspiration + project synthesis","Social Media","KEEP","Telecommunications is the material prerequisite; Social Media is the institutional/cultural adoption layer",""
"ICA011","Information","SYSTEM","Governor Title","","Social Media","CIVIC","Civ6 GS","Social Media","DEFER_SYSTEM","Governor system unresolved",""
"ICA012","Information","SYSTEM","Late-game Governance Capacity","","Near Future Governance","CIVIC","Civ6 GS","Near Future Governance","KEEP","Gateway civic for Tier-4 government experiments",""
"ICA013","Information","SYSTEM","Envoys +3","","Near Future Governance","CIVIC","Civ6 GS","Near Future Governance","KEEP","Direct source reward",""
"ICA014","Information","SYSTEM","Governor Title","","Near Future Governance","CIVIC","Civ6 GS","Near Future Governance","DEFER_SYSTEM","Governor system unresolved",""
"ICA015","Information","GOVERNMENT","Corporate Libertarianism","","Venture Politics","CIVIC","Civ6 GS","Venture Politics","KEEP","Direct Civ6 Tier-4 government unlock",""
"ICA016","Information","SYSTEM","Corporate-state Production bonus","","Venture Politics","CIVIC","Civ6 GS government adaptation","Corporate Libertarianism","ADAPT","Convert Commercial Hub/Encampment district production bonuses to Market/Bank/Stock Exchange and Barracks/Armory/Military Academy building groups","Exact +10% source value can be balanced"
"ICA017","Information","SYSTEM","Improved strategic-resource accumulation","","Venture Politics","CIVIC","Civ6 GS government adaptation","Corporate Libertarianism","KEEP","Source government resource-accumulation concept retained",""
"ICA018","Information","SYSTEM","Science penalty","","Venture Politics","CIVIC","Civ6 GS government adaptation","Corporate Libertarianism","DEFER_SYSTEM","Source government has -10% Science legacy tradeoff; whether to retain exact penalty waits for government balance"
"ICA019","Information","GOVERNMENT","Digital Democracy","","Distributed Sovereignty","CIVIC","Civ6 GS","Distributed Sovereignty","KEEP","Direct Civ6 Tier-4 government unlock",""
"ICA020","Information","SYSTEM","Digital civic participation bonus","Telecommunications","Distributed Sovereignty","TECH+CIVIC","Civ6 government adaptation","Digital Democracy","ADAPT","Convert specialty-district Culture into direct bonuses for city institutions and digital participation",""
"ICA021","Information","SYSTEM","Military-strength tradeoff","","Distributed Sovereignty","CIVIC","Civ6 GS government adaptation","Digital Democracy","DEFER_SYSTEM","Source government carries -3 Combat Strength; exact penalty belongs to government-balance pass",""
"ICA022","Information","GOVERNMENT","Synthetic Technocracy","","Optimization Imperative","CIVIC","Civ6 GS","Optimization Imperative","KEEP","Direct Civ6 Tier-4 government unlock",""
"ICA023","Information","SYSTEM","City Project Production bonus","Predictive Systems","Optimization Imperative","TECH+CIVIC","Civ6 government + project synthesis","Synthetic Technocracy","ADAPT","Source government grants +30% city-project Production; predictive systems give strong technical basis","Exact value later"
"ICA024","Information","SYSTEM","City Power bonus","Advanced Power Cells","Optimization Imperative","TECH+CIVIC","Civ6 government adaptation","Synthetic Technocracy","ADAPT","Source government grants +3 Power; advanced power cells make the material side explicit",""
