"RESOURCE_ID","RESOURCE_CLASS","PRIMARY_IMPROVEMENT","DOMAIN","UNLOCK_TECH","SOURCE_BASIS","NOTES"
"HORSES","strategic","Pasture","LAND","Animal Husbandry","Civ5 + project","Dynamic animal; project canonical"
"IRON","strategic","Mine","LAND","Mining","Civ5 + project","Geological fixed"
"NITER","strategic","Mine","LAND","Military Engineering","Project","Natural niter via Mine; manufacture is separate system"
"COAL","strategic","Mine","LAND","Manufacturing","Civ5 + project","Revealed at Manufacturing in project"
"OIL","strategic","Oil Well / Offshore Oil Rig","LAND_OR_SEA","Refining / Plastics","Civ5 + project","Land Oil Well; offshore Oil Rig"
"ALUMINUM","strategic","Mine","LAND","Electricity","Civ5 + project","Geological fixed"
"URANIUM","strategic","Mine","LAND","Atomic Theory","Civ5 + project","Geological fixed"
"BANANAS","bonus","Plantation","LAND","Irrigation","Civ5 + project","Dynamic plant"
"BISON","bonus","Camp","LAND","Trapping","Civ5 BNW","Wild fixed"
"CATTLE","bonus","Pasture","LAND","Animal Husbandry","Civ5 + project","Dynamic animal"
"DEER","bonus","Camp","LAND","Trapping","Civ5","Wild fixed"
"FISH","bonus","Fishing Boats","SEA","Sailing","Civ5","Wild marine"
"SHEEP","bonus","Pasture","LAND","Animal Husbandry","Civ5 + project","Dynamic animal"
"STONE","bonus","Quarry","LAND","Masonry","Civ5","Geological fixed"
"WHEAT","bonus","Farm","LAND","Agriculture","Civ5 + project","Dynamic plant"
"MAIZE","bonus","Farm","LAND","Agriculture","Project resource expansion","Dynamic plant; Calendar improved-crop bonus applies"
"RICE","bonus","Farm","LAND","Agriculture","Project resource expansion","Dynamic plant; Calendar improved-crop bonus applies"
"CITRUS","luxury","Plantation","LAND","Irrigation","Civ5 G&K","Dynamic plant"
"COCOA","luxury","Plantation","LAND","Irrigation","Civ5 BNW","Dynamic plant"
"COPPER","luxury","Mine","LAND","Mining","Civ5 G&K/project classification","Geological fixed"
"COTTON","luxury","Plantation","LAND","Irrigation","Civ5","Dynamic plant"
"CRAB","luxury","Fishing Boats","SEA","Sailing","Civ5 G&K","Wild marine"
"DYES","luxury","Plantation","LAND","Irrigation","Civ5","Dynamic composite plant"
"FURS","luxury","Camp","LAND","Trapping","Civ5","Wild fixed"
"GEMS","luxury","Mine","LAND","Mining","Civ5","Geological fixed"
"GOLD","luxury","Mine","LAND","Mining","Civ5","Geological fixed"
"INCENSE","luxury","Plantation","LAND","Irrigation","Civ5","Deferred dynamic review"
"IVORY","luxury","Camp","LAND","Trapping","Civ5","Wild fixed"
"MARBLE","luxury","Quarry","LAND","Masonry","Civ5","Geological fixed"
"PEARLS","luxury","Fishing Boats","SEA","Sailing","Civ5","Wild marine"
"SALT","luxury","Mine","LAND","Mining","Civ5 G&K + project","Natural Salt uses Mine baseline; coastal Saltworks candidate not yet in map roster"
"SILK","luxury","Plantation","LAND","Irrigation","Civ5","Deferred dynamic review"
"SILVER","luxury","Mine","LAND","Mining","Civ5","Geological fixed"
"SPICES","luxury","Plantation","LAND","Irrigation","Civ5","Dynamic composite plant"
"SUGAR","luxury","Plantation","LAND","Irrigation","Civ5","Dynamic plant"
"TRUFFLES","luxury","Camp","LAND","Trapping","Civ5 BNW","Wild fixed"
"WHALES","luxury","Fishing Boats","SEA","Sailing","Civ5","Wild marine"
"WINE","luxury","Plantation","LAND","Irrigation","Civ5","Dynamic plant"
"COFFEE","luxury","Plantation","LAND","Irrigation","Barathor More Luxuries","More Luxuries exact acquisition mapping; dynamic plant"
"TEA","luxury","Plantation","LAND","Irrigation","Barathor More Luxuries","More Luxuries exact acquisition mapping; dynamic plant"
"TOBACCO","luxury","Plantation","LAND","Irrigation","Barathor More Luxuries","More Luxuries exact acquisition mapping; dynamic plant"
"OLIVES","luxury","Plantation","LAND","Irrigation","Barathor More Luxuries","More Luxuries exact acquisition mapping; dynamic plant"
"PERFUME","luxury","Plantation","LAND","Irrigation","Barathor More Luxuries","More Luxuries exact acquisition mapping; transfer excluded but natural resource remains"
"AMBER","luxury","Mine","LAND","Mining","Barathor More Luxuries","Important: Mine, not Quarry"
"JADE","luxury","Mine","LAND","Mining","Barathor More Luxuries","Important: Mine, not Quarry"
"LAPIS_LAZULI","luxury","Mine","LAND","Mining","Barathor More Luxuries","Important: Mine, not Quarry"
"CORAL","luxury","Fishing Boats","SEA","Sailing","Barathor More Luxuries","More Luxuries exact acquisition mapping; wild marine"
