"TECH_EN","OLD_OR_CONFLICTING_RULE","AUTHORITATIVE_V2_RULE","STATUS","RATIONALE"
"Animal Husbandry","Reveals Horses; Pasture exploitation","Does NOT reveal dynamic Horses; unlocks Pasture and exploitation of Horses/Cattle/Sheep when visible","OVERRIDE_DYNAMIC_RESOURCE","CONTACT_DYNAMIC_V2 controls biological-resource visibility and transfer."
"Calendar","Improved Wheat/Rice/Maize +1 Food","Remove direct crop-yield upgrade","OVERRIDE_VP_TILE","Farm progression is now controlled by Mathematics/Civil Service/Fertilizer/Robotics."
"Mathematics","No Farm upgrade in old master","Farm +1 Food","ADD_VP_TILE","VP Farm progression."
"Apprenticeship","Mine +1 Production","Remove Mine +1 Production","OVERRIDE_VP_TILE","Mine progression is reassigned to Steel/Steam Power/Combustion/Robotics."
"Machinery","Lumber Mill +1 Production","Quarry +1 Production","OVERRIDE_VP_TILE","VP quarry progression supersedes old project Lumber Mill note."
"Compass","Fishing Boats +1 Gold","Fishing Boats +1 Food","OVERRIDE_VP_TILE","VP maritime improvement progression."
"Metallurgy","No VP Lumber Mill yield in old master","Lumber Mill +1 Gold and +1 Production","ADD_VP_TILE","VP Lumber Mill progression."
"Gunpowder","No Camp upgrade in old master","Camp +1 Gold","ADD_VP_TILE","VP Camp progression."
"Scientific Theory","Lumber Mill +1 Production; Academy Science upgrade","Remove Lumber Mill bonus; Academy +1 Science remains","OVERRIDE_VP_TILE","VP Lumber Mill progression uses Metallurgy and Combustion instead."
"Chemistry","Mine/Quarry +1 Production; Manufactory Production upgrade","Plantation +1 Gold; Fort +2 Science; remove old Mine/Quarry/Manufactory direct upgrade","OVERRIDE_VP_TILE","VP improvement progression plus project worker-built Manufactory nerf."
"Economics","Customs House unlock; Camp +1 Gold fallback","Plantation +1 Gold; Customs House requires Economics + Mercantilism","OVERRIDE_VP_TILE","Customs House gate retained but tile yield progression follows V2."
"Military Science","No Fort yield upgrade in old master","Fort +2 local Culture","ADD_VP_TILE","VP Fort progression."
"Industrialization","Mine +1 Production","Remove direct Mine upgrade","OVERRIDE_VP_TILE","Mine progression now starts at Steel in V2."
"Steam Power","Lumber Mill +1 Production","Mine +2 Production; Quarry +1 Production","OVERRIDE_VP_TILE","VP Mine/Quarry progression supersedes old Lumber Mill note."
"Replaceable Parts","Pasture +1 Production","Remove Pasture +1 Production","OVERRIDE_VP_TILE","VP Pasture progression uses Civil Service/Fertilizer/Robotics."
"Steel","No Mine upgrade in old master","Mine +1 Production","ADD_VP_TILE","VP Mine progression."
"Fertilizer","Non-fresh Farm +1 Food; Plantation +1 Food; Pasture +1 Food","Farm +2 Food; Pasture +2 Gold; Manufactory +1 Production","OVERRIDE_VP_TILE","Use VP improvement progression while preserving project worker-built Manufactory nerf."
"Dynamite","No Quarry upgrade in old master","Quarry +2 Production","ADD_VP_TILE","VP Quarry progression."
"Rifling","No Camp upgrade in old master","Camp +1 Gold","ADD_VP_TILE","VP Camp progression."
"Railroad","No Village/Customs House upgrade in old master summary","Village +1 Culture; Customs House +2 Food +1 Culture","ADD_VP_TILE","VP worker-improvement progression adapted to project Customs House timing."
"Refrigeration","Legacy food-chain notes only","Camp +2 Gold; Fishing Boats +2 Food; Customs House +2 Gold","ADD_VP_TILE","VP improvement progression."
"Combustion","No Mine/Lumber Mill upgrade in old master","Mine +1 Production; Lumber Mill +1 Gold and +1 Production","ADD_VP_TILE","VP late industrial improvement progression."
"Plastics","No Plantation/Oil Well V2 sync","Plantation +1 Gold; Oil Well +2 Production","ADD_VP_TILE","VP improvement progression."
"Electronics","No Fort/Oil Well V2 sync","Fort +4 local Culture; Oil Well +2 Production","ADD_VP_TILE","VP improvement progression."
"Navigation","No Fishing Boats V2 sync","Fishing Boats +1 Food","ADD_VP_TILE","VP improvement progression."
"Physics","Academy project upgrade","Academy +1 Science","CONFIRM_PROJECT_VP_NERF","Worker-built Academy uses smaller project progression rather than full VP GPTI values."
"Rocketry","Academy project upgrade","Academy +1 Science","CONFIRM_PROJECT_VP_NERF","Worker-built Academy progression."
"Nuclear Fission","Academy project upgrade","Academy +1 Science","CONFIRM_PROJECT_VP_NERF","Worker-built Academy progression."
"Robotics","No complete V2 tile sync","Farm +3 Food; Mine +3 Production; Pasture +3 Food","ADD_VP_TILE","VP late-game improvement progression."
"Satellites","No Landmark V2 sync","Landmark +1 Culture","ADD_PROJECT_NERFED_GPTI","Worker-built Landmark progression."
"Flight","No Holy Site V2 sync","Holy Site +1 Tourism","ADD_PROJECT_NERFED_GPTI","Worker-built Holy Site progression."
"Acoustics","No Holy Site V2 sync","Holy Site +1 Faith","ADD_PROJECT_NERFED_GPTI","Worker-built Holy Site progression."
"Stealth Technology","No Fort V2 sync","Fort +4 Science","ADD_VP_TILE","VP Fort progression."
