BUILDING,PROJECT_ERA,HEALTH_EFFECT_TYPE,HEALTH_VALUE,SPONTANEOUS_PLAGUE_RISK_MULT,PLAGUE_DURATION_MOD_TURNS,OTHER_EFFECT,STATUS,BASIS
Granary,Ancient,FLAT,1,1.00,0,,PROJECT_LOCKED_V1,"Food storage and baseline sanitation; promotes early city viability without replacing water access."
Aqueduct,Classical,WATER_HEALTH_FLOOR,2,1.00,0,"Natural freshwater and Aqueduct do not stack; city water-health component is max(natural freshwater 2, Aqueduct floor 2).",PROJECT_LOCKED_V1,"Health & Plague source states Aqueduct Health equals freshwater Health; project locks the already-used +2 scale and prevents double counting."
Apothecary,Late Antiquity,FLAT,2,1.00,-1,"Plague duration reduction; final duration minimum 3 turns.",PROJECT_LOCKED_V1,"Project medical-preparation building. Qualitative pass already assigned modest Health and recovery role."
Cold Storage,Industrial,FLAT,2,1.00,0,,PROJECT_LOCKED_V1,"Food-chain preservation and spoilage control."
Food Market,Industrial,FLAT,1,1.00,0,,PROJECT_LOCKED_V1,"Food distribution role; intentionally smaller than medical/sanitation buildings."
Hospital,Industrial,FLAT,4,1.00,-1,"Plague duration reduction; final duration minimum 3 turns. Existing VP heal +15 remains separate.",PROJECT_LOCKED_V1,"Major treatment institution. Keeps VP combat-healing role separate from Health points."
Sewer,Industrial,FLAT,4,0.75,0,"25% reduction to spontaneous plague emergence after Health and era multipliers; does not reduce import/transmission chance.",PROJECT_LOCKED_V1,"Sanitation is primarily preventive, so its special effect acts on emergence rather than treatment."
Medical Lab,Modern,FLAT,5,1.00,-2,"Plague duration reduction; final duration minimum 3 turns.",PROJECT_LOCKED_V1,"Late medical capstone; strongest direct Health building."
Recycling Center,Information,FLAT,2,1.00,0,"Existing CITY_POLLUTION_PERCENT=-25 remains separate and indirectly improves Health through pollution penalty.",PROJECT_LOCKED_V1,"Environmental Health adaptation; avoids double counting pollution reduction as another plague modifier."
Smokehouse,Ancient,NONE,0,1.00,0,"Bison/Deer Food bonuses remain food effects only.",PROJECT_LOCKED_V1,"Do not add speculative Health merely because the building preserves food."
Water Mill,Ancient,NONE,0,1.00,0,,PROJECT_LOCKED_V1,"Retain food/production role; no direct Health point added."
Factory,Industrial,NONE,0,1.00,0,"Health externality comes through city pollution only.",PROJECT_LOCKED_V1,"Separates industrial Health damage from the building's VP production role."
Coal Power Plant,Industrial,NONE,0,1.00,0,"Health externality comes through city pollution only.",PROJECT_LOCKED_V1,"Power and Health remain separate systems linked by pollution."
Power Plant,Industrial,NONE,0,1.00,0,"Health externality comes through city pollution only.",PROJECT_LOCKED_V1,"Power and Health remain separate systems linked by pollution."
Airport,Modern,NONE,0,1.00,0,"Tourism/imported disease exposure handled by network rules, not flat negative Health.",PROJECT_LOCKED_V1,"Avoids double-counting tourism and trade connectivity."
Harbor,Classical,NONE,0,1.00,0,"Sea/trade plague propagation handled by network rules, not flat Health.",PROJECT_LOCKED_V1,"Preserves source distinction between city Health and transmission network."
