"CIVIC_EN","PROJECT_ERA","FINAL_UNLOCKS_SYSTEMS","POLICY_CANDIDATES","NOTES","QA_STATUS","SUMMARY_SOURCE"
"Code of Laws","Ancient","Chiefdom; Policy Card system; Courthouse with Writing","Discipline; God King; Survey; Urban Planning","Courthouse requires Writing","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Craftsmanship","Ancient","Organized artisan/labor policy layer","Ilkum; Agoge","Sphinx/Chemamull remain civilization uniques","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Foreign Trade","Ancient","Trade Route capacity +1; permits land/maritime trade when matching transport tech exists","Caravansaries; Maritime Industries","Trader merged into Caravan/Cargo Ship model; Joint War deferred","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Military Tradition","Ancient","Barracks; Flanking/Support doctrine","Maneuver; Strategos","Barracks moved here from Bronze Working","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"State Workforce","Ancient","Government Plaza as one-per-civ national city building","Corvée; Conscription","Governor system deferred; tier-1 government buildings wait for Political Philosophy","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Early Empire","Ancient","Enforced borders and Open Borders permission","Colonization; Land Surveyors; Limitanei","Governor system deferred; Pairidaeza remains Persian unique","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Mysticism","Ancient","Shrine; Great Prophet/religion access with Astrology; Grove","Inspiration; Revelation","Preserve district removed; Grove deferred; Oracle wonder deferred","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Games and Recreation","Classical","Arena with Construction; Circus with Trapping","Insulae","Entertainment Complex removed; Colosseum deferred as World Wonder","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Political Philosophy","Classical","Autocracy; Oligarchy; Classical Republic; Ancestral Hall/Audience Chamber/Warlord's Throne; Consulate","Charismatic Leader; Diplomatic League","Consulate moved from Mathematics; government buildings require Government Plaza and Tier-1 government","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Drama and Poetry","Classical","Amphitheater; Writers' Guild; Great Writer generation","Literary Tradition","Theater Square removed","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Military Training","Classical","Military doctrine/policy layer","Raid; Veterancy; Equestrian Orders","Heroic Epic suggested here if retained as national wonder","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Recorded History","Classical","Recorded-history/science-administration policy layer","Natural Philosophy; Praetorium","Great Library deferred; Papermaking synergy left non-numeric","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Defensive Tactics","Late Antiquity","Reconquest War; Protectorate War","Bastions; Limes","Defensive policies and casus belli; no Castle unlock because project has separate Castles technology","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
"Theology","Late Antiquity","Temple; advanced religious organization","Scripture","Garden remapped to Irrigation + Civil Service; national/world religious wonders deferred","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
"Naval Tradition","Late Antiquity","Great Admiral generation bonus; naval institutional efficiency with Celestial Navigation","Naval Infrastructure; Navigation","Harbor-adjacency source effects must be translated into Civ V-style port/building bonuses","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
"Civil Service","Late Antiquity","Alliances; Defensive Pact; Garden with Irrigation","Meritocracy; Retainers; Civil Prestige","Pikeman moved to Military Tactics; fresh-water Farm bonus remains Irrigation; Open Borders remains Early Empire","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
"Feudalism","Early Medieval","Feudal Field System","Feudal Contract; Serfdom","Serfdom converted from Builder charges to Civ V Worker-speed concept; Estate/Manor not yet locked","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Mercenaries","Early Medieval","Mercenary/professional military policy layer","Professional Army; Retinues; Sack; Trade Confederation","Mercenary Recruitment system deferred; Jong remains Indonesian unique","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Written Culture","Early Medieval","Scriptorium with Writing; Manuscript Culture; Great Work of Writing storage/support","Manuscript Patronage candidate","Block Printing later upgrades the manuscript chain to Woodblock Printing House","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Court Culture","Early Medieval","Court national city building; Court Patronage","Court Patronage candidate","Court is Palace-linked and one per civilization; Great Person/Great Work effects tuned later","OK","civics_reference/civic_unlock_summary_early_medieval_v1.csv"
"Medieval Faires","High Medieval","Medieval Fair system with Currency/Market","Aesthetics; Medina Quarter; Merchant Confederation","Temporary fair/trade institution; district conditions converted to Civ V-style city conditions","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Guilds","High Medieval","Artists' Guild; Great Artist generation; Craft Guild Organization with Apprenticeship","Craftsmen; Town Charters; Traveling Merchants","Civ5 Artists' Guild moved from Guilds technology to civic; Trading Post not reintroduced","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Divine Right","High Medieval","Monarchy; Tier-2 government building choice eligibility","Chivalry; Gothic Architecture","Tier-2 government building choice deferred until all Tier-2 governments are audited","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Scholasticism","High Medieval","Scholastic Exchange; Research Agreement with Education; Allied City-State Science Share","","Adapts Civ5 Patronage Scholasticism without locking the original 25% value","OK","civics_reference/civic_unlock_summary_high_medieval_v1.csv"
"Humanism","Renaissance","Art Museum","Frescoes; Invention","Archaeological Museum moved to later Natural History; Chateau remains French unique","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Diplomatic Service","Renaissance","Chancery; Spy; Resident Embassies; formal Casus Belli; World Congress cross-gate with Printing","Machiavellianism; Wisselbanken","Constabulary moved here from Civ5 Banking","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Patronage","Renaissance","Great Person Patronage; City-State Patronage","Philanthropy; Cultural Diplomacy; Merchant Confederacy","Adapts Civ5 Patronage tree; Great Person gifts deferred as later reward","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Print Culture","Renaissance","Mass Print Culture with Printing; Writing-work tourism boost","Vernacular Print; Pamphleteering candidates","Printing technology supplies capacity; civic represents widespread social adoption","OK","civics_reference/civic_unlock_summary_renaissance_v1.csv"
"Exploration","Exploration","Merchant Republic; Navigation School with Cartography; Explorer with Cartography; Galleon with Astronomy; naval exploration bonus; Tier-2 government building choice eligibility","Maritime Infrastructure; Native Conquest candidate","Colonial Offices moved to Colonialism","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Reformed Church","Exploration","Theocracy; Tier-2 government building choice eligibility","Wars of Religion; Religious Orders; Simultaneum","Holy Site conditions converted to Temple/religious-building conditions","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Mercantilism","Exploration","Privateer with Warships; Merchant Navy and Treasure Fleets with Navigation","Logistics; Triangular Trade","Civ6 Camp yield bonus dropped as functionally weak","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Colonialism","Exploration","Overseas Colonial Administration with Astronomy; +2 Envoys","Colonial Offices; Colonial Taxes; Raj; Native Conquest","Fishing Boats yield bonus dropped; civilization uniques remain unique","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Scientific Revolution","Exploration","Research Agreement science bonus with Education; Observational Scientific Method with Astronomy","","Civ5 Rationalism Scientific Revolution adapted; no free-tech reward","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"Sovereignty","Exploration","Formal State Sovereignty; Central Charter and Tax Authority","","EE Manor rejected as universal building; World Congress remains Printing + Diplomatic Service","OK","civics_reference/civic_unlock_summary_exploration_v1.csv"
"The Enlightenment","Enlightenment","Public School with Scientific Theory","Rationalism; Free Market; Liberalism","Civ6 policy effects translated from districts to Civ V-style city buildings; religious-tourism resistance retained conceptually","OK","civics_reference/civic_unlock_summary_enlightenment_v1.csv"
