"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"IB001","Industrial","CITY_BUILDING","Shipyard","Mass Production","","TECH","Civ6 GS","Mass Production","KEEP","Large standardized industrial ship production fits the project's 19C placement of Mass Production","Requires Seaport"
"IB002","Industrial","SYSTEM","Assembly-Line Production","Mass Production","","TECH","Historical/Civ6 adaptation","Mass Production","KEEP","Project moves Mass Production to the 19th century, so assembly-line/standardized production becomes its main identity","Exact city production bonus later"
"IB003","Industrial","WONDER","Venetian Arsenal","Mass Production","","TECH","Civ6 GS","Mass Production","DEFER_WONDER","Wonder audit separate",""
"IB004","Industrial","CORPORATION_SECTOR","Automotive corporations","Mass Production","Capitalism","TECH+CIVIC","Project corporation map","AUTOMOTIVE","KEEP","Existing gate imported unchanged",""
"IB005","Industrial","CORPORATION_SECTOR","Furniture & Household Goods corporations","Mass Production","Capitalism","TECH+CIVIC","Project corporation map","FURNITURE_HOUSEHOLD","KEEP",""
"IB006","Industrial","CORPORATION_SECTOR","Retail & Distribution corporations","Mass Production","Capitalism","TECH+CIVIC","Project corporation map","RETAIL_DISTRIBUTION","KEEP",""
"IB007","Industrial","CORPORATION_SECTOR","Textiles, Apparel & Sporting Goods corporations","Mass Production","Capitalism","TECH+CIVIC","Project corporation map","TEXTILES_APPAREL_SPORTING","KEEP",""
"IB008","Industrial","YIELD_UPGRADE","Non-fresh-water Farm +1 Food","Fertilizer","","TECH","Civ5 BNW","Fertilizer","KEEP","Preserves Civ5 distinction: Irrigation helps fresh-water Farms earlier; Fertilizer lifts dry-land farming later",""
"IB009","Industrial","YIELD_UPGRADE","Plantation +1 Food","Fertilizer","","TECH","Civ5 BNW","Fertilizer","KEEP","Direct agricultural-chemistry fit",""
"IB010","Industrial","YIELD_UPGRADE","Pasture +1 Food","Fertilizer","","TECH","Civ5 BNW","Fertilizer","KEEP","Direct Civ5 Fertilizer effect retained","Pasture +1 Food"
"IB011","Industrial","CORPORATION_SECTOR","Chemicals & Industrial Materials fertilizer upgrade","Fertilizer","","TECH","Project corporation map","CHEMICALS_MATERIALS upgrade","KEEP","Existing sector upgrade imported unchanged",""
"IB012","Industrial","CITY_BUILDING","Hospital","Biology","Urbanization","TECH+CIVIC","Civ5 BNW + Health & Plague synthesis","Biology","CROSS_GATE","Biological medicine plus large urban institutional demand fit a modern hospital","Requires Aqueduct/Sewer chain to be finalized"
"IB013","Industrial","SYSTEM","Medical Biology","Biology","","TECH","Civ5 BNW + project adaptation","Biology","KEEP","Improves city Health and disease recovery through biological understanding","Exact Health value later"
"IB014","Industrial","RESOURCE_REVEAL","Oil","Refining","","TECH","Civ5 Biology remap","Biology","MOVE_TO_TECH","Oil already belongs to Refining under Civ6 GS and project Part A","Avoid duplicate reveal"
"IB015","Industrial","TILE_IMPROVEMENT","Oil Well","Refining","","TECH","Civ5 Biology remap","Biology","MOVE_TO_TECH","Land oil extraction already belongs to Refining",""
"IB016","Industrial","SYSTEM","Additional Trade Route Capacity","Biology","","TECH","Civ5 BNW","Biology","DROP","Trade capacity has weak biological relation",""
"IB017","Industrial","CORPORATION_SECTOR","Pharmaceutical corporations","Biology","Capitalism","TECH+CIVIC","Project corporation map","PHARMACEUTICALS","KEEP","Existing gate imported unchanged",""
"IB018","Industrial","UNIT","Artillery","Dynamite","Military Science","TECH+CIVIC","Civ5 BNW","Dynamite","KEEP","High explosives plus professional artillery organization produce modern long-range artillery","Upgrades Field Gun"
"IB019","Industrial","SYSTEM","High-Explosive Mining","Dynamite","","TECH","Historical adaptation","Dynamite","KEEP","Explosives improve mining and large-scale excavation","Exact mine/quarry bonus later"
"IB020","Industrial","WONDER","Great Wall obsolescence interaction","Dynamite","","TECH","Civ5 BNW","Great Wall","DEFER_WONDER","Wonder-specific obsolescence decided only if Great Wall is retained",""
