RULE_GROUP,KEY,VALUE,UNIT,STATUS,NOTES
CITY_HEALTH,POPULATION_HEALTH,-1,Health_per_population,PROJECT_LOCKED_V1,"Population pressure is linear; source gameplay examples are consistent with Health falling by 1 when population rises by 1."
CITY_HEALTH,NATURAL_FRESH_WATER,2,Health,PROJECT_LOCKED_V1,"Water-health component."
CITY_HEALTH,AQUEDUCT_WATER_FLOOR,2,Health,PROJECT_LOCKED_V1,"Does not stack with natural freshwater; max water component is 2."
CITY_HEALTH,HEALTH_FOOD_CONVERSION_CAP_POSITIVE,5,Food_per_turn,PROJECT_LOCKED_V1,"Positive Health adds Food up to +5 only when the city already has positive non-Health food surplus."
CITY_HEALTH,HEALTH_FOOD_CONVERSION_CAP_NEGATIVE,-5,Food_per_turn,PROJECT_LOCKED_V1,"Negative Health subtracts Food down to -5."
CITY_HEALTH,PLAGUED_POSITIVE_HEALTH_FOOD_BONUS,0,Food_per_turn,PROJECT_LOCKED_V1,"Active plague disables positive Health-to-Food conversion."
CITY_HEALTH,POLLUTION_HEALTH_PENALTY_DIVISOR,10,pollution_per_-1_Health,PROJECT_LOCKED_V1,"Health penalty = -floor(city pollution / 10), capped at -5."
CITY_HEALTH,POLLUTION_HEALTH_PENALTY_CAP,-5,Health,PROJECT_LOCKED_V1,"Prevents unlimited double punishment from the pollution system."
EMPIRE_HEALTH,HAPPINESS_GE_20,1,Health_all_cities,PROJECT_LOCKED_V1,"Small empire-wide public-health benefit."
EMPIRE_HEALTH,HAPPINESS_0_TO_19,0,Health_all_cities,PROJECT_LOCKED_V1,"Neutral band."
EMPIRE_HEALTH,HAPPINESS_MINUS1_TO_MINUS9,-1,Health_all_cities,PROJECT_LOCKED_V1,"Empire stress penalty."
EMPIRE_HEALTH,HAPPINESS_LE_MINUS10,-2,Health_all_cities,PROJECT_LOCKED_V1,"Severe empire stress penalty."
EMPIRE_HEALTH,SANITATION_TECH,1,EmpireHealthScore,PROJECT_LOCKED_V1,"Public sanitation knowledge."
EMPIRE_HEALTH,PENICILLIN_TECH,1,EmpireHealthScore,PROJECT_LOCKED_V1,"Modern antimicrobial capacity."
EMPIRE_HEALTH,MODERN_PUBLIC_HEALTH_CIVIC,1,EmpireHealthScore,PROJECT_LOCKED_V1,"Administrative prevention."
EMPIRE_HEALTH,ADVANCED_ASSISTIVE_MEDICINE_CIVIC,1,EmpireHealthScore,PROJECT_LOCKED_V1,"Late medical systems."
EMPIRE_HEALTH,INTERNATIONAL_TRADE_ROUTE_MALUS_PER_4,-1,EmpireHealthScore,PROJECT_LOCKED_V1,"Only international routes count; cap at -2."
EMPIRE_HEALTH,INTERNATIONAL_TRADE_ROUTE_MALUS_CAP,-2,EmpireHealthScore,PROJECT_LOCKED_V1,"Source distinguishes international from domestic trade-route malus."
EMPIRE_HEALTH,FINAL_EMPIRE_HEALTH_MIN,-3,Health_all_cities,PROJECT_LOCKED_V1,"Clamp after happiness, technology/civic and international-route effects."
EMPIRE_HEALTH,FINAL_EMPIRE_HEALTH_MAX,3,Health_all_cities,PROJECT_LOCKED_V1,"Clamp after happiness, technology/civic and international-route effects."
PLAGUE,BASE_DURATION_STANDARD,6,turns,PROJECT_LOCKED_V1,"Adjusted by medical buildings; minimum 3 turns."
PLAGUE,MIN_DURATION,3,turns,PROJECT_LOCKED_V1,"Apothecary/Hospital/Medical Lab reductions cannot shorten below this."
PLAGUE,VIRULENT_CHANCE,0.10,probability,Source_exact,"v19 change note: 10% chance."
PLAGUE,VIRULENT_DURATION_MULT,1.50,multiplier,Source_exact,"v19 change note: virulent plague lasts 50% longer."
PLAGUE,ACTIVE_HEALTH_PENALTY,-1,Health_per_final_duration_turn,Source_adapted,"Active plague Health penalty magnitude equals final plague duration, matching v18 design direction."
PLAGUE,SPREAD_BASE_PER_LINK,0.05,probability_per_turn,PROJECT_LOCKED_V1,"Applied before era/network/recipient modifiers."
PLAGUE,NETWORK_ADJACENT,1.00,multiplier,PROJECT_LOCKED_V1,"Baseline local spread."
PLAGUE,NETWORK_ROAD_RAIL,1.50,multiplier,PROJECT_LOCKED_V1,"Road and rail accelerate spread."
PLAGUE,NETWORK_SEA,1.50,multiplier,PROJECT_LOCKED_V1,"Connected sea route accelerates spread."
PLAGUE,NETWORK_INTERNATIONAL_TRADE,2.00,multiplier,PROJECT_LOCKED_V1,"International trade is the strongest routine transmission link."
PLAGUE,CROSS_BORDER_NO_TRADE,0.50,multiplier,PROJECT_LOCKED_V1,"International border alone slows spread relative to same-civ links."
PLAGUE,SPREAD_PROBABILITY_CAP,0.50,probability_per_turn,PROJECT_LOCKED_V1,"Hard cap per link."
PLAGUE,RECIPIENT_HEALTH_GE_3,0.40,multiplier,PROJECT_LOCKED_V1,"Healthy receiving city."
PLAGUE,RECIPIENT_HEALTH_1_TO_2,0.70,multiplier,PROJECT_LOCKED_V1,"Moderately healthy receiving city."
PLAGUE,RECIPIENT_HEALTH_0,1.00,multiplier,PROJECT_LOCKED_V1,"Neutral receiving city."
PLAGUE,RECIPIENT_HEALTH_MINUS1,1.25,multiplier,PROJECT_LOCKED_V1,"Unhealthy receiving city."
PLAGUE,RECIPIENT_HEALTH_MINUS2,1.50,multiplier,PROJECT_LOCKED_V1,"More susceptible receiving city."
PLAGUE,RECIPIENT_HEALTH_LE_MINUS3,2.00,multiplier,PROJECT_LOCKED_V1,"Severely unhealthy receiving city."
