"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"MB001","Modern","UNIT","Tank","Combined Arms","","TECH","Civ5 BNW; Civ6 Combustion remap","Combined Arms / Combustion","KEEP","Civ V priority preserves Landship -> Tank progression","Requires Oil"
"MB002","Modern","UNIT","Anti-Tank Gun","Combined Arms","Military Science","TECH+CIVIC","Civ5 BNW","Combined Arms","CROSS_GATE","Dedicated anti-armor warfare depends on combined-arms doctrine and organized modern artillery training",""
"MB003","Modern","UNIT","Destroyer","Combined Arms","","TECH","Civ6 GS; Civ5 Combustion remap","Combined Arms / Combustion","KEEP","Modern fleet coordination and anti-submarine/escort role fit Combined Arms better than internal-combustion technology alone","Requires Oil"
"MB004","Modern","UNIT","Marine","Combined Arms","Mobilization","TECH+CIVIC","Civ5 Penicillin remap; historical adaptation","Penicillin","REMAP_TECH","Amphibious assault infantry is a combined-arms/mobilization institution, not an antibiotic outcome",""
"MB005","Modern","UNIT","Aircraft Carrier","Electronics","","TECH","Civ6 Combined Arms remap; Civ5 Electronics","Combined Arms / Electronics","MOVE_TO_TECH","Civ V priority and complex electronic control/navigation fit Electronics",""
"MB006","Modern","RESOURCE_REVEAL","Uranium","Atomic Theory","","TECH","Civ6 Combined Arms remap; Civ5 Atomic Theory","Combined Arms / Atomic Theory","MOVE_TO_TECH","Civ V placement and scientific fit are much stronger",""
"MB007","Modern","WONDER","Pentagon","Combined Arms","","TECH","Civ5 BNW","Combined Arms","DEFER_WONDER","Wonder/national-project audit separate",""
"MB008","Modern","CITY_BUILDING","Research Lab","Plastics","","TECH","Civ5 BNW","Plastics","KEEP","Civ V priority; modern materials/equipment support a full modern laboratory","Requires University/Public School chain"
"MB009","Modern","TILE_IMPROVEMENT","Offshore Oil Rig","Plastics","","TECH","Civ6 GS","Plastics","KEEP","Direct source placement and strong offshore-material engineering fit","Improves sea Oil"
"MB010","Modern","RESOURCE_EXPLOITATION","Offshore Oil","Plastics","","TECH","Civ6 GS","Offshore Oil Rig","KEEP","Sea Oil extraction begins here","Land Oil remains Refining/Oil Well"
"MB011","Modern","UNIT","Infantry","Replaceable Parts","Nationalism","TECH+CIVIC","Civ5 Plastics remap","Plastics","MOVE_TO_TECH","Already assigned earlier to standardized production plus national mass-army system","Avoid duplicate"
"MB012","Modern","UNIT","Spec Ops","Radar","Mobilization","TECH+CIVIC","Civ6 Plastics remap","Plastics","REMAP_TECH","Special operations depend more on modern communications, reconnaissance and organized deployment than on plastics","Final placement may shift to Atomic Rapid Deployment"
"MB013","Modern","YIELD_UPGRADE","Fishing Boats +1 Food","Plastics","","TECH","Civ6 GS","Plastics","DROP","Weak direct relationship and unnecessary late fishing-yield stacking",""
