"ITEM_EN","UNLOCK","UNLOCK_TYPE","SECONDARY_GATE","CONDITION","YIELD","CHANGE","SOURCE_BASIS","STATUS","NOTES"
"Farm","Irrigation","TECH","","FRESH_WATER_ONLY","FOOD","1","Project tech master","LOCKED_V1","Fresh-water Farm bonus moved here"
"Farm","Calendar","TECH","","RESOURCE=WHEAT|RICE|MAIZE","FOOD","1","Project tech master","LOCKED_V1","Seasonal Agriculture bonus on improved staple crops"
"Farm","Horse Collar","TECH","","ALL_FARMS","PRODUCTION","1","Project tech master","LOCKED_V1","Draft Animal Labor"
"Farm","Fertilizer","TECH","","NON_FRESH_WATER_ONLY","FOOD","1","Project tech master","LOCKED_V1","Non-fresh Farm +1 Food"
"Pasture","Fertilizer","TECH","","ALL_PASTURES","FOOD","1","Project tech master","LOCKED_V1",""
"Pasture","Replaceable Parts","TECH","","ALL_PASTURES","PRODUCTION","1","Project tech master","LOCKED_V1","Mechanized agriculture"
"Mine","Apprenticeship","TECH","","ALL_MINES","PRODUCTION","1","Project tech master","LOCKED_V1",""
"Mine","Chemistry","TECH","","ALL_MINES","PRODUCTION","1","Project tech master","LOCKED_V1",""
"Mine","Industrialization","TECH","","ALL_MINES","PRODUCTION","1","Project tech master","LOCKED_V1",""
"Mine","Smart Materials","TECH","","ALL_MINES","PRODUCTION","1","Project Future tech master","LOCKED_V1",""
"Fishing Boats","Compass","TECH","","ALL_FISHING_BOATS","GOLD","1","Project tech master + Civ5","LOCKED_V1",""
"Plantation","Fertilizer","TECH","","ALL_PLANTATIONS","FOOD","1","Project tech master","LOCKED_V1",""
"Quarry","Chemistry","TECH","","ALL_QUARRIES","PRODUCTION","1","Project tech master","LOCKED_V1",""
"Camp","Economics","TECH","","ALL_CAMPS","GOLD","1","Civ5 fallback retained","LOCKED_V1","Civ6 Mercantilism Camp bonus remains explicitly dropped"
"Lumber Mill","Machinery","TECH","","ALL_LUMBER_MILLS","PRODUCTION","1","Project tech master","LOCKED_V1",""
"Lumber Mill","Scientific Theory","TECH","","ALL_LUMBER_MILLS","PRODUCTION","1","Project tech master + Civ5","LOCKED_V1",""
"Lumber Mill","Steam Power","TECH","","ALL_LUMBER_MILLS","PRODUCTION","1","Project tech master","LOCKED_V1",""
"Academy","Scientific Theory","TECH","","ALL_ACADEMIES","SCIENCE","1","Project nerf of Civ5 +2","LOCKED_V1",""
"Academy","Atomic Theory","TECH","","ALL_ACADEMIES","SCIENCE","1","Project nerf of Civ5 +2","LOCKED_V1",""
"Landmark","Flight","TECH","","ALL_LANDMARKS","TOURISM","2","Project adaptation","LOCKED_V1","Generic Worker-built Landmark gains late tourism"
"Manufactory","Chemistry","TECH","","ALL_MANUFACTORIES","PRODUCTION","1","Project tech master","LOCKED_V1",""
"Oil Well","Predictive Systems + Optimization Imperative","TECH_CIVIC","","ALL_OIL_WELLS","PRODUCTION","1","Project Future tech master","LOCKED_V1","Extraction upgrade"
"Offshore Oil Rig","Predictive Systems + Optimization Imperative","TECH_CIVIC","","ALL_OFFSHORE_OIL_RIGS","PRODUCTION","1","Project Future tech master","LOCKED_V1","Extraction upgrade"
