TECH_EN,UNITS,CITY_BUILDINGS,TILE_IMPROVEMENTS,ROUTES_INFRASTRUCTURE,RESOURCE_REVEAL,RESOURCE_EXPLOITATION,CORPORATION_UNLOCKS,SYSTEMS_NOTES
"Agriculture","Worker; starting Settler/Warrior/Scout","","Farm","","","Farm/Wheat baseline","","Starting core economy and improvement workforce"
"Pottery","","Granary","","","","","","Granary flagged for later Health modifier tuning"
"Animal Husbandry","Caravan (requires Foreign Trade)","","Pasture","","Horses","Horses; Cattle; Sheep","","Land trade is cross-gated with Foreign Trade civic"
"Mining","","","Mine","","","Mineable minerals","","Forest clearing; one-shot Civ6 harvesting dropped"
"Sailing","Work Boat; Trireme; Cargo Ship (requires Foreign Trade)","","Fishing Boats","","","Coastal sea resources","","Maritime trade cross-gated with Foreign Trade; embarkation moved to Shipbuilding"
"Astrology","","Shrine","","","","","","Great Prophet/religion access cross-gated with Mysticism; Holy Site district removed"
"Irrigation","","","","","","","","Marsh clearing; +1 Food to fresh-water Farms (material effect moved from Civ5 Civil Service)"
"Archery","Archer","","","","","","","",""
"Writing","","Library","","","","","","Campus removed; Open Borders deferred to civic-tech reconciliation"
"Masonry","Battering Ram","Walls; Stone Works","Quarry","","","Stone; Marble","","Marsh clearing moved to Irrigation"
"Bronze Working","Spearman","Barracks","","","Iron","","","Jungle/Rainforest clearing; Encampment district removed"
"Wheel","Chariot Archer","Water Mill","","Road","","","","Heavy Chariot deferred to unit-roster audit"
"Calendar","","","Plantation","","","Plantation crops/luxuries","","Stone Works moved to Masonry"
"Trapping","","Circus (requires Games and Recreation)","Camp","","","Bison; Deer; Furs; Ivory; Truffles","","Circus becomes tech+civic cross-gate"
