POLICY_EN,CIVIC_EN,POLICY_SLOT,FINAL_EFFECT,SOURCE_BASIS
"Discipline","Code of Laws","Military","+5 Combat Strength against Barbarians","Civ6 GS direct"
"God King","Code of Laws","Economic","+1 Faith and +1 Gold in the Capital","Civ6 GS direct"
"Survey","Code of Laws","Military","Recon units gain +100% experience","Civ6 GS direct"
"Urban Planning","Code of Laws","Economic","+1 Production in every city","Civ6 GS direct"
"Ilkum","Craftsmanship","Economic","+30% Production toward Workers","Civ6 Builder production adapted to Worker"
"Agoge","Craftsmanship","Military","+50% Production toward Ancient and Classical melee, ranged, and anti-cavalry units","Civ6 GS direct"
"Caravansaries","Foreign Trade","Economic","+2 Gold from every Trade Route","Civ6 GS direct"
"Maritime Industries","Foreign Trade","Military","+100% Production toward Ancient and Classical naval units","Civ6 GS direct"
"Maneuver","Military Tradition","Military","+50% Production toward Ancient and Classical light and heavy cavalry units","Civ6 GS direct"
"Strategos","Military Tradition","Wildcard","+2 Great General Points per turn","Civ6 GS direct"
"Conscription","State Workforce","Military","Unit maintenance -1 Gold per unit per turn","Civ6 GS direct"
"Corvée","State Workforce","Economic","+15% Production toward Ancient and Classical Wonders","Civ6 GS direct"
"Colonization","Early Empire","Economic","+50% Production toward Settlers","Civ6 GS direct"
"Land Surveyors","Early Empire","Economic","Tile purchase cost -20%","Civ6 GS direct"
"Limitanei","Early Empire","Military","Garrisoned cities suffer 25% less occupation/unrest pressure","Civ6 +2 Loyalty adapted because baseline has no Civ6 Loyalty system"
"Inspiration","Mysticism","Wildcard","+2 Great Scientist Points per turn","Civ6 GS direct"
"Revelation","Mysticism","Wildcard","+2 Great Prophet Points per turn","Civ6 GS direct"
