POLICY_EN,CIVIC_EN,POLICY_SLOT,FINAL_EFFECT,SOURCE_BASIS
"Laissez-Faire","Capitalism","Wildcard","+4 Great Merchant Points per turn","Civ6 direct"
"Market Economy","Capitalism","Economic","International Trade Routes provide +1 Gold per improved Luxury/Strategic resource at destination, plus +2 Culture and +2 Science","Civ6 direct"
"Public Works","Civil Engineering","Economic","+30% Production toward Workers; Workers construct tile improvements 50% faster","Civ6 Builder bonus adapted"
"Skyscrapers","Civil Engineering","Economic","+15% Production toward all Wonders","Civ6 direct"
"Resource Management","Conservation","Military","Improved Aluminum and Oil sources yield +1 additional strategic resource per turn","Civ6 GS direct"
"Collective Bargaining","Labor Movement","Economic","Cities with Workshop, Factory, or Steelworks gain +1 Amenity; Labor Dispute pressure -50%","Project historical"
"Factory Acts","Labor Movement","Economic","Industrial Health/pollution penalty -25%; Factory and Steelworks Production output -10%","Project historical"
"Propaganda","Mass Media","Military","War weariness accumulation -25%","Civ6 direct"
"Grande Armée","Nationalism","Military","+50% Production toward Industrial-era and earlier melee, ranged, and anti-cavalry units","Civ6 direct"
"National Identity","Nationalism","Military","Combat Strength penalty from unit damage reduced by 50%","Civ6 direct"
"Expropriation","Scorched Earth","Economic","+50% Production toward Settlers; tile purchase cost -20%","Civ6 direct"
"Military Organization","Scorched Earth","Wildcard","+4 Great General Points per turn; Armory +2 Great General Points; Military Academy +4 Great General Points; Great Generals +2 Movement","Civ6 GS direct"
"Total War","Scorched Earth","Military","Pillage and coastal-raid yields +100%; Trade Route plunder rewards +50%","Civ6 GS direct"
"Public Transport","Urbanization","Economic","Cities using the Urban Housing system gain +2 Housing and +1 Amenity","Civ6 Neighborhood effect adapted"
