"RESOURCE_ID","CLASS","DYNAMIC_TRANSFER","VISIBILITY_OR_REVEAL","BASE_RESOURCE_YIELDS","IMPROVEMENT","IMPROVED_RESOURCE_YIELDS","LUXURY_HAPPINESS","MONOPOLY_EFFECT","QUANTITY_RULE","STATUS","NOTES"
"HORSES","STRATEGIC","YES","CONTACT_DYNAMIC_V2","Production+1","Pasture","Production+2","0","Tile Science+2; Strategic monopoly Attack+10%","PROJECT_EVIDENCE_NORMALIZED_QUANTITY","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"IRON","STRATEGIC","NO","TECH_REVEAL:Bronze Working","Production+1","Mine","Science+1","0","Tile Production+2; Strategic monopoly Defense+10%","PROJECT_EVIDENCE_NORMALIZED_QUANTITY","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"NITER","STRATEGIC","NO","TECH_REVEAL:Military Engineering","Production+1 [PROJECT]","Mine","Production+1 [PROJECT provisional]","0","PENDING_PROJECT_MONOPOLY","PROJECT_EVIDENCE_NORMALIZED_QUANTITY","PROJECT_EXTENSION","VP has no Niter resource; project extension uses fixed natural deposits plus later manufactured saltpetre option."
"COAL","STRATEGIC","NO","TECH_REVEAL:Manufacturing","Production+1","Mine","Production+1","0","Tile Gold+3; Naval Attack+10% Defense+10%","PROJECT_EVIDENCE_NORMALIZED_QUANTITY","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"OIL","STRATEGIC","NO","TECH_REVEAL:Refining","Production+1","Oil Well / Offshore Oil Rig","Well Production+5; Offshore Production+3","0","Tile Science+2; XP bonus+2","PROJECT_EVIDENCE_NORMALIZED_QUANTITY","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"ALUMINUM","STRATEGIC","NO","TECH_REVEAL:Electricity","Production+1","Mine","Production+1","0","Tile Production+2; Heal bonus+5","PROJECT_EVIDENCE_NORMALIZED_QUANTITY","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"URANIUM","STRATEGIC","NO","TECH_REVEAL:Atomic Theory","Production+1; Science+1","Mine [PROJECT override of VP Quarry]","Science+1 [VP effect, Mine mapping]","0","Empire Science+10%; Attack+10%","PROJECT_EVIDENCE_NORMALIZED_QUANTITY","VP_YIELD_PROJECT_IMPROVEMENT_OVERRIDE","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"BANANAS","BONUS","YES","CONTACT_DYNAMIC_V2","","Plantation","Food+3; Gold+1","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
"BISON","BONUS","NO","FIXED_MAP_STANDARD_VISIBILITY","Food+1","Camp","Food+1; Gold+1","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yields/monopoly mapped to project resource catalog; Stage10 placement overrides VP random placement."
"CATTLE","BONUS","YES","CONTACT_DYNAMIC_V2","Production+1","Pasture","Food+1; Production+1","0","NONE","1","VP_DIRECT_OR_MAPPED","VP yield/monopoly adopted, but project START_VISIBLE/LATENT/ACTIVE_INTRODUCED rules override VP tech-reveal/placement."
