id,name,lat,lon,radius_km,weight,evidence_type,source_short,source_url
BIHAR_PATNA,Patna-Bihar saltpetre district,25.61,85.14,180,5,historical_production,"Ray 2005; Bihar was the most voluminous Indian source around Patna","https://insa.nic.in/writereaddata/UpLoadedFiles/IJHS/Vol4_2005_06_EPIC%20OF%20SALTPETRE%20TO%20GUNPOWDER.pdf"
UPPER_GANGES_UP,United Provinces saltpetre belt,26.45,80.35,220,4,historical_production,"Indian production statistics list United Provinces among chief centres","https://journal.iisc.ac.in/index.php/iisc/article/viewFile/1642/4693"
PUNJAB,Punjab saltpetre belt,31.63,74.87,180,4,historical_production,"Indian production statistics list Punjab among chief centres","https://journal.iisc.ac.in/index.php/iisc/article/viewFile/1642/4693"
GUJARAT,Gujarat historic saltpetre source,23.02,72.57,140,2,historical_production,"Ray 2005 notes Gujarat among Indian saltpetre-producing regions","https://insa.nic.in/writereaddata/UpLoadedFiles/IJHS/Vol4_2005_06_EPIC%20OF%20SALTPETRE%20TO%20GUNPOWDER.pdf"
COROMANDEL,Coromandel historic saltpetre source,13.08,80.27,160,2,historical_production,"Ray 2005 notes Coromandel among Indian saltpetre-producing regions","https://insa.nic.in/writereaddata/UpLoadedFiles/IJHS/Vol4_2005_06_EPIC%20OF%20SALTPETRE%20TO%20GUNPOWDER.pdf"
DASHIWEI,Dashiwei karst saltpetre system,24.808,106.444,150,4,natural_historical,"Sun et al. 2026: cave saltpetre widespread in SW China and historically principal source","https://www.sciencedirect.com/science/article/pii/S2590056026000046"
JINFO,Jinfo Cave saltpetre system,29.033,107.183,100,3,natural_historical,"Sun et al. 2026 compares Dashiwei and Jinfo Cave nitrate systems","https://www.sciencedirect.com/science/article/pii/S2590056026000046"
GOKAYAMA,Gokayama saltpetre production,36.4256,136.9357,55,4,historical_production,"Japan Tourism Agency: major saltpetre industry for over 300 years","https://www.mlit.go.jp/tagengo-db/en/R1-00116.html"
SHIRAKAWAGO,Shirakawa-go saltpetre production,36.2573,136.9068,45,3,historical_production,"World Heritage Center: Gokayama and Shirakawa-go were saltpetre production centres","https://whc-shirakawa-goandgokayama.jp/en/background/"
CHICHIBU,Chichibu saltpetre and gunpowder production,35.9915,139.0858,60,2,historical_production,"J-STAGE historical study: Chichibu became a production centre in late Edo period","https://www.jstage.jst.go.jp/article/jjhp/54/2/54_77/_article/-char/en"
