"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"EX001","Exploration","SYSTEM","Cartographic Surveying","Cartography","","TECH","Civ6 GS + historical adaptation","Cartography","KEEP","Cartography's core role is accurate charting and spatial knowledge, not ship propulsion","Exact map/recon bonus later"
"EX002","Exploration","UNIT","Caravel","Astronomy","Exploration","TECH+CIVIC","Civ5 BNW priority; Civ6 remap","Astronomy / Cartography","CROSS_GATE","Civ5 places Caravel and oceanic navigation at Astronomy; organized exploration supplies the institutional side",""
"EX003","Exploration","SYSTEM","Ocean Navigation","Astronomy","Exploration","TECH+CIVIC","Civ5 BNW priority; Civ6 remap","Astronomy / Cartography","CROSS_GATE","Astronomical navigation plus an exploration program better represents sustained oceanic voyaging",""
"EX004","Exploration","YIELD_UPGRADE","Fishing Boats Gold bonus","Compass","","TECH","Civ6 Cartography remap; Civ5 Compass","Cartography / Compass","MOVE_TO_TECH","Compass already owns the fishing-boat commerce upgrade under Civ5 priority","Avoid duplicate yield stacking"
"EX005","Exploration","WONDER","Casa de Contratación","Cartography","","TECH","Civ6 GS","Cartography","DEFER_WONDER","Wonder audit separate",""
"EX006","Exploration","SYSTEM","Embarked Unit Movement +1","Square Rigging","","TECH","Civ6 GS","Square Rigging","KEEP","Direct source effect and strong functional fit",""
"EX007","Exploration","SYSTEM","Advanced Sailing Rig","Square Rigging","","TECH","Historical adaptation","Square Rigging","KEEP","Represents improved sail plans and handling without duplicating a ship unit unlock",""
"EX008","Exploration","UNIT","Frigate","Warships","","TECH","Civ5 Enlightenment Era priority over Civ6 Square Rigging","Warships / Square Rigging","REMAP_TECH","The project retained a dedicated Warships node from the adopted Enlightenment Era mod, so Frigate belongs there",""
"EX009","Exploration","UNIT","De Zeven Provinciën","Square Rigging","","TECH","Civ6 GS","Square Rigging","DEFER_CIV_UNIQUE","Civilization-specific unit remains unique",""
"EX010","Exploration","CITY_BUILDING","Observatory","Astronomy","","TECH","Civ5 BNW","Astronomy","KEEP","Civ5 priority and direct scientific fit","Mountain/terrain requirement to be tuned later"
"EX011","Exploration","UNIT","Caravel","Astronomy","Exploration","TECH+CIVIC","Civ5 BNW","Astronomy","KEEP","Retain Civ5 oceanic naval-melee milestone with civic exploration gate",""
"EX012","Exploration","SYSTEM","Ocean Crossing","Astronomy","Exploration","TECH+CIVIC","Civ5 BNW","Astronomy","KEEP","Earlier Astrolabe/Compass improve navigation but do not grant full ocean crossing",""
"EX013","Exploration","WONDER","Potala Palace","Astronomy","","TECH","Civ6 GS","Astronomy","DEFER_WONDER","Wonder audit separate",""
"EX014","Exploration","CITY_BUILDING","Seaport","Navigation","","TECH","Civ5 BNW","Navigation","KEEP","Civ5 priority; advanced port infrastructure fits Navigation","Requires Harbor"
"EX015","Exploration","UNIT","Ship of the Line","Navigation","","TECH","Civ5 Enlightenment Era","Navigation","KEEP","Adopted Enlightenment Era makes Ship of the Line a standard unit at Navigation","Requires Iron if retained from source"
"EX016","Exploration","UNIT","Frigate","Warships","","TECH","Civ5 BNW remap; Enlightenment Era","Navigation / Warships","MOVE_TO_TECH","Dedicated Warships node receives Frigate to avoid duplication",""
"EX017","Exploration","SYSTEM","Advanced Naval Navigation","Navigation","","TECH","Civ5 BNW","Navigation","KEEP","Improves naval range/logistics around the Seaport and ocean-going fleets","Exact movement/range values later"
"EX018","Exploration","CITY_BUILDING","Navigation School","Cartography","Exploration","TECH+CIVIC","Civ5 Exploration policy adaptation","Navigation School","ADAPT_CITY","Turn the Civ5 policy concept into a one-per-civilization maritime academy","Great Admiral/navigation effects later"
"EX019","Exploration","CITY_BUILDING","Opera House","Acoustics","Patronage","TECH+CIVIC","Civ5 BNW + project civic synthesis","Acoustics","CROSS_GATE","Acoustic knowledge and sustained cultural patronage jointly support large music venues","Requires Amphitheater"
"EX020","Exploration","CITY_BUILDING","Musicians' Guild","Acoustics","Patronage","TECH+CIVIC","Civ5 BNW","Acoustics","CROSS_GATE","Guild is institutional; Acoustics provides technical/music-science side","One per civilization"
"EX021","Exploration","GREAT_PERSON_SYSTEM","Great Musician generation","Acoustics","Patronage","TECH+CIVIC","Civ5 BNW","Musicians' Guild","KEEP","Generated through guild specialists, not a Great Person tile improvement",""
"EX022","Exploration","CORPORATION_SECTOR","Cultural Manufactured Goods corporations","Acoustics","Capitalism","TECH+CIVIC","Project corporation map","CULTURAL_GOODS","KEEP","Existing corporation gate imported unchanged","Actual founding waits for later Capitalism civic"
"EX023","Exploration","WONDER","Sistine Chapel / Kremlin","Acoustics","","TECH","Civ5 BNW","Acoustics","DEFER_WONDER","Wonder audit separate",""
"EX024","Exploration","UNIT","Line Infantry","Flintlock","","TECH","Civ5 Enlightenment Era","Flintlock","KEEP","Direct adopted-mod unlock; upgrades early firearm infantry","Arquebusier -> Line Infantry"
"EX025","Exploration","UNIT","Skirmisher","Flintlock","","TECH","Civ5 Enlightenment Era","Flintlock","KEEP","Direct adopted-mod unlock; upgrades Crossbowman in the mod's ranged line","Final combat role checked in unit audit"
