FOUNDER,REGION,PROJECT_ERA,GREAT_PERSON,SIGNATURE_FIRM,FOUNDER_STATUS,SECTOR,OUTPUT_CLASS,PRODUCT_SERVICE,TECH_GATE,CIVIC_GATE,AUDIT_STATUS,SOURCE,NOTE
"Levi Strauss","Europe/North America","Industrial","Great Merchant","Levi Strauss & Co.","Founder","Apparel","Manufactured Luxury","Jeans","Mass Production","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Estée Lauder","Europe/North America","Atomic","Great Merchant","Estée Lauder","Co-founder","Cosmetics","Manufactured Luxury","Cosmetics","Chemistry","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Joseph Lauder co-founder"
"Milton Hershey","Europe/North America","Industrial","Great Merchant","Hershey","Founder","Confectionery","Manufactured Luxury","Chocolate","Refrigeration","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Henri Nestlé","Europe/North America","Industrial","Great Engineer","Nestlé precursor","Founder","Food science","Functional Corporate Good","Processed/Nutritional Food","Refrigeration","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Henry J. Heinz","Europe/North America","Industrial","Great Merchant","Heinz","Founder","Processed Food","Functional Corporate Good","Processed Food","Refrigeration","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Gabrielle Chanel","Europe/North America","Modern","Great Merchant","Chanel","Founder","Fashion/Luxury","Manufactured Luxury","Fashion Goods / Perfume","Mass Production","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Ingvar Kamprad","Europe/North America","Modern","Great Merchant","IKEA","Founder","Furniture/Retail","Manufactured Luxury","Furniture","Mass Production","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Conrad Hilton","Europe/North America","Modern","Great Merchant","Hilton","Founder","Hospitality","Service","Hotel Services","Railroad","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"J. Willard Marriott","Europe/North America","Modern","Great Merchant","Marriott","Co-founder","Hospitality","Service","Hotel Services","Railroad","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Alice Marriott co-founder"
"Marcus Goldman","Europe/North America","Industrial","Great Merchant","Goldman Sachs","Founder","Finance","Service","Financial Services","Banking","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"J. Pierpont Morgan","Europe/North America","Industrial","Great Merchant","J.P. Morgan lineage","Lineage founder / partner","Finance","Service","Financial Services","Banking","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Drexel partnership must be credited"
"John D. Rockefeller","Europe/North America","Industrial","Great Merchant","Standard Oil","Founder / principal organizer","Petroleum","Functional Corporate Good","Refined Petroleum Products","Refining","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; Standard Oil had multiple organizers"
"Carl Benz","Europe/North America","Industrial","Great Engineer","Benz & Cie.","Founder","Automotive","Hybrid: Manufactured Luxury + Functional Corporate Good","Automobiles","Combustion","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
"Henry Ford","Europe/North America","Modern","Great Engineer","Ford Motor Co.","Founder / principal organizer","Automotive/Mass Production","Hybrid: Manufactured Luxury + Functional Corporate Good","Automobiles","Combustion","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED; 12 other initial investors existed"
"Robert Bosch","Europe/North America","Industrial","Great Engineer","Bosch","Founder","Precision/Automotive Components","Hybrid: Manufactured Luxury + Functional Corporate Good","Precision Components","Combustion","Capitalism","LOCK_CANDIDATE","Inherited from CORPORATE_FOUNDER_POOL_RESEARCH_V1 primary-source audit","PRIMARY VERIFIED"
