"IMPROVEMENT","UNLOCK","BASE_OR_RULE","TECH_OR_CIVIC_UPGRADES","PILLAGE_GOLD","STATUS","NOTES"
"Farm","Agriculture","Vanilla base; Fresh Water +1 Food; +1 Food per 2 adjacent Farms","Civil Service(civic): Food +1; Mathematics: Food +1; Fertilizer: Food +2; Robotics: Food +3","8","VP_DIRECT_ADOPT","VP farm adjacency/fresh-water structure adopted. Replaces older scattered project Farm upgrade notes."
"Village","Currency","Gold +2; Culture +1; NoTwoAdjacent; Road: Gold +1 Production +1; Railroad: Gold +2 Production +2","Guilds(civic): Gold +1; Railroad: Culture +1","11","VP_DIRECT_ADOPT","VP Trading Post is treated/displayed as Village."
"Mine","Mining","Vanilla Mine base","Steel: Production +1; Steam Power: Production +2; Combustion: Production +1; Robotics: Production +3","8","VP_DIRECT_ADOPT","VP progression adopted; project tech tree notes must be reconciled."
"Quarry","Masonry","Vanilla Quarry base","Machinery: Production +1; Steam Power: Production +1; Dynamite: Production +2","17","VP_DIRECT_ADOPT","Resource-only improvement."
"Pasture","Animal Husbandry","Vanilla Pasture base","Civil Service(civic): Food +2; Fertilizer: Gold +2; Robotics: Food +3","17","VP_DIRECT_ADOPT","Replaces older project Horse Collar/Replaceable Parts yield notes."
"Plantation","Irrigation","Vanilla Plantation base","Chemistry: Gold +1; Economics: Gold +1; Plastics: Gold +1","17","VP_DIRECT_ADOPT","Project unlock remains Irrigation."
"Camp","Trapping","Vanilla Camp base; on Marsh Food -2 tradeoff","Guilds(civic): Gold +1; Gunpowder: Gold +1; Rifling: Gold +1; Refrigeration: Gold +2","17","VP_DIRECT_ADOPT","VP progression adopted."
"Fishing Boats","Sailing","Vanilla Fishing Boats base","Compass: Food +1; Navigation: Food +1; Refrigeration: Food +2","17","VP_DIRECT_ADOPT","Replaces previous project Compass +Gold note."
"Lumber Mill","Construction","VP adjacency: +1 Gold and +1 Production per 2 adjacent Lumber Mills; may work Jungle with -1 Production +1 Gold adjustment","Metallurgy: Gold +1 Production +1; Combustion: Gold +1 Production +1","8","VP_ADOPT_PROJECT_UNLOCK","Project keeps earlier Construction unlock instead of VP Metal Casting."
"Fort","Engineering","Local Culture +2; NoTwoAdjacent; cannot be built on resources; does not consume GP","Chemistry: Science +2; Military Science: local Culture +2; Stealth Technology: Science +4; Electronics: local Culture +4","11","VP_DIRECT_ADOPT","Project Fort upgrade tiers at Siege Tactics/Fortification remain defensive overlays."
