TECH_EN,TECH_KO,PROJECT_ERA,UNITS,CITY_BUILDINGS,TILE_IMPROVEMENTS,ROUTES_INFRASTRUCTURE,RESOURCE_REVEAL,RESOURCE_EXPLOITATION,SYSTEMS_NOTES,QA_STATUS,SUMMARY_SOURCE
"Agriculture","농업","Ancient","Worker","","Farm","","","","Core farm/worker structure","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Pottery","도예","Ancient","","Granary","","","","","Shrine moved to Mysticism civic","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Animal Husbandry","목축","Ancient","Caravan with Foreign Trade","","Pasture","","Horses","Horses; Cattle; Sheep","Land trade requires Foreign Trade civic","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Mining","채광","Ancient","","","Mine","","","Mineable minerals","Forest clearing","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Sailing","항해","Ancient","Work Boat; Trireme; Cargo Ship with Foreign Trade","","Fishing Boats","","","Fish; Crab; Pearls; Whales","Maritime trade requires Foreign Trade; embarkation moved to Shipbuilding","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Astrology","점성술","Ancient","","","","","","","Great Prophet/religion access only with Mysticism","SPARSE_SYSTEM_ONLY","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Irrigation","관개","Ancient","","","Plantation","","","Plantation crops/luxuries","Marsh clearing; fresh-water Farm +1 Food","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Archery","궁술","Ancient","Archer","","","","","","","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Writing","문자","Ancient","","Library","","","","","Courthouse additionally requires Code of Laws","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
"Masonry","석조기술","Ancient","Battering Ram","Walls; Stone Works","Quarry","","","Stone; Marble","","OK","tech_reference/technology_unlock_summary_ancient_v2.csv"
