SOURCE_TYPE,SOURCE_NAME,PROJECT_GATE,POWER_PER_SOURCE_OR_RESOURCE,RESOURCE_CAPACITY_TYPE,NETWORK_SCOPE,TILE_YIELDS,EMISSION_CLASS,STATUS,RATIONALE
BUILDING,Coal Power Plant,Electricity + Power Plant,4,Coal capacity: 1 per 4 Power demanded,6_HEX_CITY_NETWORK,,HEAVY,SOURCE_ADAPTED,GS conversion rate retained; project uses persistent strategic-resource capacity rather than a depletion stockpile.
BUILDING,Power Plant,Electricity + Civil Engineering + Factory,4,Oil capacity: 1 per 4 Power demanded,6_HEX_CITY_NETWORK,,MODERATE,PROJECT_OVERRIDE_GS_OIL_ROLE,Existing generic project Power Plant is assigned the GS Oil Power Plant fuel role instead of adding a duplicate Oil Power Plant roster entry.
BUILDING,Nuclear Power Plant,Nuclear Fission + Civil Engineering + Power Plant,16,Uranium capacity: 1 per 16 Power demanded,6_HEX_CITY_NETWORK,,MINUSCULE,SOURCE_ADAPTED,GS uranium conversion rate retained; nuclear accident/age system remains a separate climate-risk module.
BUILDING,Solar Plant,Ecology + Environmentalism + Power Plant,6,NONE,6_HEX_CITY_NETWORK,,ZERO,PROJECT_INTERPOLATED,Existing Civ5-derived Solar Plant has no GS building counterpart; fixed clean output is set equal to the GS Hydroelectric Dam and three Solar Farms.
INFRASTRUCTURE,Hydroelectric Dam,Electricity + Dam,6,NONE,OWN_CITY,,ZERO,SOURCE_EXACT_GS,GS Hydroelectric Dam output retained after translating district requirement to project Dam infrastructure.
IMPROVEMENT,Solar Farm,Ecology + Environmentalism,2,NONE,OWN_CITY,Production+1; Gold+1,ZERO,SOURCE_ADAPTED,GS yield/power retained; project gate remains Ecology + Environmentalism rather than GS Satellites.
IMPROVEMENT,Wind Farm,Composites + Environmentalism,2,NONE,OWN_CITY,Production+1; Gold+2,ZERO,SOURCE_ADAPTED,GS yield/power retained with project civic co-gate.
IMPROVEMENT,Geothermal Plant,Ecology + Environmentalism,4,NONE,OWN_CITY,Production+2; Science+1,ZERO,SOURCE_ADAPTED,GS yield/power retained; construction still requires a Geothermal Fissure or an explicitly implemented project geothermal-potential tile layer.
IMPROVEMENT,Offshore Wind Farm,Predictive Systems + Environmentalism,2,NONE,OWN_CITY,Production+2,ZERO,SOURCE_ADAPTED,Current GS Civilopedia yield/power retained; coast or lake only.
BUILDING,Grid Battery Storage,Advanced Power Cells + Global Warming Mitigation,0,NONE,OWN_CITY,,ZERO,DEFERRED_STORAGE_RULE,Storage does not create Power; exact surplus-storage/network rule remains separate from generation balance.
