"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"INB001","Information","TILE_IMPROVEMENT","Seastead","Seasteads","","TECH","Civ6 GS","Seasteads","KEEP","Direct Civ6 generic tile improvement and an ideal use of Civ6 fallback for an otherwise sparse node","Built on water tiles; exact adjacency yields can be adapted from Civ6"
"INB002","Information","SYSTEM","Ocean Settlement Support","Seasteads","","TECH","Civ6 GS adaptation","Seastead","KEEP","Seastead technology supports food, housing and productive use of coast/lake/ocean tiles","Does not create a Civ6 district"
"INB003","Information","YIELD_UPGRADE","Fishing Boats-Seastead adjacency","Seasteads","","TECH","Civ6 GS","Seastead","ADAPT","Retain reciprocal production synergy between Seasteads and adjacent Fishing Boats","Exact +1 source value may be balance-tested"
"INB004","Information","YIELD_UPGRADE","Reef Culture/Tourism around Seasteads","Seasteads","Environmentalism","TECH+CIVIC","Civ6 GS","Seastead","CROSS_GATE","Retain tourism/ecological-waterfront concept with environmental institutional support","Exact source adjacency value later"
"INB005","Information","SYSTEM","Diplomatic recognition from Seasteads","Seasteads","","TECH","Civ6 GS","Seasteads","DROP","Civ6 awards a Diplomatic Victory point; project should not make a technology automatically grant victory currency",""
"INB006","Information","PROJECT","Terrestrial Laser Station","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 GS","Offworld Mission","KEEP","Direct Civ6 project and strong offworld-program fit","Requires Space Launch Center"
"INB007","Information","PROJECT","Lagrange Laser Station","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 GS","Offworld Mission","KEEP","Direct Civ6 project and strong offworld-program fit","Requires Space Launch Center"
"INB008","Information","PROJECT","Mars Colony","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Nanotechnology remap; project prior decision","Nanotechnology","KEEP","Previously deferred Mars settlement component is consolidated into dedicated offworld technology/civic","Nanotechnology acts as supporting prerequisite through tech tree"
"INB009","Information","PROJECT","Mars Hydroponics","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Nanotechnology remap","Nanotechnology","KEEP","Consolidated into offworld mission chain",""
"INB010","Information","PROJECT","Mars Habitation","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Robotics remap","Robotics","KEEP","Consolidated into offworld mission chain","Robotics supports project technologically"
"INB011","Information","PROJECT","Mars Reactor","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Nuclear Fusion remap","Nuclear Fusion","KEEP","Consolidated into offworld mission chain","Nuclear Fusion remains supporting technology"
"INB012","Information","PROJECT","Exoplanet Expedition","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Smart Materials remap","Smart Materials","KEEP","Late offworld expedition belongs to dedicated offworld program","Requires completion of prior space milestones"
"INB013","Information","SYSTEM","Offworld Logistics and Self-Sufficiency","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Civilopedia concept + project adaptation","Offworld Mission","KEEP","Food, water, repair and isolated settlement logistics form the general-purpose system behind offworld projects",""
"INB014","Information","SYSTEM","Repeatable Future Research","Future Tech","","TECH","Civ6 GS","Future Tech","KEEP","Civ6 Future Tech is repeatable and therefore provides a natural terminal technology sink",""
