date,field_end_date,state,pollster,sample_size,population,match_status,source_name,source_url,notes
2026-09-17,2026-09-11,AK,Fabrizio/Anzalone,800,LV,exact_variant,Call the Map Alaska Senate archive,https://www.callthemap.com/polls/SEN-AK,"Frozen RCP row is 53-47 final RCV round; same 800-LV survey also reports first preferences."
2026-09-17,2026-09-17,AK,co/efficient,799,LV,exact,Call the Map Alaska Senate archive,https://www.callthemap.com/polls/SEN-AK,"Same survey; RCP head-to-head/ballot presentation retained."
2026-09-02,2026-08-23,AK,Alaska Survey Research,1495,LV,exact_release_date,Call the Map Alaska Senate archive,https://www.callthemap.com/polls/SEN-AK,"Fielded 2026-08-20 to 2026-08-23; frozen RCP release-date row retained."
2026-09-18,2026-09-16,GA,Quantus Insights,645,LV,same_survey_variant,Call the Map Georgia Senate ledger,https://www.callthemap.com/senate/georgia,"Frozen RCP row uses same-survey result/leaner presentation; sample is 645 LV."
2026-09-15,2026-09-14,GA,Rasmussen Reports,1019,LV,exact,Call the Map Georgia Senate ledger,https://www.callthemap.com/senate/georgia,"Single-day field end Sep 14; frozen date reflects public listing."
2026-09-13,2026-09-12,GA,Trafalgar Group,1091,LV,exact_release_date,Call the Map Georgia Senate ledger,https://www.callthemap.com/senate/georgia,"Fielded Sep 10-12; frozen RCP date is release date."
2026-09-19,2026-09-18,IA,Trafalgar Group,1089,LV,exact_release_date,Call the Map Iowa Senate archive,https://www.callthemap.com/polls/SEN-IA,"Fielded through Sep 18; added Sep 19."
2026-09-16,2026-09-16,IA,co/efficient,831,LV,same_survey_variant,Call the Map Iowa Senate archive,https://www.callthemap.com/polls/SEN-IA,"Same 831-LV survey; frozen RCP display uses a different result presentation."
2026-09-15,2026-09-11,IA,Cygnal,500,LV,exact_release_date,Call the Map Iowa Senate archive,https://www.callthemap.com/polls/SEN-IA,"42.9-42.9 rounded to 43-43 in frozen RCP row; added Sep 15."
2026-09-11,2026-09-08,IA,YouGov,2127,LV,exact_variant,Call the Map Iowa Senate archive,https://www.callthemap.com/polls/SEN-IA,"Archive contains several YouGov weighting variants; 2,127-LV variant exactly matches frozen 45-43 row."
2026-09-11,2026-09-10,IA,Rasmussen Reports,1031,LV,exact_release_date,Call the Map Iowa Senate archive,https://www.callthemap.com/polls/SEN-IA,"Fielded Sep 8-10; frozen row uses release date."
2026-09-03,2026-09-01,IA,Emerson,750,LV,exact_release_date,Call the Map Iowa Senate archive,https://www.callthemap.com/polls/SEN-IA,"Fieldwork ended Sep 1; frozen row reflects publication."
2026-09-16,2026-09-15,ME,Quantus Insights,621,LV,exact_release_date,270toWin Maine Senate polls,https://www.270towin.com/2026-senate-polls/maine,"Fielded Sep 14-15; listed Sep 16."
2026-09-11,2026-09-10,ME,Rasmussen Reports,1033,LV,exact_release_date,Call the Map Maine Senate ledger,https://www.callthemap.com/senate/maine,"Fielded Sep 8-10; frozen row uses release date."
2026-09-10,2026-09-08,ME,YouGov,1335,LV,exact_variant,Call the Map Maine Senate ledger,https://www.callthemap.com/senate/maine,"1,335-LV variant exactly matches frozen Jackson 48-Collins 44 row."
2026-09-09,2026-09-06,ME,CNN,880,LV,exact_release_date,Call the Map Maine Senate ledger,https://www.callthemap.com/senate/maine,"CNN/SSRS fielded Aug 31-Sep 6; frozen row uses listing date."
2026-09-18,2026-09-17,MI,InsiderAdvantage,1200,LV,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan,"Fielded Sep 16-17."
2026-09-17,2026-09-14,MI,Emerson,1000,LV,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan,"Fielded Sep 12-14."
2026-09-17,2026-09-14,MI,Washington Post,803,LV,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan,"Washington Post/Schar fielded Sep 10-14."
2026-09-10,2026-09-09,MI,Trafalgar Group,1079,LV,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan,"Fielded Sep 7-9."
2026-09-09,2026-09-06,MI,CNN,843,LV,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan,"CNN/SSRS fielded Aug 31-Sep 6."
2026-09-08,2026-09-03,MI,Detroit News/Glengariff,600,LV,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan,"Glengariff fielded Aug 31-Sep 3."
2026-09-01,2026-08-20,MI,Michigan State/YouGov,779,LV,exact_release_date,Call the Map YouGov archive,https://www.callthemap.com/polls?q=YouGov&view=senate,"Michigan State/YouGov 779-LV variant ended Aug 20; later publication/listing date retained in frozen RCP row."
2026-09-18,2026-09-17,NH,InsiderAdvantage,1200,LV,exact_release_date,Call the Map New Hampshire Senate archive,https://www.callthemap.com/polls/SEN-NH,"Fielded through Sep 17."
2026-09-15,2026-09-11,NH,co/efficient,958,LV,exact_release_date,Call the Map New Hampshire Senate archive,https://www.callthemap.com/polls/SEN-NH,"Fielded through Sep 11; released Sep 15."
2026-09-11,2026-09-10,NH,Rasmussen Reports,1000,LV,exact_release_date,Call the Map New Hampshire Senate archive,https://www.callthemap.com/polls/SEN-NH,"Fielded Sep 8-10; frozen row uses release date."
2026-09-18,2026-09-17,NC,InsiderAdvantage,1200,LV,exact_release_date,Call the Map North Carolina Senate archive,https://www.callthemap.com/polls/SEN-NC,"Fielded through Sep 17."
2026-09-17,2026-09-15,NC,Carolina Journal/Harper,608,LV,exact_release_date,Call the Map North Carolina Senate archive,https://www.callthemap.com/polls/SEN-NC,"Harper fieldwork ended Sep 15; frozen row uses publication/listing date."
2026-09-13,2026-09-10,NC,Trafalgar Group,1084,LV,exact_release_date,Call the Map North Carolina Senate archive,https://www.callthemap.com/polls/SEN-NC,"Fieldwork ended Sep 10; added Sep 13."
2026-09-10,2026-09-03,NC,East Carolina U.,675,LV,exact_release_date,Call the Map North Carolina Senate archive,https://www.callthemap.com/polls/SEN-NC,"Frozen RCP row matches the 675-LV ECU result; fieldwork ended Sep 3."
2026-09-10,2026-08-31,NC,Elon University,565,LV,exact_release_date,Call the Map North Carolina Senate archive,https://www.callthemap.com/polls/SEN-NC,"Elon/YouGov fieldwork ended Aug 31; frozen row uses publication date."
2026-09-17,2026-09-16,OH,Trafalgar Group,1085,LV,exact_release_date,Call the Map Ohio Senate archive,https://www.callthemap.com/polls/SEN-OH,"Poll document archive gives 1,085 LV and field end Sep 16; this supersedes a secondary 1,200 listing."
2026-09-16,2026-09-10,OH,Bowling Green/YouGov,1000,LV,exact_release_date,Call the Map Ohio Senate archive,https://www.callthemap.com/polls/SEN-OH,"YouGov/Bowling Green fielded Sep 1-10; added/listed Sep 16."
