"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"CL001","Classical","CITY_BUILDING","Harbor","Celestial Navigation","","TECH","Civ6 GS; Civ5 structural adaptation","Harbor district / later Civ5 Harbor","ADAPT_CITY","Ancient/classical maritime navigation supports permanent port infrastructure; convert district to city building","Trade effects still require actual trade access"
"CL002","Classical","SYSTEM","Naval Movement +1","Celestial Navigation","","TECH","Civ6 GS remap","Mathematics +1 naval movement","REMAP_TECH","Navigation, not abstract mathematics, is the stronger functional fit","Exact balance may be tuned later"
"CL003","Classical","CITY_BUILDING","Lighthouse","Optics","","TECH","Civ5 BNW; Civ6 GS","Optics / Celestial Navigation","KEEP","Civ V priority and optical beacon function both support Optics","Coastal city building"
"CL004","Classical","DISTRICT","Harbor district","","","NONE","Civ6 GS","Celestial Navigation","REMOVE_DISTRICT","Project uses Civ V-style city buildings","Harbor survives as city building"
"CL005","Classical","WONDER","Great Lighthouse","Celestial Navigation","","TECH","Civ6 GS; Civ5 Optics","Celestial Navigation / Optics","DEFER_WONDER","World Wonder audit separate",""
"CL006","Classical","CITY_BUILDING","Market","Currency","","TECH","Civ5 BNW; Civ6 GS","Currency","KEEP","Shared source placement and direct functional fit","Commercial Hub dependency removed"
"CL007","Classical","CITY_BUILDING","Mint","Currency","Code of Laws","TECH+CIVIC","Civ5 BNW; project synthesis","Currency","CROSS_GATE","Coinage technology plus state authority over standardized currency","Exact Gold/resource effects later"
"CL008","Classical","SYSTEM","Wealth Process: convert Production to Gold","Currency","","TECH","Civ5 BNW","Currency","KEEP","Direct Civ V economic process","Exact conversion rate later"
"CL009","Classical","DISTRICT","Commercial Hub","","","NONE","Civ6 GS","Currency","REMOVE_DISTRICT","Project uses direct city buildings","Market retained"
"CL010","Classical","SYSTEM","Civ6 Industry improvement/system","","","NONE","Civ6 GS game mode","Currency","DROP","Project already has its own corporation/industry system","Do not import Monopolies & Corporations Industry layer"
"CL011","Classical","UNIT","Horseman","Horseback Riding","","TECH","Civ5 BNW; Civ6 GS","Horseback Riding","KEEP","Shared source placement","Requires Horses"
"CL012","Classical","CITY_BUILDING","Stable","Horseback Riding","","TECH","Civ5 BNW; Civ6 GS","Horseback Riding","KEEP","Direct cavalry and pasture-production function",""
"CL013","Classical","CITY_BUILDING","Caravansary","Horseback Riding","Foreign Trade","TECH+CIVIC","Civ5 BNW","Horseback Riding","CROSS_GATE","Pack-animal transport technology plus organized long-distance trade institution","Land-trade range/economic effect later"
"CL014","Classical","WONDER","Circus Maximus","Horseback Riding","","TECH","Civ5 BNW","Horseback Riding","DEFER_WONDER","National/Wonder audit separate",""
"CL015","Classical","UNIT","Companion Cavalry / Cataphract / other unique mounted units","Horseback Riding","","TECH","Civ5 BNW; Civ6 GS","Horseback Riding","DEFER_CIV_UNIQUE","Civilization-specific units stay unique",""
"CL016","Classical","UNIT","Swordsman","Iron Working","","TECH","Civ5 BNW; Civ6 GS","Iron Working","KEEP","Shared source placement and direct iron-weapons fit","Requires Iron"
"CL017","Classical","WONDER","Heroic Epic","Iron Working","","TECH","Civ5 BNW","Iron Working","DEFER_WONDER","National Wonder audit separate; institutional fit is closer to Military Training","Suggested reassignment during national-wonder audit"
"CL018","Classical","WONDER","Colossus","Iron Working","","TECH","Civ5 BNW; Civ6 Shipbuilding","Iron Working / Shipbuilding","DEFER_WONDER","World Wonder audit separate",""
"CL019","Classical","UNIT","Legion / Immortal / other unique swordsman replacements","Iron Working","","TECH","Civ5 BNW; Civ6 GS","Iron Working","DEFER_CIV_UNIQUE","Civilization-specific unit layer",""
"CL020","Classical","UNIT","Quadrireme","Shipbuilding","","TECH","Civ6 GS","Shipbuilding","KEEP","Dedicated Classical naval-ranged progression fills gap after Trireme","Coastal waters until later navigation"
"CL021","Classical","SYSTEM","General Land-unit Embarkation","Shipbuilding","","TECH","Civ6 GS; Civ5 Optics remap","Shipbuilding / Optics","KEEP","Dedicated shipbuilding technology is stronger material fit than Optics",""
"CL022","Classical","TILE_IMPROVEMENT","Kampung","Shipbuilding","","TECH","Civ6 GS","Shipbuilding","DEFER_CIV_UNIQUE","Indonesian unique improvement remains civilization-specific",""
"CL023","Classical","WONDER","Colossus","Shipbuilding","","TECH","Civ6 GS","Shipbuilding","DEFER_WONDER","World Wonder audit separate",""
"CL024","Classical","UNIT","Catapult","Mathematics","","TECH","Civ5 BNW; Civ6 GS remap","Mathematics / Engineering","KEEP","Civ V priority retained; mathematics plausibly supports trajectory and siege calculation","Engineering remains rich in infrastructure unlocks"
"CL025","Classical","CITY_BUILDING","Courthouse","Writing","Code of Laws","TECH+CIVIC","Civ5 BNW remap","Mathematics","REMAP_TECH","Legal-administrative institution does not belong to Mathematics","Already locked in Ancient V2"
"CL026","Classical","CITY_BUILDING","Consulate","","Political Philosophy","CIVIC","Civ6 GS remap","Mathematics","MOVE_TO_CIVIC","Diplomatic institution is political rather than mathematical","One-per-civilization city building; later Chancery under Diplomatic Service"
"CL027","Classical","DISTRICT","Diplomatic Quarter","","","NONE","Civ6 GS","Mathematics","REMOVE_DISTRICT","No map-placed specialty districts","Consulate retained as city/national building"
"CL028","Classical","WONDER","Petra","Mathematics","","TECH","Civ6 GS","Mathematics","DEFER_WONDER","World Wonder audit separate",""
"CL029","Classical","UNIT","Composite Bowman","Construction","","TECH","Civ5 BNW","Construction","KEEP","Civ V priority; material construction of composite bow provides acceptable functional fit","Archer upgrade"
"CL030","Classical","TILE_IMPROVEMENT","Lumber Mill","Construction","","TECH","Civ5 BNW; Civ6 GS","Construction","KEEP","Shared functional fit","Rainforest use can be added later with Mercantilism if desired"
"CL031","Classical","UNIT","Siege Tower","Construction","","TECH","Civ6 GS","Construction","KEEP","Direct construction-engineering fit","Support/siege role subject to unit balance"
"CL032","Classical","CITY_BUILDING","Arena","Construction","Games and Recreation","TECH+CIVIC","Civ5 BNW + Civ6 GS synthesis","Civ5 Colosseum / Civ6 Arena","MERGE","Physical arena construction plus organized public recreation are both necessary","Generic Arena avoids conflict with Colosseum World Wonder"
"CL033","Classical","CITY_BUILDING","Circus","Trapping","Games and Recreation","TECH+CIVIC","Civ5 BNW remap","Trapping","CROSS_GATE","Animal resources plus organized public recreation","Resource-conditioned entertainment building"
"CL034","Classical","DISTRICT","Entertainment Complex","","","NONE","Civ6 GS","Games and Recreation","REMOVE_DISTRICT","Civ V-style city buildings","Arena/Circus survive"
"CL035","Classical","TILE_IMPROVEMENT","Terrace Farm / Moai / unique construction improvements","Construction","","TECH","Civ5 BNW","Construction","DEFER_CIV_UNIQUE","Civilization-specific improvements remain unique",""
"CL036","Classical","WONDER","Terracotta Army","Construction","","TECH","Civ5 BNW; Civ6 GS","Construction","DEFER_WONDER","World Wonder audit separate",""
"CL037","Classical","CITY_BUILDING","Aqueduct","Engineering","","TECH","Civ5 BNW; Civ6 GS","Engineering","ADAPT_CITY","Civ6 district converted to Civ V-style city building; Civ V already uses building form","Health/Growth effects audited later"
"CL038","Classical","TILE_IMPROVEMENT","Fort","Engineering","","TECH","Civ5 BNW","Engineering","KEEP","Ordinary worker-built defensive improvement, not Great Person improvement",""
"CL039","Classical","ROUTE_INFRASTRUCTURE","Road Bridges over Rivers","Engineering","","TECH","Civ5 BNW","Engineering","KEEP","Direct engineering-infrastructure function","Removes river-crossing movement penalty on roads"
"CL040","Classical","SYSTEM","Additional Trade Route Capacity","Engineering","Foreign Trade","TECH+CIVIC","Civ5 BNW","Engineering","CROSS_GATE","Improved physical infrastructure can expand an already-existing trade system","Exact +1 capacity retained provisionally"
