"UNIT_EN","DIRECT_UPGRADE_TO","UPGRADE_MODE","PRODUCTION_OBSOLESCENCE_RULE","SOURCE_BASIS","STATUS","RATIONALE"
"Spearman","Pikeman","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Anti-cavalry continuity"
"Settler","Pioneer","PRODUCTION_REPLACEMENT","WHEN_SUCCESSOR_UNLOCKS","Project Settler Progression V1","LOCKED_V1","New production changes class; existing Settlers do not auto-upgrade"
"Work Boat","","NO_UPGRADE","NONE","Civ5-style system","LOCKED_V1","Civilian improvement unit is consumed by its task rather than upgraded"
"Worker","","NO_UPGRADE","NONE","Civ5-style system","LOCKED_V1","Persistent Worker remains useful through later technologies"
"Warrior","Swordsman","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Core melee line"
"Trireme","Caravel","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Civ5 naval-melee continuity"
"Chariot Archer","Knight","DIRECT_CLASS_SHIFT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Retains Civ5 mounted succession despite ranged-to-melee class shift"
"Archer","Composite Bowman","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Project ranged line inserts Composite Bowman before Crossbowman"
"Scout","Explorer","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Pouakai Enlightenment Era","LOCKED_V1","EE recon extension retained instead of Civ6 Skirmisher recon unit"
"Inquisitor","","NO_UPGRADE","SYSTEM","Civ5 religion system","LOCKED_V1","Religion-system unit has no technological successor"
"Missionary","","NO_UPGRADE","SYSTEM","Civ5 religion system","LOCKED_V1","Religion-system unit has no technological successor"
"Battering Ram","Siege Tower","DIRECT_SUPPORT","WHEN_SUCCESSOR_UNLOCKS","Civ6 Gathering Storm","LOCKED_V1","Gathering Storm support progression"
"Caravan","","NO_UPGRADE","SYSTEM","Project trade system","LOCKED_V1","Trade performance improves through route/technology systems rather than unit replacement"
"Cargo Ship","","NO_UPGRADE","SYSTEM","Project trade system","LOCKED_V1","Maritime trade performance improves through route/technology systems rather than unit replacement"
"Horseman","Cavalry","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6 family","LOCKED_V1","Light-cavalry line remains separate from heavy cavalry"
"Swordsman","Man-at-Arms","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Core melee line"
"Quadrireme","Galleass","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project merge: Civ6 + Civ5","LOCKED_V1","Galleass fills the long ancient-to-sail ranged-naval gap"
"Composite Bowman","Crossbowman","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Ranged infantry continuity"
"Catapult","Trebuchet","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Siege line"
"Siege Tower","Medic","DIRECT_SUPPORT_CLASS_SHIFT","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Source-game support progression changes from siege support to medical support"
"Pikeman","Pike and Shot","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6 Rise and Fall","LOCKED_V1","Anti-cavalry continuity"
"Knight","Lancer","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project historical bridge","LOCKED_V1","Heavy mounted line uses Lancer as the post-knight stage"
"Military Engineer","","NO_UPGRADE","NONE","Civ6 support system","LOCKED_V1","Engineer remains a specialist support unit"
"Fire Lance","Arquebusier","CONVERGENT_DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project historical bridge","LOCKED_V1","Early firearm branch converges on mature arquebus infantry"
"Man-at-Arms","Arquebusier","CONVERGENT_DIRECT_CLASS_SHIFT","WHEN_SUCCESSOR_UNLOCKS","Project merge: Civ6 + historical","LOCKED_V1","Armored foot melee transitions into mature firearm infantry"
"Galleass","Frigate","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Pouakai EE","LOCKED_V1","Sail-era ranged naval progression"
"Crossbowman","Skirmisher","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Pouakai Enlightenment Era","LOCKED_V1","EE explicitly makes Crossbowman upgrade to Skirmisher"
"Trebuchet","Bombard","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Siege line"
"Pike and Shot","Anti-Tank Gun","DIRECT_CLASS_EVOLUTION","WHEN_SUCCESSOR_UNLOCKS","Civ6 functional adaptation","LOCKED_V1","Anti-cavalry role evolves into anti-armor once mechanized cavalry dominates"
"Spy","","NO_UPGRADE","SYSTEM","Project espionage system","LOCKED_V1","Off-map espionage agent improves through promotions/policies rather than unit replacement"
"Arquebusier","Line Infantry","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Pouakai EE / project","LOCKED_V1","Gunpowder infantry line"
"Lancer","Landship","DIRECT_CLASS_EVOLUTION","WHEN_SUCCESSOR_UNLOCKS","Project historical bridge","LOCKED_V1","Heavy cavalry lineage becomes armored warfare; avoids Civ5 Lancer-to-Anti-Tank class mismatch"
"Bombard","Field Gun","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Pouakai Enlightenment Era adaptation","LOCKED_V1","EE-style intermediate field artillery"
"Pioneer","Colonist","PRODUCTION_REPLACEMENT","WHEN_SUCCESSOR_UNLOCKS","Project Settler Progression V1","LOCKED_V1","New production changes class; existing Pioneers do not auto-upgrade"
"Line Infantry","Rifleman","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project historical sequence","LOCKED_V1","Firearm infantry progresses from smoothbore line formations to rifles"
"Caravel","Ironclad","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Naval melee line"
"Galleon","Ironclad","CONVERGENT_DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project naval bridge","LOCKED_V1","Large sail warship/transport hull converges on steam armored naval combat"
"Privateer","Submarine","DIRECT_CLASS_EVOLUTION","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Preserves naval-raider identity rather than Civ5 Privateer-to-Destroyer shift"
"Frigate","Ship of the Line; Cruiser","BRANCH_CHOICE","WHEN_ANY_SUCCESSOR_UNLOCKS","Pouakai EE + project","LOCKED_V1","May modernize first into a heavy sail capital gunship or wait for the fast armored cruiser branch"
"Ship of the Line","Battleship","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project historical bridge","LOCKED_V1","Heavy gunship capital-ship lineage"
"Skirmisher","Gatling Gun","DIRECT_CLASS_EVOLUTION","WHEN_SUCCESSOR_UNLOCKS","Project merge","LOCKED_V1","Ranged infantry transitions to rapid-fire ranged infantry"
"Explorer","Ranger","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project recon line","LOCKED_V1","Recon continuity"
"Field Gun","Artillery","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Project/Pouakai EE","LOCKED_V1","Field artillery becomes industrial long-range artillery"
"Archaeologist","","NO_UPGRADE","SYSTEM","Project archaeology system","LOCKED_V1","Specialist civilian unit performs archaeology actions rather than upgrading"
"Cavalry","Helicopter","DIRECT_CLASS_EVOLUTION","WHEN_SUCCESSOR_UNLOCKS","Civ6 light-cavalry family","LOCKED_V1","Fast cavalry role becomes air-mobile cavalry"
"Colonist","Urban Planner","PRODUCTION_REPLACEMENT","WHEN_SUCCESSOR_UNLOCKS","Project Settler Progression V1","LOCKED_V1","New production changes class; existing Colonists do not auto-upgrade"
"Naturalist","","NO_UPGRADE","SYSTEM","Project conservation system","LOCKED_V1","Specialist civilian unit creates conservation content"
"Infantry","Mechanized Infantry","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Late frontline infantry line"
"Rifleman","Infantry","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/project","LOCKED_V1","Gunpowder infantry continuity"
"Ironclad","Destroyer","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Naval melee line"
"Submarine","Nuclear Submarine","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5/Civ6","LOCKED_V1","Naval-raider submarine line"
"Battleship","Missile Cruiser","CONVERGENT_DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ6","LOCKED_V1","Late naval-ranged line converges on missile surface combatant"
"Cruiser","Missile Cruiser","CONVERGENT_DIRECT","WHEN_SUCCESSOR_UNLOCKS","Historical/project","LOCKED_V1","Cruiser lineage directly becomes missile cruiser"
"Gatling Gun","Machine Gun","DIRECT","WHEN_SUCCESSOR_UNLOCKS","Civ5","LOCKED_V1","Rapid-fire ranged infantry line"
