FROM_UNIT,TO_UNIT,INHERITANCE_RULE,SOURCE_PROMOTION,TARGET_PROMOTION,STATUS,NOTES
"DEFAULT","DEFAULT","RETAIN_IF_TARGET_ELIGIBLE","","","LOCKED_V1","All compatible earned promotions persist through direct upgrades."
"Chariot Archer","Knight","CONVERT","Accuracy I","Shock I","LOCKED_V1","Ranged-mounted to melee-mounted class shift."
"Chariot Archer","Knight","CONVERT","Accuracy II","Shock II","LOCKED_V1",""
"Chariot Archer","Knight","CONVERT","Accuracy III","Shock III","LOCKED_V1",""
"Chariot Archer","Knight","CONVERT","Barrage I","Drill I","LOCKED_V1",""
"Chariot Archer","Knight","CONVERT","Barrage II","Drill II","LOCKED_V1",""
"Chariot Archer","Knight","CONVERT","Barrage III","Drill III","LOCKED_V1",""
"Chariot Archer","Knight","CONVERT","Logistics","Blitz","LOCKED_V1","Extra-attack specialization remains extra-attack specialization."
"Chariot Archer","Knight","CONVERT","Range","Mobility","LOCKED_V1","Extra reach becomes mounted mobility rather than a dead ranged promotion."
"Privateer","Submarine","CONVERT_HIGHEST_RANK","Coastal Raider I-III; Boarding Party I-III","Wolfpack I-III","LOCKED_V1","Highest earned surface-raider combat rank converts to the same Wolfpack rank; do not stack both source branches."
"Privateer","Submarine","DROP_INNATE","Prize Ships","","LOCKED_V1","Submarines do not capture defeated ships."
"Privateer","Submarine","RETAIN_IF_ELIGIBLE","Supply; Mobility; Logistics","same","LOCKED_V1","Generic naval utility promotions remain."
"Siege Tower","Medic","RESET_NONEXPERIENCE","","","LOCKED_V1","Support units do not carry ordinary combat-promotion XP trees."
"Medic","Supply Convoy","RETAIN_SUPPORT_XP","","","LOCKED_V1","Support experience, if implemented, remains within support system."
"Observation Balloon","Drone","RETAIN_SUPPORT_XP","","","LOCKED_V1","Support experience, if implemented, remains within support system."
