RECORD_ID,PROJECT_ERA,UNLOCK_TYPE,CONTENT_EN,TECH_GATE,CIVIC_GATE,GATE_MODE,SOURCE,SOURCE_UNLOCK,DECISION,REASON,NOTES
"HM001","High Medieval","CITY_BUILDING","Workshop","Apprenticeship","","TECH","Civ6 GS; Civ5 city-building adaptation","Apprenticeship / Metal Casting","KEEP","Workshop is the direct material expression of skilled craft production; remove Industrial Zone dependency","Direct Civ V-style city building"
"HM002","High Medieval","YIELD_UPGRADE","Mine +1 Production","Apprenticeship","","TECH","Civ6 GS","Apprenticeship","KEEP","Improved skilled metalworking and craft organization increase mine output","Exact stacking with later industrial bonuses to be balance-tested"
"HM003","High Medieval","UNIT","Man-at-Arms","Apprenticeship","Military Training","TECH+CIVIC","Civ6 GS; project synthesis","Apprenticeship","CROSS_GATE","Advanced armor/weapons craftsmanship plus organized military training are both appropriate prerequisites","Generic roster placement still subject to unit progression audit"
"HM004","High Medieval","DISTRICT","Industrial Zone","","","NONE","Civ6 GS","Apprenticeship","REMOVE_DISTRICT","Project uses Civ V-style direct city buildings","Workshop retained"
"HM005","High Medieval","DISTRICT","Hansa","","","NONE","Civ6 GS","Apprenticeship","DEFER_CIV_UNIQUE","German unique district remains civilization-specific",""
"HM006","High Medieval","UNIT","Crossbowman","Machinery","","TECH","Civ5 BNW; Civ6 GS","Machinery","KEEP","Both source games agree and functional fit is strong","Upgrades Archer/Composite Bowman line"
"HM007","High Medieval","YIELD_UPGRADE","Lumber Mill +1 Production","Machinery","","TECH","Civ5/Civ6 synthesis","Machinery / Construction","ADAPT","Lumber Mill already unlocks at Construction; Machinery should improve mechanical processing rather than duplicate the improvement","Exact bonus balance later"
"HM008","High Medieval","ROUTE_INFRASTRUCTURE","Improved Road Movement","Machinery","","TECH","Civ5 BNW","Machinery","KEEP","Civ V directly improves road movement at Machinery","Represents better mechanical transport and road logistics"
"HM009","High Medieval","WONDER","Ironworks","Machinery","","TECH","Civ5 BNW","Machinery","DEFER_WONDER","National Wonder audit separate","Do not turn into ordinary Workshop upgrade yet"
"HM010","High Medieval","TILE_IMPROVEMENT","Lumber Mill","Construction","","TECH","Civ6 GS remap","Machinery","MOVE_TO_TECH","Already assigned to Construction in Classical V1; Machinery upgrades it instead","Avoid duplicate unlock"
"HM011","High Medieval","UNIT","Voi Chien / Crouching Tiger / Warak'aq / other unique ranged units","Machinery","","TECH","Civ6 GS","Machinery","DEFER_CIV_UNIQUE","Civilization-specific units remain unique",""
"HM012","High Medieval","TILE_INFRASTRUCTURE","Dam","Buttress","","TECH","Civ6 GS adapted","Buttress Dam district","ADAPT_TILE","Remove district semantics and retain dam as river-linked infrastructure on the Civ V-style tile map","Flood control, water storage and power effects separated by later technologies"
"HM013","High Medieval","SYSTEM","Buttressed Masonry","Buttress","","TECH","Historical/structural adaptation","Buttress","KEEP","Buttress is primarily a structural engineering advance and should improve large masonry construction","Exact building/wonder production modifier later"
"HM014","High Medieval","CITY_BUILDING","Major Religious Complex","Buttress","Theology","TECH+CIVIC","Project adaptation","Buttress + Theology","DEFER_SYSTEM","Large monumental religious architecture is plausible but a single universal Cathedral name would be culturally narrow","If implemented, religion-specific names/visuals should replace one generic building"
"HM015","High Medieval","WONDER","Hagia Sophia","Buttress","","TECH","Civ6 GS","Buttress","DEFER_WONDER","World Wonder audit separate",""
"HM016","High Medieval","CITY_BUILDING","University","Education","","TECH","Civ5 BNW; Civ6 GS","Education","KEEP","Both source games agree; Campus dependency removed","Requires Library"
"HM017","High Medieval","PROJECT","Convert Production to Science","Education","","TECH","Civ5 BNW","Education","KEEP","Direct Civ V city process","Exact conversion rate later"
"HM018","High Medieval","DIPLOMACY","Research Agreement","Education","Scholasticism","TECH+CIVIC","Civ5 BNW + project synthesis","Education","CROSS_GATE","Advanced education plus an institutional scholarly-exchange tradition better explains formal research cooperation","Exact cost/yield later"
"HM019","High Medieval","GREAT_PERSON_SYSTEM","University Scientist specialists","Education","","TECH","Civ5 BNW; Civ6 GS","University","KEEP","University supports Scientist specialist/GPP role without Great Person tile improvements",""
"HM020","High Medieval","TILE_IMPROVEMENT","Academy","Education","","NONE","Civ5 BNW","Great Scientist improvement","REMOVE_GP_IMPROVEMENT","Great-Person tile improvements are removed project-wide","Research burst/other Great Scientist actions handled elsewhere"
"HM021","High Medieval","WONDER","Oxford University / University of Sankore / Hagia Sophia","Education","","TECH","Civ5 BNW; Civ6 GS","Education","DEFER_WONDER","National/World Wonder audit separate",""
"HM022","High Medieval","CITY_BUILDING","Madrasa","Education","","TECH","Civ6 GS unique","Theology","DEFER_CIV_UNIQUE","Arabian unique University replacement remains civilization-specific",""
"HM023","High Medieval","UNIT","Galleass","Compass","","TECH","Civ5 BNW","Compass","KEEP","Civ V priority; medieval naval ranged progression fits Compass","Cannot enter deep ocean"
"HM024","High Medieval","CITY_BUILDING","Harbor","Celestial Navigation","","TECH","Civ5 BNW remap","Compass","MOVE_TO_TECH","Harbor already assigned earlier to Celestial Navigation; Compass upgrades it rather than re-unlocking it",""
"HM025","High Medieval","SYSTEM","Harbor Sea-Trade Range Upgrade","Compass","Foreign Trade","TECH+CIVIC","Civ5 BNW adaptation","Compass Harbor effect","CROSS_GATE","Better directional navigation extends an existing maritime trade institution","Retain concept; exact +50% range subject to balance"
