"CIVIC_EN","CIVIC_KO","PROJECT_ERA","ERA_ORDER","ERA_NODE_COUNT","CULTURE_COST_PROVISIONAL","ERA_COST_MIN","ERA_COST_MAX","COST_STATUS","BASIS"
"Code of Laws","법전","Ancient","1","7","15","15","90","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Craftsmanship","장인 정신","Ancient","2","7","30","15","90","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Foreign Trade","외국 무역","Ancient","3","7","40","15","90","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Military Tradition","군사 전통","Ancient","4","7","55","15","90","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"State Workforce","국가 노동력","Ancient","5","7","65","15","90","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Early Empire","초기 제국","Ancient","6","7","80","15","90","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Mysticism","신비주의","Ancient","7","7","90","15","90","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Games and Recreation","오락과 여가","Classical","1","5","140","140","330","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Political Philosophy","정치 철학","Classical","2","5","190","140","330","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Drama and Poetry","드라마와 시","Classical","3","5","235","140","330","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
"Military Training","군사 훈련","Classical","4","5","285","140","330","PROVISIONAL_HYBRID_CURVE","Civ6-style civic nodes calibrated against VP policy/tech pacing; final after simulation"
