"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"EN001","Enlightenment","CITY_BUILDING","Public School","Scientific Theory","The Enlightenment","TECH+CIVIC","Civ5 BNW + project synthesis","Scientific Theory","CROSS_GATE","Scientific theory supplies the intellectual basis; public schooling is also an institutional Enlightenment/state project","Requires University"
"EN002","Enlightenment","YIELD_UPGRADE","Lumber Mill +1 Production","Scientific Theory","","TECH","Civ5 BNW","Scientific Theory","KEEP","Direct Civ5 effect and plausible improvement through systematic forestry/mechanics",""
"EN003","Enlightenment","YIELD_UPGRADE","Academy Science upgrade","Scientific Theory","","TECH","Civ5 BNW","Great Scientist improvement","KEEP","Academy now exists as a Worker-built improvement, so the Civ5 Scientific Theory improvement upgrade can be retained in nerfed form","Exact additional Science later"
"EN004","Enlightenment","WONDER","Oxford University","Scientific Theory","","TECH","Civ6 GS","Scientific Theory","DEFER_WONDER","World/National Wonder audit separate",""
"EN005","Enlightenment","YIELD_UPGRADE","Plantation +1 Food","Scientific Theory","","TECH","Civ6 GS","Scientific Theory","REMAP_TECH","Agricultural yield improvement fits later Fertilizer better than general scientific theory","Re-evaluate at Fertilizer"
"EN006","Enlightenment","DIPLOMACY","Research Agreement","Education","Scholasticism","TECH+CIVIC","Civ6 Scientific Theory remap; prior project rule","Scientific Theory / Education","MOVE_TO_TECH","Already established at Education + Scholasticism; Scientific Revolution later boosts it","Avoid duplicate unlock"
"EN007","Enlightenment","SYSTEM","Applied Ballistics","Ballistics","","TECH","Civ5/Civ6 adaptation","Ballistics","KEEP","Formal projectile science improves existing gunpowder artillery rather than inventing another redundant unit","Exact combat modifier later"
"EN008","Enlightenment","YIELD_UPGRADE","Field Gun accuracy/range upgrade","Ballistics","","TECH","Civ6 Field Cannon + project chronology","Field Cannon","ADAPT","Field Gun already unlocked at Fortification; Ballistics becomes its scientific upgrade","Do not duplicate Field Gun unlock"
"EN009","Enlightenment","UNIT","Field Cannon","Fortification","","TECH","Civ6 Ballistics remap; EE Fortification","Ballistics / Fortification","MOVE_TO_TECH","Adopted Enlightenment Era already places Field Gun at Fortification",""
"EN010","Enlightenment","UNIT","Machine Gun","Ballistics","","TECH","Civ5 BNW","Ballistics","REMAP_TECH","Machine gun is far too late for 18C Enlightenment Ballistics","Re-evaluate in Modern/Atomic weapon progression"
"EN011","Enlightenment","UNIT","Anti-Aircraft Gun","Ballistics","","TECH","Civ5 BNW","Ballistics","REMAP_TECH","Anti-aircraft weaponry requires aviation-era context","Re-evaluate at Advanced Ballistics/Radar"
"EN012","Enlightenment","UNIT","Cuirassier","Military Science","","TECH","Civ6 Ballistics remap","Ballistics","MOVE_TO_TECH","Cuirassier is an organizational/cavalry-development step, not fundamentally a projectile-science outcome","Military Science is stronger fit"
"EN013","Enlightenment","UNIT","Cavalry","Military Science","Military Training","TECH+CIVIC","Civ5 BNW; Civ6 GS","Military Science","CROSS_GATE","Both source games place Cavalry here; organized military institution is retained as civic side","Upgrades Lancer/Cuirassier line"
"EN014","Enlightenment","UNIT","Cuirassier","Military Science","Military Training","TECH+CIVIC","Civ6 Ballistics remap","Ballistics","CROSS_GATE","Heavy cavalry organization fits Military Science better than Ballistics","Potential intermediate between Lancer and Cavalry; final unit roster decides whether both survive"
"EN015","Enlightenment","CITY_BUILDING","Military Academy","Military Science","Military Training","TECH+CIVIC","Civ5 BNW; Civ6 GS","Military Science","CROSS_GATE","Both source games agree; project removes Encampment dependency","Requires Armory"
"EN016","Enlightenment","UNIT","Line Infantry","Flintlock","","TECH","Civ6 Military Science remap; EE Flintlock","Military Science / Flintlock","MOVE_TO_TECH","Adopted Enlightenment Era already owns mature flintlock infantry at Flintlock","Avoid duplicate"
"EN017","Enlightenment","UNIT","Medic","Sanitation","","TECH","Civ6 GS remap","Military Science / Sanitation","REMAP_TECH","Medical support belongs with health/sanitation rather than military science","Re-evaluate Industrial Sanitation"
"EN018","Enlightenment","WONDER","Brandenburg Gate","Military Science","","TECH","Civ5 BNW","Military Science","DEFER_WONDER","World Wonder audit separate",""
"EN019","Enlightenment","CITY_BUILDING","Stock Exchange","Economics","","TECH","Civ6 GS; project financial chain","Economics","KEEP","Direct Civ6 unlock and natural post-Bank financial institution","Requires Bank"
"EN020","Enlightenment","CITY_BUILDING","Customs Office","Economics","Mercantilism","TECH+CIVIC","Historical/project adaptation","Customs House institution","ADAPT_CITY","Rename the city institution to Customs Office so the restored Civ5 Customs House name remains available for the tile improvement","Requires Seaport or active international trade; exact Gold/trade effect later"
"EN021","Enlightenment","TILE_IMPROVEMENT","Customs House","Economics","Mercantilism","TECH+CIVIC","Civ5 BNW","Great Merchant improvement","ADAPT_TILE","Former Great Merchant improvement is restored as a nerfed Worker-buildable Gold/trade tile improvement","No Great Merchant consumption; exact yields and placement restrictions later"
"EN022","Enlightenment","CITY_BUILDING","Windmill","Machinery","","TECH","Civ5 BNW remap","Economics","MOVE_TO_TECH","Windmills predate academic Economics by centuries and belong with machinery","Cross-era reconciliation: add to Machinery building roster"
"EN023","Enlightenment","YIELD_UPGRADE","Camp +1 Gold","Economics","","TECH","Civ5 BNW","Economics","DROP","Weak functional relation and already rejected similar Mercantilism camp bonuses",""
"EN024","Enlightenment","YIELD_UPGRADE","Trading Post +1 Gold","Economics","","NONE","Civ5 BNW","Economics","DROP","Generic Trading Post spam is not part of BNW-style project baseline",""
"EN025","Enlightenment","WONDER","Big Ben","Economics","","TECH","Civ6 GS","Economics","DEFER_WONDER","Wonder audit separate",""
"EN026","Enlightenment","CITY_BUILDING","Chemical Laboratory","Chemistry","","TECH","Civ6 Research Lab adapted; historical addition","Chemistry / Research Lab","ADAPT_CITY","Civ6 Research Lab is too modern for the project's 18C Chemistry; an earlier chemical laboratory is the historically appropriate institutional stage","Requires University or Apothecary; exact prerequisite finalized in building tree"
"EN027","Enlightenment","YIELD_UPGRADE","Mine +1 Production","Chemistry","","TECH","Civ5 BNW","Chemistry","KEEP","Civ5 effect reflects improved material processing and extraction knowledge",""
"EN028","Enlightenment","YIELD_UPGRADE","Quarry +1 Production","Chemistry","","TECH","Civ5 BNW","Chemistry","KEEP","Civ5 effect retained; chemical/material processing plausibly improves extraction",""
"EN029","Enlightenment","YIELD_UPGRADE","Manufactory Production upgrade","Chemistry","","TECH","Civ5 BNW","Great Engineer improvement","KEEP","Manufactory now exists as a Worker-built improvement, so Chemistry can retain a later production upgrade","Exact additional Production later"
"EN030","Enlightenment","UNIT","Cannon","Metal Casting","","TECH","Civ5 Chemistry remap; project chronology","Chemistry","MOVE_TO_TECH","Project already has Bombard at Metal Casting and Field Gun later; avoid redundant Cannon tier","Final siege-unit roster decides naming"
"EN031","Enlightenment","CITY_BUILDING","Research Lab","Chemistry","","TECH","Civ6 GS","Chemistry","REMAP_TECH","Modern powered research laboratory is too late for project 18C Chemistry","Re-evaluate in Industrial/Modern science-building chain"
"EN032","Enlightenment","UNIT","AT Crew","Chemistry","","TECH","Civ6 GS","Chemistry","REMAP_TECH","Anti-tank weapons are anachronistic in Enlightenment","Re-evaluate Modern Combined Arms"
"EN033","Enlightenment","CORPORATION_SECTOR","Chemicals & Industrial Materials corporations","Chemistry","Capitalism","TECH+CIVIC","Project corporation map","CHEMICALS_MATERIALS","KEEP","Existing corporation founding gate imported unchanged","Actual founding waits for Capitalism"
"EN034","Enlightenment","CORPORATION_SECTOR","Cosmetics & Personal Care corporations","Chemistry","Capitalism","TECH+CIVIC","Project corporation map","COSMETICS_PERSONAL_CARE","KEEP","Existing corporation founding gate imported unchanged",""
