"QUEUE","PROJECT_ERA","RECORD_ID","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","DECISION","REASON","NOTES","SOURCE_FILE"
"GOVERNMENT_SYSTEM","Ancient","C017","SYSTEM","Governor Title","","State Workforce","DEFER_SYSTEM","Governor system not yet adopted wholesale","Do not import automatically","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"GOVERNMENT_SYSTEM","Ancient","C021","SYSTEM","Governor Title","","Early Empire","DEFER_SYSTEM","Governor system not yet adopted wholesale","","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"GOVERNMENT_SYSTEM","Classical","CC028","SYSTEM","Governor Title","","Recorded History","DEFER_SYSTEM","Governor system not adopted wholesale yet","","tech_reference/classical_tech_civic_unlock_audit_v1.csv"
"GOVERNMENT_SYSTEM","Enlightenment","EC019","POLICY","Separation of Powers","","Constitutionalism","DEFER_SYSTEM","Government-efficiency/stability policy candidate","Exact mechanics later","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"GOVERNMENT_SYSTEM","Enlightenment","EC021","GOVERNMENT","Constitutional Monarchy / Constitutional Republic variants","","Constitutionalism","DEFER_SYSTEM","Do not proliferate government forms until the government roster audit","Constitutionalism can modify existing Monarchy/Republic forms instead","tech_reference/enlightenment_tech_civic_unlock_audit_v1.csv"
"GOVERNMENT_SYSTEM","Information","ICA006","SYSTEM","Governor Title","","Globalization","DEFER_SYSTEM","Governor system has not been adopted wholesale","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"GOVERNMENT_SYSTEM","Information","ICA011","SYSTEM","Governor Title","","Social Media","DEFER_SYSTEM","Governor system unresolved","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"GOVERNMENT_SYSTEM","Information","ICA014","SYSTEM","Governor Title","","Near Future Governance","DEFER_SYSTEM","Governor system unresolved","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"GOVERNMENT_SYSTEM","Information","ICA018","SYSTEM","Science penalty","","Venture Politics","DEFER_SYSTEM","Source government has -10% Science legacy tradeoff; whether to retain exact penalty waits for government balance","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"GOVERNMENT_SYSTEM","Information","ICA021","SYSTEM","Military-strength tradeoff","","Distributed Sovereignty","DEFER_SYSTEM","Source government carries -3 Combat Strength; exact penalty belongs to government-balance pass","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"GOVERNMENT_SYSTEM","Information","ICA025","SYSTEM","Tourism tradeoff","","Optimization Imperative","DEFER_SYSTEM","Source -10% Tourism tradeoff held for government balance pass","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"GOVERNMENT_SYSTEM","Information","ICB024","SYSTEM","Governor Title +1 per completion","","Future Civic","DEFER_SYSTEM","Only meaningful if project later adopts Governors","","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv"
"GOVERNMENT_SYSTEM","Late Antiquity","LC021","POLICY","Civil Prestige","","Civil Service","DEFER_SYSTEM","Governor-related policy candidate","Only usable if governor system is later adopted","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
"HEALTH_BALANCE","Information","IN017","SYSTEM","Cybernetic medical/assistive systems","Cybernetics","Near Future Governance","DEFER_SYSTEM","Plausible late-health/productivity role but exact mechanics need health/governance audit","","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv"
"HEALTH_BALANCE","Late Antiquity","LA020","SYSTEM","Plague treatment support","Alchemy","","DEFER_SYSTEM","Apothecary/Alchemy can contribute to disease mitigation, but exact cure probability or Health value requires health-system audit","Do not preserve Academy plague-cure mechanic","tech_reference/late_antiquity_tech_civic_unlock_audit_v1.csv"
