"RESOURCE_ID","RESOURCE_CLASS","PRIMARY_IMPROVEMENT","DOMAIN","UNLOCK_TECH","SOURCE_BASIS","STATUS","NOTES"
"HORSES","strategic","Pasture","LAND","Animal Husbandry","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic animal; CONTACT_DYNAMIC_V2 controls visibility and transfer"
"IRON","strategic","Mine","LAND","Mining","VP + project","VP_DIRECT","Geological fixed; reveal at Bronze Working"
"NITER","strategic","Mine","LAND","Military Engineering","Project extension","PROJECT_EXTENSION","Natural niter; later manufactured saltpetre handled separately"
"COAL","strategic","Mine","LAND","Manufacturing","VP + project","VP_PROJECT_ADAPTED","Project historical reveal overrides VP Chemistry reveal"
"OIL","strategic","Oil Well / Offshore Oil Rig","LAND_OR_SEA","Refining / Plastics","VP + project","VP_PROJECT_ADAPTED","Project reveal/unlock timing retained"
"ALUMINUM","strategic","Mine","LAND","Electricity","VP + project","VP_PROJECT_ADAPTED","Project historical reveal overrides VP Industrialization reveal"
"URANIUM","strategic","Mine","LAND","Atomic Theory","VP yield + project improvement override","PROJECT_OVERRIDE","VP current uses Quarry; project intentionally retains Mine as mining/extraction representation"
"BANANAS","bonus","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"BISON","bonus","Camp","LAND","Trapping","VP","VP_DIRECT","Wild fixed"
"CATTLE","bonus","Pasture","LAND","Animal Husbandry","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic animal"
"DEER","bonus","Camp","LAND","Trapping","VP","VP_DIRECT","Wild fixed"
"FISH","bonus","Fishing Boats","SEA","Sailing","VP","VP_DIRECT","Wild marine"
"SHEEP","bonus","Pasture","LAND","Animal Husbandry","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic animal"
"STONE","bonus","Quarry","LAND","Masonry","VP","VP_DIRECT","Geological fixed"
"WHEAT","bonus","Farm","LAND","Agriculture","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"MAIZE","bonus","Farm","LAND","Agriculture","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"RICE","bonus","Farm","LAND","Agriculture","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
"CITRUS","luxury","Plantation","LAND","Irrigation","VP + project dynamic resource system","VP_PROJECT_ADAPTED","Dynamic plant"
