RECORD_ID,PROJECT_ERA,UNLOCK_TYPE,CONTENT_EN,TECH_GATE,CIVIC_GATE,GATE_MODE,SOURCE,SOURCE_UNLOCK,DECISION,REASON,NOTES
"AB001","Atomic","UNIT","Helicopter","Synthetic Materials","","TECH","Civ6 GS","Synthetic Materials","KEEP","Direct source placement and strong fit through lightweight synthetic materials","Modern light-cavalry/air-mobile role"
"AB002","Atomic","SYSTEM","Synthetic Fibers and Polymers","Synthetic Materials","","TECH","Civ6 GS; project adaptation","Synthetic Materials","KEEP","Core material-science identity of the technology","Supports later Composites and advanced manufacturing"
"AB003","Atomic","TILE_INFRASTRUCTURE","Geothermal Plant","Ecology","Environmentalism","TECH+CIVIC","Civ6 Synthetic Materials remap","Synthetic Materials","REMAP_TECH","Geothermal power is an environmental-energy technology rather than a synthetic-material technology","Re-evaluate exact geothermal-resource rule"
"AB004","Atomic","YIELD_UPGRADE","Camp + Gold","Synthetic Materials","","TECH","Civ6 GS","Synthetic Materials","DROP","Weak functional relation and unnecessary late camp-yield stacking",""
"AB005","Atomic","WONDER","Biosphère","Synthetic Materials","","TECH","Civ6 GS","Synthetic Materials","DEFER_WONDER","Wonder audit separate",""
"AB006","Atomic","UNIT","Modern Armor","Composites","Mobilization","TECH+CIVIC","Civ6 GS","Composites","CROSS_GATE","Advanced armor materials plus modern mass-force organization","Upgrades Tank"
"AB007","Atomic","UNIT","Modern AT","Composites","Military Science","TECH+CIVIC","Civ6 GS","Composites","CROSS_GATE","Advanced anti-armor systems need material science and military doctrine","Upgrades Anti-Tank Gun"
"AB008","Atomic","TILE_INFRASTRUCTURE","Wind Farm","Composites","Environmentalism","TECH+CIVIC","Civ6 GS","Composites","CROSS_GATE","Composite blades/materials plus environmental energy policy form a coherent renewable-energy gate","Worker-built tile infrastructure"
"AB009","Atomic","SYSTEM","Advanced Composite Materials","Composites","","TECH","Civ6 GS","Composites","KEEP","Core technology identity; supports armor, aerospace and wind-energy applications",""
"AB010","Atomic","UNIT","Stealth Bomber","Advanced Flight","Stealth Technology","TECH+CIVIC","Civ6 GS; Civ5 Stealth","Stealth Technology","CROSS_GATE","Advanced aircraft plus stealth materials/signature-control technology","Requires Aluminum"
"AB011","Atomic","SYSTEM","Low-Observable Design","Stealth Technology","","TECH","Civ5/Civ6","Stealth","KEEP","Radar, thermal and acoustic signature reduction is the core technical identity",""
"AB012","Atomic","UNIT","Jet Fighter","Advanced Flight","Lasers","TECH+CIVIC","Civ6 GS","Lasers","KEEP","Already assigned in Part A; Stealth Technology does not duplicate fighter line",""
"AB013","SYSTEM","Atomic","Industrial Robotics","Robotics","","TECH","Civ6 GS; project adaptation","Robotics","KEEP","Robotics should primarily automate production/logistics rather than exist only for one fantastical combat unit",""
"AB014","Atomic","YIELD_UPGRADE","Factory / electronics production automation","Robotics","Capitalism","TECH+CIVIC","Project adaptation","Robotics","KEEP","Automated industrial systems increase high-tech production under mature industrial/corporate organization","Exact percentage later"
"AB015","Atomic","UNIT","Giant Death Robot","Robotics","","TECH","Civ6 GS","Robotics","DEFER_SYSTEM","Keep as optional endgame/future military project, not baseline Atomic regular unit","Future-tech upgrades can support it if adopted"
"AB016","Atomic","PROJECT","Launch Mars Habitation","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 Robotics remap","Robotics","REMAP_TECH","Mars habitation is later than ordinary Atomic robotics and belongs to the Information-era offworld program",""
"AB017","Atomic","YIELD_UPGRADE","Pasture automation bonus","Robotics","","TECH","Civ6 GS","Robotics","DEFER_SYSTEM","Potential late agricultural automation but already many pasture bonuses exist","Do not lock until yield stacking audit"
"AB018","Atomic","CORPORATION_SECTOR","Computing Hardware robotics upgrade","Robotics","","TECH","Project corporation map","COMPUTING_HARDWARE upgrade","KEEP","Existing sector upgrade imported unchanged",""
"AB019","Atomic","CORPORATION_SECTOR","Electronics Manufacturing robotics upgrade","Robotics","","TECH","Project corporation map","ELECTRONICS_MANUFACTURING upgrade","KEEP","Existing sector upgrade imported unchanged",""
"AB020","Atomic","PROJECT","Operation Ivy","Nuclear Fusion","Nuclear Program","TECH+CIVIC","Civ6 GS","Nuclear Fusion","CROSS_GATE","Thermonuclear weapon program requires fusion physics plus state nuclear program","Requires Manhattan Project"
"AB021","Atomic","PROJECT","Build Thermonuclear Device","Nuclear Fusion","Nuclear Program","TECH+CIVIC","Civ6 GS","Nuclear Fusion","CROSS_GATE","Available after Operation Ivy with Uranium",""
"AB022","Atomic","SYSTEM","Fusion Physics","Nuclear Fusion","","TECH","Civ6 GS","Nuclear Fusion","KEEP","Core scientific identity beyond weaponization",""
"AB023","Atomic","PROJECT","Launch Mars Reactor","Offworld Mission","Exodus Imperative","TECH+CIVIC","Civ6 GS remap","Nuclear Fusion","REMAP_TECH","Mars reactor is an offworld mission component and belongs in later Information-era space progression",""
"AB024","Atomic","CITY_BUILDING","Solar Plant","Ecology","Environmentalism","TECH+CIVIC","Civ5 BNW","Ecology","CROSS_GATE","Ecological energy technology plus environmental policy","Direct city power building or desert-linked power option; exact terrain rule later"
"AB025","Atomic","CITY_BUILDING","Recycling Center","Ecology","Environmentalism","TECH+CIVIC","Civ5 G&K/BNW","Ecology","CROSS_GATE","Waste recovery fits Ecology and environmental institutions","Do not use old Civ5 Aluminum-generation effect literally"
"AB026","Atomic","TILE_INFRASTRUCTURE","Solar Farm","Ecology","Environmentalism","TECH+CIVIC","Civ6 Satellites remap","Satellites","CROSS_GATE","Renewable solar generation belongs with ecology/environmentalism","Worker-built tile infrastructure"
"AB027","Atomic","TILE_INFRASTRUCTURE","Geothermal Plant","Ecology","Environmentalism","TECH+CIVIC","Civ6 Synthetic Materials remap","Synthetic Materials","CROSS_GATE","Renewable geothermal generation belongs with ecology/environmentalism",""
"AB028","Atomic","CITY_BUILDING","Flood Barrier","Ecology","Environmentalism","TECH+CIVIC","Civ6 Computers remap","Computers","CROSS_GATE","Climate adaptation infrastructure belongs to environmental science and policy","Coastal lowland protection"
"AB029","Atomic","SYSTEM","Pollution and Ecosystem Monitoring","Ecology","Environmentalism","TECH+CIVIC","Civ5 Ecology + project","Ecology","KEEP","Ecology provides scientific measurement; Environmentalism provides policy response",""
"AB030","Atomic","WONDER","Sydney Opera House","Ecology","","TECH","Civ5 BNW","Ecology","DEFER_WONDER","Wonder audit separate",""
"AB031","Atomic","PROJECT","SS Engine","Particle Physics","Space Race","TECH+CIVIC","Civ5 BNW","Particle Physics","CROSS_GATE","Direct Civ5 science-victory component adapted to project space program","Requires space-launch infrastructure"
"AB032","Atomic","SYSTEM","High-Energy Particle Physics","Particle Physics","","TECH","Civ5 BNW","Particle Physics","KEEP","Core scientific identity; no redundant everyday building is invented",""
"AB033","Atomic","CITY_BUILDING","Particle Accelerator","Particle Physics","Scientific Revolution","TECH+CIVIC","Historical/project adaptation","Particle Physics","DEFER_SYSTEM","Plausible research infrastructure but should be coordinated with late science-building balance","Could become one-per-civ/national research facility"
"AB034","Atomic","WONDER","CERN-style international laboratory","Particle Physics","","TECH","Historical candidate","Particle Physics","DEFER_WONDER","International project/wonder audit separate",""
"ACB001","Atomic","SYSTEM","Global Airlift","Radar","Rapid Deployment","TECH+CIVIC","Civ6 GS adapted","Rapid Deployment","KEEP","Civ6 airlift is retained without Aerodrome districts; requires Airports at origin and destination",""
"ACB002","Atomic","UNIT","Spec Ops","Radar","Rapid Deployment","TECH+CIVIC","Civ6 Plastics remap; project synthesis","Rapid Deployment","KEEP","Late modern special operations depend on communications/surveillance plus rapid-deployment doctrine",""
"ACB003","Atomic","POLICY","Military First","","Rapid Deployment","CIVIC","Civ6 GS","Rapid Deployment","KEEP","Late-unit production policy retained",""
"ACB004","Atomic","POLICY","After Action Reports","","Rapid Deployment","CIVIC","Civ6 GS","Rapid Deployment","KEEP","Unit-experience policy retained",""
"ACB005","Atomic","WONDER","Amundsen-Scott Research Station","","Rapid Deployment","CIVIC","Civ6 GS","Rapid Deployment","DEFER_WONDER","Wonder audit separate",""
"ACB006","Atomic","CITY_BUILDING","Space Launch Center","Rocketry","Space Race","TECH+CIVIC","Civ6 Spaceport adaptation","Spaceport / Space Race","ADAPT_CITY","Remove Spaceport district and replace it with one-per-civilization city/national space-launch infrastructure","Required for major orbital/planetary projects"
"ACB007","Atomic","PROJECT","Orbital Satellite Network","Satellites","Space Race","TECH+CIVIC","Part A","Satellites","KEEP","Starts practical orbital program",""
"ACB008","Atomic","PROJECT","Launch Moon Landing","Satellites","Space Race","TECH+CIVIC","Civ6 GS","Space Race","KEEP","Direct space-race project","Requires Space Launch Center"
"ACB009","Atomic","PROJECT","SS Engine","Particle Physics","Space Race","TECH+CIVIC","Civ5 BNW adaptation","Particle Physics","KEEP","Science-victory/offworld component",""
"ACB010","Atomic","POLICY","Integrated Space Cell","","Space Race","CIVIC","Civ6 GS","Space Race","ADAPT","Retain production bonus for space projects; apply through Military Academy/Seaport/Space Launch Center city buildings rather than districts",""
"ACB011","Atomic","POLICY","Satellite Broadcasts","","Space Race","CIVIC","Civ6 GS","Space Race","KEEP","Great Works of Music Tourism policy retained","Exact +200% source value can be balance-tested"
"ACB012","Atomic","POLICY","Music Censorship","","Space Race","CIVIC","Civ6 GS","Space Race","KEEP","Rock Band exclusion with domestic amenity cost retained conceptually",""
"ACB013","Atomic","SYSTEM","Environmental Tourism bonus","Ecology","Environmentalism","TECH+CIVIC","Civ6 GS","Environmentalism","KEEP","Civ6 +25% Tourism concept retained with ecological/environmental development","Exact value may be tuned"
"ACB014","Atomic","SYSTEM","Renewable Energy Transition","Ecology","Environmentalism","TECH+CIVIC","Civ5/Civ6 synthesis","Environmentalism","KEEP","Unlocks the policy/institutional side of Solar, Wind and Geothermal expansion",""
"ACB015","Atomic","TILE_INFRASTRUCTURE","Solar Farm","Ecology","Environmentalism","TECH+CIVIC","Civ6 GS remap","Environmentalism Inspiration","KEEP","Environmentalism is explicitly inspired by building Solar Farms in Civ6; project makes it a co-gate rather than merely a boost"
"ACB016","Atomic","TILE_INFRASTRUCTURE","Wind Farm","Composites","Environmentalism","TECH+CIVIC","Civ6 GS","Composites","KEEP","Material + policy split"
"ACB017","Atomic","CITY_BUILDING","Flood Barrier","Ecology","Environmentalism","TECH+CIVIC","Civ6 GS remap","Computers","KEEP","Environmental adaptation rather than computing unlock"
"ACB018","Atomic","SYSTEM","Industrial environmental regulation","","Environmentalism","CIVIC","Historical/project adaptation","Environmentalism","KEEP","Pollution controls and ecological safeguards become institutional rather than purely technological","Exact production/cost tradeoffs later"
