SOURCE_MOD,ITEM,ITEM_TYPE,ORIGINAL_ERA,ORIGINAL_PREREQ_OR_CONTEXT,ORIGINAL_MAJOR_UNLOCKS,CIV6_PRIORITY_CHECK,CLASSIFICATION,PROJECT_USE,PROJECT_ERA_CANDIDATE,NOTE
Enlightenment Era,Exploration,technology,Renaissance,Astronomy,"Explorer;Galleon;leads to Warships/Imperialism",Civ6 Exploration civic exact,CIV6_EXACT_CIVIC,NO_NEW_CIVIC,Exploration,"Civ6 civic takes priority"
Enlightenment Era,Sovereignty,technology,Renaissance,"Banking;Printing Press","Manor;Summer Palace;Topkapi Palace;Versailles;founds World Congress",No exact Civ6 civic,STRONG_NEW_CIVIC_CANDIDATE,ADD_CIVIC,Exploration,"Distinct early-modern state sovereignty concept; can bridge Diplomatic Service toward Enlightenment/Nationalism"
Enlightenment Era,Flintlock,technology,Enlightenment,"Sovereignty;Metallurgy;Chemistry","Line Infantry;Skirmisher;Gunsmith",No civic overlap,TECH_POOL,KEEP_FOR_TECH_TREE,Exploration-Enlightenment,"Military technology"
Enlightenment Era,Humanism,technology,Enlightenment,"Architecture;Sovereignty","Salon;Academy;Wat Phra Kaew",Civ6 Humanism civic exact,CIV6_EXACT_CIVIC,NO_NEW_CIVIC,Renaissance,"Keep Civ6 Humanism and optionally reuse EE unlock content"
Enlightenment Era,Imperialism,technology,Enlightenment,Exploration,"Cuirassier;Weigh House;Torre Del Oro;+1 Trade Route;Plantation gold",Overlaps Civ6 Colonialism/Mercantilism; later 19C imperialism still distinct,HOLD_FOR_REVIEW,CONTENT_REUSE_OR_LATER_CIVIC,Industrial,"Do not add 18C duplicate now; possible 19C civic only if later gap remains"
Enlightenment Era,Warships,technology,Enlightenment,Exploration,"Frigate;Kronborg",No civic overlap,TECH_POOL,KEEP_FOR_TECH_TREE,Exploration-Enlightenment,"Naval technology"
Enlightenment Era,Fortification,technology,Enlightenment,"Economics;Flintlock","Field Gun;Bastion;Fasil Ghebbi",Defensive Tactics already civic but this is technical fortification,TECH_POOL,KEEP_FOR_TECH_TREE,Exploration-Enlightenment,"Do not duplicate Defensive Tactics"
Enlightenment Era,Manufacturing,technology,Enlightenment,Economics,"Coal reveal;Cloth Mill;Weigh House;Manufactory bonus",No civic overlap,TECH_POOL,KEEP_FOR_TECH_TREE,Enlightenment-Industrial,"Production technology"
Enlightenment Era,Natural History,technology,Enlightenment,"Humanism;Imperialism","Museum;Smithsonian Institute",Civ6 Natural History civic exact,CIV6_EXACT_CIVIC,NO_NEW_CIVIC,Enlightenment,"Civ6 civic takes priority; EE museum content reusable"
Enlightenment Era,Armor Plating,technology,Industrial,Navigation,"Cruiser;Drydock",No civic overlap,TECH_POOL,KEEP_FOR_TECH_TREE,Industrial,"Naval technology"
Enlightenment Era,Romanticism,technology,Industrial,Scientific Theory,"Surveyor;Menagerie;Gallery;Crystal Palace",No exact Civ6 civic,STRONG_NEW_CIVIC_CANDIDATE,ADD_CIVIC,Industrial,"Distinct late-18C/19C cultural movement; can connect Opera and Ballet/Natural History to Mass Media or Conservation"
Renaissance Era Revised,Large Cold Arms,technology,Renaissance,Steel,"Landsknecht;Two-handed Swordsman",No civic overlap,TECH_POOL,KEEP_FOR_TECH_TREE,Renaissance,"Later renamed from Large Weapons; military technology only"
Renaissance Era Revised,Pike and Shot,technology,Renaissance,"Large Cold Arms;Gunpowder","Tercio;unit-line transition",No civic overlap,TECH_POOL,KEEP_FOR_TECH_TREE,Renaissance,"Useful tech-tree filler; not a civic"
Renaissance Era Revised,Free Company,unit,Medieval,Mercenary unit line,"Medieval mercenary unit",Civ6 Mercenaries civic already exists,CIV6_CONTENT_REUSE,ATTACH_TO_EXISTING_CIVIC,Early Medieval,"Can reduce implementation work by attaching unit concept to Mercenaries"
BlouBlou Eras - Medieval Age,Mentoring,repeating technology,Medieval,"Future Tech moved into capped Medieval game","repeatable score/culture/gold",No normal historical concept,MOD_ENDCAP_ONLY,DO_NOT_IMPORT,High Medieval,"Era-cap utility, not a historical node"
MoreTech,Sovereignty,technology,Renaissance,expanded tech tree,"City Hall/National Assembly context in MoreTech; early-modern state progression",No exact Civ6 civic,CONFIRMS_CANDIDATE,ADD_CIVIC,Exploration,"Independent mod also uses Sovereignty as early-modern progression, supporting reuse"
MoreTech,Romanticism,technology,Enlightenment/Industrial transition,expanded tech tree,"Museum/Menagerie cultural line",No exact Civ6 civic,CONFIRMS_CANDIDATE,ADD_CIVIC,Industrial,"Independent expanded tree also preserves Romanticism"
MoreTech,Corporations,technology,Industrial,expanded tech tree,"economic/production progression",Civ6 Capitalism covers much of function,CIV6_CONTAINS,HOLD_AS_POLICY_OR_TECH,Industrial,"Do not add civic unless later mechanics require corporate institutions separately"
MoreTech,Cinematography,technology,Modern,expanded tech tree,"Great Works of Film / Great Director mechanics",Civ6 Mass Media broadly contains media revolution,CIV6_CONTAINS,KEEP_FOR_TECH_OR_UNLOCK,Modern,"Could be tech/unlock under Mass Media rather than new civic"
MoreTech,Digital Society,technology,Future-expanded,expanded tech tree,"future social/tech progression",Civ6 Social Media/Near Future Governance overlap,CIV6_CONTAINS,NO_NEW_CIVIC,Information,"Civ6 priority"
