POLICY_EN,CIVIC_EN,POLICY_SLOT,FINAL_EFFECT,SOURCE_BASIS
"Hallyu","Cultural Hegemony","Wildcard","Rock Bands can choose from any available Promotion","Civ6 GS direct"
"Non-State Actors","Cultural Hegemony","Wildcard","Spies can choose from any available Promotion","Civ6 GS direct"
"Aerospace Contractors","Exodus Imperative","Wildcard","Cities with a Space Launch Center gain +3 Aluminum per turn and +3 Power","Civ6 Spaceport adapted to Space Launch Center"
"Space Tourism","Exodus Imperative","Wildcard","Tourism from other civilizations is reduced by 20% versus your civilization","Civ6 GS direct"
"Ecommerce","Globalization","Economic","All Trade Routes provide +2 Production and +5 Gold","Civ6 GS current effect"
"International Space Agency","Globalization","Diplomatic","+5% Science for each city-state you are Suzerain/allied patron of","Civ6 GS reduced value"
"Strategic Air Force","Globalization","Military","+50% Production toward all air units and Aircraft Carriers","Civ6 GS direct"
"Integrated Attack Logistics","Information Warfare","Wildcard","+1 Movement to units that start their turn in enemy territory","Civ6 GS baseline part; GDR +50% Production omitted from baseline"
"Rabblerousing","Information Warfare","Wildcard","+1 Diplomatic Favor per turn","Civ6 GS direct recurring part; Diplomatic-Victory-point refund omitted"
"Diplomatic Capital","Smart Power Doctrine","Wildcard","+4 Diplomatic Favor per turn","Civ6 GS direct"
"Global Coalition","Smart Power Doctrine","Wildcard","+7 Combat Strength for units in friendly territory","Civ6 GS direct"
"Collective Activism","Social Media","Diplomatic","+5% Culture for each city-state you are Suzerain/allied patron of","Civ6 GS reduced value"
"Communications Office","Social Media","Diplomatic","Newspaper Office and Broadcast Center each provide +1 Culture; their city suffers 25% less occupation/unrest pressure","Civ6 Governor Loyalty effect adapted; baseline has no Governors"
"Online Communities","Social Media","Economic","+50% Tourism output to civilizations with which you have an active Trade Route","Civ6 direct"
