"MAP_ITEM_ID","ITEM_EN","PROJECT_ERA","MAP_CLASS","RECORD_KIND","TECH_GATE","ADDITIONAL_TECH_GATE","CIVIC_GATE","PARENT_ITEM","EXECUTION_MODE","SOURCE_BASIS","STATUS","NOTES","SOURCE_RECORD","SOURCE_FILE"
"MAP_FARM","Farm","Ancient","IMPROVEMENT","BUILDABLE","Agriculture","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Agriculture","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_PASTURE","Pasture","Ancient","IMPROVEMENT","BUILDABLE","Animal Husbandry","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Animal Husbandry","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_MINE","Mine","Ancient","IMPROVEMENT","BUILDABLE","Mining","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Mining","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_FISHING_BOATS","Fishing Boats","Ancient","IMPROVEMENT","BUILDABLE","Sailing","","","","Work Boat","Project technology master","LOCKED_ROSTER_V1","Maritime resource improvement; project retains Civ V-style Work Boat.","Sailing","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_PLANTATION","Plantation","Ancient","IMPROVEMENT","BUILDABLE","Irrigation","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Irrigation","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_QUARRY","Quarry","Ancient","IMPROVEMENT","BUILDABLE","Masonry","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Masonry","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_ROAD","Road","Ancient","ROUTE","BUILDABLE","Wheel","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Wheel","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_CAMP","Camp","Ancient","IMPROVEMENT","BUILDABLE","Trapping","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Trapping","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_LUMBER_MILL","Lumber Mill","Classical","IMPROVEMENT","BUILDABLE","Construction","","","","Worker","Project technology master","LOCKED_ROSTER_V1","","Construction","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_FORT","Fort","Classical","FORTIFICATION","BUILDABLE","Engineering","","","","Worker / Military Engineer","Project technology master","LOCKED_ROSTER_V1","Base generic military tile defense; Citadel is excluded.","Engineering","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_ROAD_BRIDGE_CAPABILITY","Road Bridge Capability","Classical","ROUTE","CAPABILITY","Engineering","","","","System","Project technology master","LOCKED_ROSTER_V1","Represents Road bridges over rivers; not a separate placed tile object.","Engineering","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_FORT_CONSTRUCTION_SPECIALIZATION","Fort Construction Specialization","Late Antiquity","FORTIFICATION","CAPABILITY","Military Engineering","","","Fort","Military Engineer","Project technology master","LOCKED_ROSTER_V1","Specialized military construction capability; does not create a second Fort type.","Military Engineering","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_MILITARY_ROAD_CONSTRUCTION","Military Road Construction","Late Antiquity","ROUTE","CAPABILITY","Military Engineering","","","Road","Military Engineer","Project technology master","LOCKED_ROSTER_V1","Military Engineer route-construction specialization; Road remains the route object.","Military Engineering","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_HOLY_SITE","Holy Site","Late Antiquity","IMPROVEMENT","BUILDABLE","","","Theology","","Worker","Former Great Person improvement baseline","LOCKED_ROSTER_V1","Worker-built nerfed improvement; requires an established religion in the working city; no Great Prophet consumption.","Theology","tile_system/former_great_person_tile_improvements_v1.csv"
"MAP_IMPROVED_ROAD_MOVEMENT","Improved Road Movement","High Medieval","ROUTE","UPGRADE_RULE","Machinery","","","","System","Project technology master","LOCKED_ROSTER_V1","Movement upgrade on the Road network; not a new route object.","Machinery","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_DAM","Dam","High Medieval","WATER_INFRASTRUCTURE","BUILDABLE","Buttress","","","","Worker / Military Engineer","Project technology master","LOCKED_ROSTER_V1","River-linked infrastructure; district placement is not used.","Buttress","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_ACADEMY","Academy","High Medieval","IMPROVEMENT","BUILDABLE","Education","","","","Worker","Former Great Person improvement baseline","LOCKED_ROSTER_V1","Worker-built nerfed Science improvement; no Great Scientist consumption.","Education","tile_system/former_great_person_tile_improvements_v1.csv"
"MAP_BASTION_FORT_UPGRADE","Bastion Fort Upgrade","Renaissance","FORTIFICATION","UPGRADE_RULE","Siege Tactics","","","Fort","System","Project technology master","LOCKED_ROSTER_V1","Upgrades Fort defensive capability for gunpowder-era siege warfare.","Siege Tactics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_LANDMARK","Landmark","Renaissance","IMPROVEMENT","BUILDABLE","","","Humanism","","Worker","Former Great Person improvement baseline","LOCKED_ROSTER_V1","Worker-built generic cultural Landmark; distinct from archaeological Historic Landmark.","Humanism","tile_system/former_great_person_tile_improvements_v1.csv"
"MAP_ADVANCED_FORTIFICATION_UPGRADE","Advanced Fortification Upgrade","Exploration","FORTIFICATION","UPGRADE_RULE","Fortification","","","Fort","System","Project technology master","LOCKED_ROSTER_V1","Later Fort/Bastion defensive upgrade; no separate Citadel line.","Fortification","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_HISTORIC_LANDMARK","Historic Landmark","Enlightenment","ARCHAEOLOGY","SPECIAL_IMPROVEMENT","","","Natural History","","Archaeologist","Former Great Person improvement baseline","LOCKED_ROSTER_V1","Archaeologist may preserve an Antiquity Site as an archaeological Historic Landmark; distinct from Humanism Landmark.","Natural History","tile_system/FORMER_GREAT_PERSON_TILE_IMPROVEMENTS_V1.md"
"MAP_CUSTOMS_HOUSE","Customs House","Enlightenment","IMPROVEMENT","BUILDABLE","Economics","","Mercantilism","","Worker","Former Great Person improvement baseline","LOCKED_ROSTER_V1","Worker-built nerfed Gold/trade improvement; city building is named Customs Office.","Economics + Mercantilism","tile_system/former_great_person_tile_improvements_v1.csv"
"MAP_MANUFACTORY","Manufactory","Enlightenment","IMPROVEMENT","BUILDABLE","Manufacturing","","","","Worker","Former Great Person improvement baseline","LOCKED_ROSTER_V1","Worker-built nerfed Production improvement; no Great Engineer consumption.","Manufacturing","tile_system/former_great_person_tile_improvements_v1.csv"
"MAP_HILL_FARM_PLACEMENT","Hill Farm Placement","Industrial","IMPROVEMENT","PLACEMENT_RULE","","","Civil Engineering","Farm","Worker","Project civic master","LOCKED_ROSTER_V1","Allows Farm placement on eligible hills; Farm remains the canonical improvement object.","Civil Engineering","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"MAP_CANAL","Canal","Industrial","WATER_INFRASTRUCTURE","BUILDABLE","Steam Power","","Civil Engineering","","Worker / Military Engineer","Project technology+civic masters","LOCKED_ROSTER_V1","Civ V-style map infrastructure adaptation; no Civ VI district city puzzle.","Steam Power + Civil Engineering","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_REFORESTATION","Reforestation","Industrial","WORKER_ACTION","ACTION","","","Conservation","","Worker","Project civic master","LOCKED_ROSTER_V1","Worker action that plants woods; not a separate permanent improvement type.","Conservation","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"MAP_NATIONAL_PARK","National Park","Industrial","PROTECTED_AREA","SPECIAL_AREA","","","Conservation","","Naturalist","Project civic master","LOCKED_ROSTER_V1","Created through the Naturalist/protected-area system rather than as an ordinary Worker improvement.","Conservation","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"MAP_OIL_WELL","Oil Well","Industrial","EXTRACTION","BUILDABLE","Refining","","","","Worker","Project technology master","LOCKED_ROSTER_V1","Land petroleum extraction.","Refining","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_HYDROELECTRIC_DAM_UPGRADE","Hydroelectric Dam Upgrade","Industrial","WATER_INFRASTRUCTURE","UPGRADE_RULE","Electricity","","","Dam","System","Project technology master","LOCKED_ROSTER_V1","Electricity-era upgrade of Dam infrastructure; former Hydro Plant duplicate is removed.","Electricity","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_RAILROAD","Railroad","Industrial","ROUTE","BUILDABLE","Railroad","","","","Worker / Military Engineer","Project technology master","LOCKED_ROSTER_V1","Advanced route object replacing/upgrading Road network function.","Railroad","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_AIRSTRIP","Airstrip","Modern","AIR_INFRASTRUCTURE","BUILDABLE","Flight","","","","Worker / Military Engineer","Project technology master","LOCKED_ROSTER_V1","Map infrastructure; Aerodrome district remains removed.","Flight","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_SEASIDE_RESORT","Seaside Resort","Modern","TOURISM","BUILDABLE","Advanced Flight","","Mass Media","","Worker","Project technology+civic masters","LOCKED_ROSTER_V1","Tourism improvement with technology+civic cross-gate.","Advanced Flight + Mass Media","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_SKI_RESORT","Ski Resort","Modern","TOURISM","BUILDABLE","","","Professional Sports","","Worker","Project civic master","LOCKED_ROSTER_V1","Generic mountain tourism improvement.","Professional Sports","civics_reference/MASTER_CIVIC_UNLOCKS_72_V2.csv"
"MAP_OFFSHORE_OIL_RIG","Offshore Oil Rig","Modern","EXTRACTION","BUILDABLE","Plastics","","","","Work Boat / Worker","Project technology master","LOCKED_ROSTER_V1","Canonical name for the offshore petroleum extraction improvement.","Plastics","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_WIND_FARM","Wind Farm","Atomic","ENERGY","BUILDABLE","Composites","","Environmentalism","","Worker","Project technology+civic masters","LOCKED_ROSTER_V1","Renewable-energy improvement; Environmentalism cross-gate retained.","Composites + Environmentalism","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"MAP_SOLAR_FARM","Solar Farm","Atomic","ENERGY","BUILDABLE","Ecology","","Environmentalism","","Worker","Project technology+civic masters","LOCKED_ROSTER_V1","Environmentalism gate synchronized explicitly in technology master.","Ecology + Environmentalism","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
