"UNIT_ID","UNIT_EN","PROJECT_ERA","DOMAIN","ROLE_FAMILY","TECH_GATE","ADDITIONAL_TECH_GATE","CIVIC_GATE","SYSTEM_GATE","GATE_MODE","RESOURCE_REQUIREMENT","SOURCE_BASIS","STATUS","NOTES","SOURCE_RECORD","SOURCE_FILE"
"UNIT_SPEARMAN","Spearman","Ancient","LAND","ANTI_CAVALRY","Bronze Working","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Bronze Working","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SETTLER","Settler","Ancient","LAND","CIVILIAN_SETTLER","","","","GAME_START","START","","Civ V BNW baseline recovery","LOCKED_ROSTER_V1","Game-start baseline unit recovered outside the tech/civic unlock tables.","BASELINE_RECOVERY","external:Civ5 BNW unit list"
"UNIT_WORK_BOAT","Work Boat","Ancient","SEA","CIVILIAN_WORKER","Sailing","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Sailing","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_WORKER","Worker","Ancient","LAND","CIVILIAN_WORKER","Agriculture","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Agriculture","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_WARRIOR","Warrior","Ancient","LAND","MELEE_INFANTRY","","","","GAME_START","START","","Civ V BNW baseline recovery","LOCKED_ROSTER_V1","Game-start baseline military unit recovered outside the tech/civic unlock tables.","BASELINE_RECOVERY","external:Civ5 BNW unit list"
"UNIT_TRIREME","Trireme","Ancient","SEA","NAVAL_MELEE","Sailing","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Sailing","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_CHARIOT_ARCHER","Chariot Archer","Ancient","LAND","RANGED_CAVALRY","Wheel","","","","TECH","Horses","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Wheel","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_ARCHER","Archer","Ancient","LAND","RANGED_INFANTRY","Archery","","","","TECH","","Project 109-technology master (Civ V-first audited synthesis)","LOCKED_ROSTER_V1","","Archery","tech_reference/MASTER_TECHNOLOGY_UNLOCKS_109_V1.csv"
"UNIT_SCOUT","Scout","Ancient","LAND","RECON","","","","GAME_START","START","","Civ V BNW baseline recovery","LOCKED_ROSTER_V1","Game-start baseline recon unit; recon family continues Explorer -> Ranger -> Spec Ops.","BASELINE_RECOVERY","external:Civ5 BNW unit list"
"UNIT_INQUISITOR","Inquisitor","Ancient","LAND","RELIGIOUS","","","","ENHANCED_RELIGION","SYSTEM","","Civ V BNW baseline recovery","LOCKED_ROSTER_V1","Civ V-style religious unit; requires an enhanced religion rather than a technology unlock.","BASELINE_RECOVERY","external:Civ5 BNW unit list"
