"BUILDING_EN","PROJECT_ERA","CHAIN","TECH_GATE","CIVIC_GATE","PREREQUISITE","SCOPE","MUTEX_GROUP","LOCATION_REQUIREMENT","SOURCE_BASIS","STATUS","NOTES","SOURCE_RECORD","SOURCE_FILE"
"Palace","Ancient","CAPITAL_ADMIN","","","","CAPITAL_ONLY","","Capital","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Capital only; automatically present in the capital","BLD_A001","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Walls","Ancient","CITY_DEFENSE","Masonry","","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","","A032","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Monument","Ancient","CULTURE_MEDIA","","","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Buildable from game start","BLD_A002","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Granary","Ancient","FOOD_HEALTH","Pottery","","","PER_CITY","","","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","Health value tuned later","A003","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Water Mill","Ancient","FOOD_HEALTH","Wheel","","","PER_CITY","","River or fresh-water city","Civ5 BNW; Civ6 GS","LOCKED_ROSTER_V1","","A041","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Courthouse","Ancient","GOVERNMENT_DIPLOMACY","Writing","Code of Laws","","PER_CITY","","","Civ5 BNW remap","LOCKED_ROSTER_V1","Used for conquered/administrative city rule, exact effect later","A028","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Government Plaza","Ancient","GOVERNMENT_DIPLOMACY","","State Workforce","","ONE_PER_CIV","","","Civ6 GS","LOCKED_ROSTER_V1","No map district placement","C015","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Stone Works","Ancient","INDUSTRY_POWER","Masonry","","","PER_CITY","","City works improved Stone or Marble","Civ5 BNW remap","LOCKED_ROSTER_V1","Requires an improved Stone or Marble source","A033","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Barracks","Ancient","MILITARY_TRAINING","","Military Tradition","","PER_CITY","","","Civ5 BNW remap; Civ6 military-building family","LOCKED_ROSTER_V1","First military-training building; Armory follows later","C030","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
"Grove","Ancient","RELIGION_NATURE","","Mysticism","","PER_CITY","","","Civ6 GS","LOCKED_ROSTER_V1","Grove interacts with nearby unimproved attractive/natural tiles; exact yields later","C028","tech_reference/ancient_tech_civic_unlock_audit_v2.csv"
