TECH_EN,UNITS,CITY_BUILDINGS,TILE_IMPROVEMENTS,ROUTES_INFRASTRUCTURE,RESOURCE_REVEAL,RESOURCE_EXPLOITATION,SYSTEMS_NOTES
Agriculture,Worker,,Farm,,,,Core farm/worker structure
Pottery,,Granary,,,,,Shrine moved to Mysticism civic
Animal Husbandry,Caravan with Foreign Trade,,Pasture,,Horses,Horses; Cattle; Sheep,Land trade requires Foreign Trade civic
Mining,,,Mine,,,Mineable minerals,Forest clearing
Sailing,Work Boat; Trireme; Cargo Ship with Foreign Trade,,Fishing Boats,,,Fish; Crab; Pearls; Whales,Maritime trade requires Foreign Trade; embarkation moved to Shipbuilding
Astrology,,,,,,,Great Prophet/religion access only with Mysticism
Irrigation,,Garden with Civil Service,Plantation,,,Plantation crops/luxuries,Marsh clearing; fresh-water Farm +1 Food
Archery,Archer,,,,,,
Writing,,Library; Scriptorium with Written Culture,,,,,Courthouse additionally requires Code of Laws
Masonry,Battering Ram,Walls; Stone Works,Quarry,,,Stone; Marble,
Bronze Working,Spearman,,,,Iron,,Rainforest/Jungle clearing; Barracks moved to Military Tradition
Wheel,Chariot Archer,Water Mill,,Road,,,Heavy Chariot deferred
Calendar,,,,,,,Seasonal Agriculture; improved Wheat/Rice/Maize +1 Food
Trapping,,,Camp,,,Bison; Deer; Furs; Ivory; Truffles,Circus moved to Games and Recreation civic
