ERA,COUNT,LOCKED_CIVICS
Ancient,7,"Code of Laws; Craftsmanship; Foreign Trade; Military Tradition; State Workforce; Early Empire; Mysticism"
Classical,5,"Games and Recreation; Political Philosophy; Drama and Poetry; Military Training; Recorded History"
Late Antiquity,4,"Defensive Tactics; Theology; Naval Tradition; Civil Service"
Early Medieval,4,"Feudalism; Mercenaries; Written Culture; Court Culture"
High Medieval,4,"Medieval Faires; Guilds; Divine Right; Scholasticism"
Renaissance,4,"Humanism; Diplomatic Service; Patronage; Print Culture"
Exploration,6,"Exploration; Reformed Church; Mercantilism; Colonialism; Scientific Revolution; Sovereignty"
Enlightenment,5,"The Enlightenment; Opera and Ballet; Natural History; Constitutionalism; Public Sphere"
Industrial,9,"Civil Engineering; Nationalism; Scorched Earth; Urbanization; Conservation; Mass Media; Capitalism; Romanticism; Labor Movement"
Modern,6,"Mobilization; Ideology; Suffrage; Totalitarianism; Class Struggle; Professional Sports"
Atomic,6,"Nuclear Program; Cultural Heritage; Cold War; Rapid Deployment; Space Race; Environmentalism"
Information,12,"Globalization; Social Media; Near Future Governance; Venture Politics; Distributed Sovereignty; Optimization Imperative; Information Warfare; Global Warming Mitigation; Cultural Hegemony; Smart Power Doctrine; Exodus Imperative; Future Civic"
TOTAL,72,""
