"RECORD_ID","PROJECT_ERA","UNLOCK_TYPE","CONTENT_EN","TECH_GATE","CIVIC_GATE","GATE_MODE","SOURCE","SOURCE_UNLOCK","DECISION","REASON","NOTES"
"IA001","Industrial","CITY_BUILDING","Factory","Industrialization","","TECH","Civ5 BNW; Civ6 GS","Industrialization","KEEP","Both source games agree; core industrial city building","Requires Workshop"
"IA002","Industrial","UNIT","Gatling Gun","Industrialization","Military Science","TECH+CIVIC","Civ5 BNW","Industrialization","CROSS_GATE","Mechanized rapid-fire weapon depends on industrial production and modern military organization","Final ranged-unit role later"
"IA003","Industrial","RESOURCE_REVEAL","Coal","Manufacturing","","TECH","Civ5/Civ6 Industrialization remap; Pouakai EE","Industrialization / Manufacturing","MOVE_TO_TECH","Coal is already revealed at Manufacturing in the adopted Enlightenment Era path","Avoid duplicate reveal"
"IA004","Industrial","YIELD_UPGRADE","Mine +1 Production","Industrialization","","TECH","Civ6 GS","Industrialization","KEEP","Industrial extraction and mechanization increase mine productivity",""
"IA005","Industrial","CITY_BUILDING","Coal Power Plant","Industrialization","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Industrialization","DEFER_SYSTEM","Coal power generation also requires electrical-grid design; final gate should include Electricity","Temporary defer to Electricity row"
"IA006","Industrial","CORPORATION_SECTOR","Construction Materials corporations","Industrialization","Capitalism","TECH+CIVIC","Project corporation map","CONSTRUCTION_MATERIALS","KEEP","Existing gate imported unchanged",""
"IA007","Industrial","CORPORATION_SECTOR","Trading Houses & Industrial Investment corporations","Industrialization","Capitalism","TECH+CIVIC","Project corporation map","TRADING_HOUSES","KEEP","Existing gate imported unchanged",""
"IA008","Industrial","UNIT","Ironclad","Steam Power","","TECH","Civ5 BNW; Civ6 GS","Steam Power","KEEP","Both source games agree and strong functional fit",""
"IA009","Industrial","SYSTEM","Embarked Movement +1","Steam Power","","TECH","Civ5/Civ6","Steam Power","KEEP","Steam propulsion improves water transport","Stack carefully with earlier Square Rigging bonus"
"IA010","Industrial","TILE_INFRASTRUCTURE","Canal","Steam Power","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Canal district","ADAPT_TILE","Convert district into canal tile infrastructure","Requires suitable terrain"
"IA011","Industrial","ROUTE_INFRASTRUCTURE","Railroad","Railroad","","TECH","Civ6 GS remap","Steam Power","MOVE_TO_TECH","Project has a dedicated Railroad technology","Avoid duplicate"
"IA012","Industrial","YIELD_UPGRADE","Lumber Mill +1 Production","Steam Power","","TECH","Civ5 BNW","Steam Power","KEEP","Steam-powered milling and mechanized logging fit",""
"IA013","Industrial","CORPORATION_SECTOR","Shipping & Logistics corporations","Steam Power","Capitalism","TECH+CIVIC","Project corporation map","SHIPPING_LOGISTICS","KEEP","Existing gate imported unchanged",""
"IA014","Industrial","CITY_BUILDING","Sewer","Sanitation","Civil Engineering","TECH+CIVIC","Civ6 GS; Health & Plague adaptation","Sanitation","CROSS_GATE","Sanitary engineering requires both technical sanitation knowledge and organized public works","Direct city building, no district"
"IA015","Industrial","SYSTEM","Modern Public Health","Sanitation","Urbanization","TECH+CIVIC","Health & Plague adaptation","Sanitation","KEEP","Urban crowding plus sanitation produces modern disease-prevention system","Exact Health values later"
"IA016","Industrial","SYSTEM","Plague Risk Reduction","Sanitation","","TECH","Health & Plague adaptation","Sanitation","KEEP","Sanitation should sharply reduce city disease risk without eliminating epidemics entirely","Exact coefficient later"
"IA017","Industrial","UNIT","Medic","Sanitation","Military Training","TECH+CIVIC","Civ6 Military Science remap","Medic","CROSS_GATE","Medical support belongs with sanitation/medicine plus military organization",""
"IA018","Industrial","CITY_BUILDING","Hospital","Biology","Urbanization","TECH+CIVIC","Civ5 BNW; project planning","Biology","REMAP_TECH","Hospital is deferred to Biology later in Industrial era","Sanitation supplies the public-health baseline"
"IA019","Industrial","UNIT","Rifleman","Rifling","","TECH","Civ5 BNW; project chronology","Rifling","KEEP","Civ V priority and direct functional fit","Upgrades Line Infantry"
"IA020","Industrial","UNIT","Ranger","Rifling","","TECH","Civ6 GS","Rifling","DEFER_SYSTEM","Potential recon upgrade, but avoid overcrowding unit line until roster audit",""
"IA021","Industrial","SYSTEM","Rifled Firearms","Rifling","","TECH","Civ5/Civ6","Rifling","KEEP","Improves firearm range and accuracy",""
"IA022","Industrial","TILE_INFRASTRUCTURE","Reinforced Barricade","Rifling","","TECH","Civ6 game-mode content","Rifling","DROP","Mode-specific fortification is not needed in baseline project",""
"IA023","Industrial","UNIT","Infantry","Replaceable Parts","Nationalism","TECH+CIVIC","Civ6 GS; Civ5 BNW successor","Replaceable Parts","CROSS_GATE","Standardized mass-produced arms plus national army organization support modern infantry",""
"IA024","Industrial","YIELD_UPGRADE","Mechanized Agriculture","Replaceable Parts","","TECH","Civ6 GS","Replaceable Parts","KEEP","Farm adjacency/efficiency upgrade retained conceptually","Exact Civ6 adjacency formula may be simplified"
"IA025","Industrial","YIELD_UPGRADE","Pasture +1 Production","Replaceable Parts","","TECH","Civ6 GS","Replaceable Parts","KEEP","Mechanized equipment improves animal-agriculture productivity",""
"IA026","Industrial","CITY_BUILDING","Food Market","Replaceable Parts","Urbanization","TECH+CIVIC","Civ6 GS adapted","Food Market","CROSS_GATE","Modern urban food distribution needs standardized supply chains and large urban markets","No Neighborhood district requirement"
"IA027","Industrial","CORPORATION_SECTOR","Machinery & Precision Components corporations","Replaceable Parts","Capitalism","TECH+CIVIC","Project corporation map","MACHINERY_COMPONENTS","KEEP","Existing gate imported unchanged",""
"IA028","Industrial","CITY_BUILDING","Steelworks","Steel","Industrialization","TECH+CIVIC","Historical/project addition","Steel","ADAPT_CITY","Large-scale steel production needs steelmaking technology plus industrial plant organization","Exact production/resource effects later"
"IA029","Industrial","UNIT","Artillery","Dynamite","Military Science","TECH+CIVIC","Civ6 GS","Steel","MOVE_TO_TECH","Civ V priority: Artillery final owner is Dynamite + Military Science; Steel retains Steelworks and urban-defense roles","Duplicate unit unlock removed"
"IA030","Industrial","SYSTEM","Urban Defenses","Steel","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Urban Defenses","ADAPT","Automatic city fortification concept translated into stronger city-defense infrastructure rather than district/wall obsolescence","Exact defense mechanics later"
"IA031","Industrial","YIELD_UPGRADE","Lumber Mill +1 Production","Steel","","TECH","Civ6 GS","Steel","DROP","Steel has weak direct relation to lumber-mill output; Steam Power already owns this upgrade",""
"IA032","Industrial","UNIT","Battleship","Warships","","TECH","Civ6 Steel remap","Steel","REMAP_TECH","Project naval tree already separates Warships and later armor plating/electronics; battleship placement deferred",""
"IA033","Industrial","CORPORATION_SECTOR","Steel & Heavy Materials corporations","Steel","Capitalism","TECH+CIVIC","Project corporation map","STEEL_HEAVY_MATERIALS","KEEP","Existing gate imported unchanged",""
"IA034","Industrial","CORPORATION_SECTOR","Construction Materials sector upgrade","Steel","","TECH","Project corporation map","CONSTRUCTION_MATERIALS upgrade","KEEP","Existing sector upgrade imported unchanged",""
"IA035","Industrial","RESOURCE_REVEAL","Oil","Refining","","TECH","Civ6 GS","Refining","KEEP","Direct source placement and strong fit",""
"IA036","Industrial","TILE_IMPROVEMENT","Oil Well","Refining","","TECH","Civ6 GS","Refining","KEEP","Direct extraction improvement",""
"IA037","Industrial","RESOURCE_EXPLOITATION","Oil extraction","Refining","","TECH","Civ6 GS","Oil Well","KEEP","Oil Well enables extraction after reveal",""
"IA038","Industrial","UNIT","Battleship","Armor Plating","","TECH","Civ6 Refining remap","Refining","REMAP_TECH","Battleship is better reserved for dedicated naval armor/warship progression","Revisit at Armor Plating"
"IA039","Industrial","CORPORATION_SECTOR","Petroleum Refining corporations","Refining","Capitalism","TECH+CIVIC","Project corporation map","PETROLEUM_REFINING","KEEP","Existing gate imported unchanged",""
"IA040","Industrial","CITY_BUILDING","Power Plant","Electricity","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Power Plant","CROSS_GATE","Electric generation requires electrical technology and public/industrial infrastructure","Direct city building"
"IA041","Industrial","CITY_BUILDING","Coal Power Plant","Electricity","Industrialization","TECH+CIVIC","Civ6 GS remap","Industrialization","CROSS_GATE","Coal-fired electricity belongs at the intersection of industrial plant and electricity","Requires Coal"
"IA042","Industrial","TILE_INFRASTRUCTURE","Hydroelectric Dam","Electricity","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Hydroelectric Dam","CROSS_GATE","Dam already exists at Buttress; Electricity upgrades it for power generation",""
"IA043","Industrial","UNIT","Submarine","Electricity","","TECH","Civ6 GS","Electricity","DEFER_SYSTEM","Technologically plausible late-19C/early-20C but final naval chronology must reconcile with Armor Plating/Telegraph",""
"IA044","Industrial","CITY_BUILDING","Seaport electrification upgrade","Electricity","","TECH","Civ6 GS","Seaport","ADAPT","Seaport already unlocked at Navigation; Electricity upgrades logistics capacity rather than re-unlocking it",""
"IA045","Industrial","GREAT_PERSON_SYSTEM","Great Director / Film system","Electricity","","TECH","Project locked decision","Electricity","KEEP","Previously locked film-production gate","Cinema/Director infrastructure follows"
"IA046","Industrial","CORPORATION_SECTOR","Electrical Equipment & Power Systems corporations","Electricity","Capitalism","TECH+CIVIC","Project corporation map","ELECTRICAL_EQUIPMENT","KEEP","Existing gate imported unchanged",""
"IA047","Industrial","CORPORATION_SECTOR","Film, Media & Entertainment corporations","Electricity","Capitalism","TECH+CIVIC","Project corporation map","MEDIA_FILM_ENTERTAINMENT","KEEP","Existing gate imported unchanged; Radio later upgrades sector"
"IC001","Industrial","POLICY","Public Works","","Civil Engineering","CIVIC","Civ6 GS","Civil Engineering","KEEP","Public-infrastructure policy transfers cleanly","Convert Builder charges to Worker construction efficiency"
"IC002","Industrial","POLICY","Skyscrapers","","Civil Engineering","CIVIC","Civ6 GS","Civil Engineering","KEEP","Wonder-construction policy retained",""
"IC003","Industrial","SYSTEM","Hill Farms","","Civil Engineering","CIVIC","Civ6 GS","Civil Engineering","KEEP","Allows Farms on suitable hills","Map/terrain restrictions later"
"IC004","Industrial","TILE_INFRASTRUCTURE","Canal","Steam Power","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Canal district","CROSS_GATE","Civil engineering plus steam-era excavation/infrastructure",""
"IC005","Industrial","CITY_BUILDING","Sewer","Sanitation","Civil Engineering","TECH+CIVIC","Civ6 GS adapted","Sewer","CROSS_GATE","Public works institutional side of urban sanitation",""
"IC006","Industrial","SYSTEM","Corps and Fleets","","Nationalism","CIVIC","Civ6 GS","Nationalism","KEEP","Direct Civ6 military-organization feature",""
"IC007","Industrial","DIPLOMACY","Colonial War Casus Belli","","Nationalism","CIVIC","Civ6 GS","Nationalism","KEEP","Direct source diplomatic effect",""
"IC008","Industrial","POLICY","Grande Armée","","Nationalism","CIVIC","Civ6 GS","Nationalism","KEEP","Industrial-era unit production policy",""
"IC009","Industrial","POLICY","National Identity","","Nationalism","CIVIC","Civ6 GS","Nationalism","KEEP","Military resilience policy retained",""
"IC010","Industrial","UNIT","Infantry","Replaceable Parts","Nationalism","TECH+CIVIC","Project synthesis","Infantry","CROSS_GATE","Modern national mass army plus standardized weapons production",""
"IC011","Industrial","POLICY","Total War","","Scorched Earth","CIVIC","Civ6 GS","Scorched Earth","KEEP","Pillage/raid intensification policy retained",""
"IC012","Industrial","POLICY","Military Organization","","Scorched Earth","CIVIC","Civ6 GS","Scorched Earth","KEEP","Great General/academy organizational policy retained",""
"IC013","Industrial","POLICY","Expropriation","","Scorched Earth","CIVIC","Civ6 GS","Scorched Earth","DEFER_SYSTEM","Historically later/ideologically broad; keep candidate but do not make core identity",""
"IC014","Industrial","SYSTEM","Envoys +2","","Scorched Earth","CIVIC","Civ6 GS","Scorched Earth","DROP","Envoy reward has weak functional relation to scorched-earth doctrine",""
"IC015","Industrial","SYSTEM","Urban Housing / Neighborhood system","","Urbanization","CIVIC","Civ6 GS adapted","Neighborhood district","ADAPT_CITY","Remove district placement; represent urban housing through city housing stock and building/infrastructure system",""
"IC016","Industrial","POLICY","Public Transport","","Urbanization","CIVIC","Civ6 GS","Urbanization","ADAPT","Apply to urban housing and transport infrastructure rather than Neighborhood districts",""
"IC017","Industrial","CITY_BUILDING","Food Market","Replaceable Parts","Urbanization","TECH+CIVIC","Civ6 GS adapted","Food Market","CROSS_GATE","Urban mass food distribution requires both city scale and standardized logistics",""
"IC018","Industrial","SYSTEM","Modern Public Health","Sanitation","Urbanization","TECH+CIVIC","Health & Plague adaptation","Urbanization","CROSS_GATE","Dense industrial cities make sanitation a major health determinant",""
"IC019","Industrial","SYSTEM","Disease Connectivity Risk","","Urbanization","CIVIC","Health & Plague adaptation","Urbanization","KEEP","Large connected cities increase epidemic transmission potential unless offset by Sanitation/health buildings","Exact formula later"
