"CIVIC_EN","PROJECT_ERA","FINAL_UNLOCKS_SYSTEMS","FINAL_POLICIES","NOTES","QA_STATUS","SUMMARY_SOURCE"
"Code of Laws","Ancient","Chiefdom; Policy Card system; Courthouse with Writing","Discipline; God King; Survey; Urban Planning","Courthouse requires Writing","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Craftsmanship","Ancient","Organized artisan/labor policy layer","Agoge; Ilkum","Sphinx/Chemamull remain civilization uniques","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Foreign Trade","Ancient","Trade Route capacity +1; permits land/maritime trade when matching transport tech exists; Joint War; Join Ongoing War","Caravansaries; Maritime Industries","Trader merged into Caravan/Cargo Ship model","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Military Tradition","Ancient","Barracks; Flanking/Support doctrine","Maneuver; Strategos","Barracks moved here from Bronze Working","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"State Workforce","Ancient","Government Plaza as one-per-civ national city building","Conscription; Corvée","Governor system deferred; tier-1 government buildings wait for Political Philosophy","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Early Empire","Ancient","Enforced borders and Open Borders permission","Colonization; Land Surveyors; Limitanei","Governor system deferred; Pairidaeza remains Persian unique","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Mysticism","Ancient","Shrine; Great Prophet/religion access with Astrology; Grove; +1 Envoy","Inspiration; Revelation","Preserve district removed; Grove deferred; Oracle wonder deferred","OK","civics_reference/civic_unlock_summary_ancient_v1.csv"
"Games and Recreation","Classical","Arena with Construction; Circus with Trapping","Insulae","Entertainment Complex removed; Colosseum deferred as World Wonder","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Political Philosophy","Classical","Autocracy; Oligarchy; Classical Republic; Ancestral Hall/Audience Chamber/Warlord's Throne; Consulate","Charismatic Leader; Diplomatic League","Consulate moved from Mathematics; government buildings require Government Plaza and Tier-1 government","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Drama and Poetry","Classical","Amphitheater; Writers' Guild; Great Writer generation","Literary Tradition","Theater Square removed","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Military Training","Classical","Military-training policy layer; +1 Envoy","Equestrian Orders; Raid; Veterancy","Heroic Epic suggested here if retained as national wonder","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Recorded History","Classical","Recorded-history/science-administration policy layer","Natural Philosophy","Great Library deferred; Papermaking synergy left non-numeric","OK","civics_reference/civic_unlock_summary_classical_v1.csv"
"Defensive Tactics","Late Antiquity","Reconquest War; Protectorate War","Bastions; Limes","Defensive policies and casus belli; no Castle unlock because project has separate Castles technology","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
"Theology","Late Antiquity","Temple; Holy Site tile improvement; advanced religious organization","Scripture","Holy Site is Worker-built after Theology and does not consume a Great Prophet; Holy Site later gains +1 Faith at Acoustics, +1 Culture at Natural History, +1 Tourism at Flight","OK","civics_reference/civic_unlock_summary_late_antiquity_v1.csv"
