BUILDING_EN,PROJECT_ERA,CHAIN,PRODUCTION_COST,GOLD_MAINTENANCE,FOOD_FLAT,PRODUCTION_FLAT,GOLD_FLAT,SCIENCE_FLAT,CULTURE_FLAT,FAITH_FLAT,LOCAL_HAPPINESS,CITY_DEFENSE_STRENGTH,CITY_HP,FOOD_CARRYOVER_PERCENT,PRODUCTION_PERCENT,BUILDING_PRODUCTION_PERCENT,GOLD_PERCENT,SCIENCE_PERCENT,CULTURE_PERCENT,UNIT_XP_BONUS,SPECIALIST_TYPE,SPECIALIST_SLOTS,GPP_TYPE,FLAT_GPP,GREAT_WORK_TYPE,GREAT_WORK_SLOTS,AIR_CAPACITY_CHANGE,SPECIAL_EFFECTS,SOURCE_GRADE,NUMERIC_STATUS,NUMERIC_BASIS,VP_DISTRESS_REDUCTION,VP_POVERTY_REDUCTION,VP_ILLITERACY_REDUCTION,VP_BOREDOM_REDUCTION,VP_RELIGIOUS_UNREST_REDUCTION,MILITARY_SUPPLY_FLAT,MILITARY_SUPPLY_PERCENT,HEALTH_POINTS_PROVISIONAL,STABILITY_POINTS_PROVISIONAL,VP_AUDIT_STATUS,VP_AUDIT_REASON,POWER_LOAD,POWERED_BONUS,POWER_SOURCE_RULE,HEALTH_EFFECT_TYPE,HEALTH_POINTS_FINAL,SPONTANEOUS_PLAGUE_RISK_MULT,PLAGUE_DURATION_MOD_TURNS,HEALTH_OTHER_EFFECT,STABILITY_POINTS_FINAL,FINAL_MERGE_STATUS,FINAL_MERGE_SOURCES
Palace,Ancient,CAPITAL_ADMIN,0,0,0,3,5,6,1,0,0,2,0,0,0,0,0,0,0,0,,0,,0,Literature,3,0,AUTO_CAPITAL_BUILDING=1; VP_EVENT_TOURISM=7; VP_SCIENCE_PER_POPULATION=0.34; VP_NO_UNHAPPY_SPECIALIST_DIVISOR=1,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,2,VP_EXACT_ADOPTED,"VP verified: Palace yields 3 Production, 5 Gold, 6 Science, 1 Culture and 3 Literature slots; project adds provisional capital Stability +2.",0,,,NONE,0,1.00,0,,2,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Walls,Ancient,CITY_DEFENSE,75,0,0,0,0,0,0,0,0,5,50,0,0,0,0,0,0,0,,0,,0,,0,0,,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,5,0,0,PROJECT_VP_ADAPTED,VP defense-line adaptation: +5% city military supply; existing defense/HP values retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Monument,Ancient,CULTURE_MEDIA,40,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,Art/Artifact,1,0,,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,VP verified: Monument keeps 2 Culture and gains one Art/Artifact slot.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Granary,Ancient,FOOD_HEALTH,60,1,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,0,,0,,0,0,WORKED_WHEAT_BANANAS_DEER_FOOD=+1; VP_INSTANT_FOOD_ON_BUILD=25,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; Health & Plague layer must be audited before V2 lock; 47-resource/More Luxuries interaction audit required; More Luxuries adds no direct Granary building effect; Health-resource effects belong to Health system/resource layer; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,1,0,VP_EXACT_ADOPTED,"VP verified: Granary +1 Food, 15% food kept, instant Food 25. Project Health +1 provisional for food storage/sanitation role.",0,,,FLAT,1,1.00,0,,0,MERGED_V5,BASE_V2;HEALTH_V1
Water Mill,Ancient,FOOD_HEALTH,75,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2;HEALTH_V1
Courthouse,Ancient,GOVERNMENT_DIPLOMACY,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,REMOVE_OCCUPIED_STATUS=1; OCCUPATION_UNREST_REDUCTION=BASE_ADMIN_RULE,B_CIV5_FUNCTIONAL_REMAP,VP_V2_AUDITED_PROVISIONAL,Civ5 functional remap/adaptation; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,2,PROJECT_VP_ADAPTED,Occupation/administration building: provisional local Stability +2; occupied-status removal retained.,0,,,NONE,0,1.00,0,,2,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Government Plaza,Ancient,GOVERNMENT_DIPLOMACY,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,GOVERNMENT_BUILDING_CENTER=1; UNLOCK_TIERED_GOVERNMENT_BUILDING_CHOICES=1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,2,PROJECT_VP_ADAPTED,Central government hub: provisional Stability +2; tier building unlock role retained.,0,,,NONE,0,1.00,0,,2,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Stone Works,Ancient,INDUSTRY_POWER,75,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,WORKED_STONE_MARBLE_PRODUCTION=+1,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,"Civ5 BNW direct numeric anchor; Health & Plague layer must be audited before V2 lock; 47-resource/More Luxuries interaction audit required; More Luxuries Amber/Jade/Lapis are Mine resources, not Stone Works/Quarry bonuses; no added building synergy adopted",0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Barracks,Ancient,MILITARY_TRAINING,75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,,0,,0,,0,0,,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,1,0,0,0,0,1,0,0,0,VP_EXACT_ADOPTED,"VP verified: Barracks gives Supply +1, Distress reduction 1 and +1 Science; existing XP retained.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Grove,Ancient,RELIGION_NATURE,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,UNIMPROVED_NATURAL_TILE_FAITH=+1; APPEAL_SYSTEM_NOT_REQUIRED,B_CIV6_ADAPTED,LOCKED_BUILDING_V1,Civ6/direct-city adaptation to Civ5 scale,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
