RECORD_ID,PROJECT_ERA,UNLOCK_TYPE,CONTENT_EN,TECH_GATE,CIVIC_GATE,GATE_MODE,SOURCE,SOURCE_UNLOCK,DECISION,REASON,NOTES
"EM001","Early Medieval","CITY_BUILDING","Castle","Castles","","TECH","Civ5 BNW; Civ6 GS","Chivalry Castle / Castles Medieval Walls","MERGE","Merge Civ5 Castle and Civ6 Medieval Walls into one Civ V-style defensive city building","Requires Walls"
"EM002","Early Medieval","UNIT","Courser","Stirrups","","TECH","Civ6 GS","Castles","REMAP_TECH","Light/heavy cavalry progression belongs with mounted-combat technology rather than masonry/fortification","Final generic cavalry roster still audited separately"
"EM003","Early Medieval","WONDER","Alhambra","Castles","","TECH","Civ6 GS","Castles","DEFER_WONDER","World Wonder audit separate",""
"EM004","Early Medieval","SYSTEM","Catherine-specific Spy at Castles","","","NONE","Civ6 GS","Castles","DEFER_CIV_UNIQUE","Leader-specific ability is not a generic technology unlock",""
"EM005","Early Medieval","UNIT","Fire Lance","Gunpowder","","TECH","Historical addition; Civ5/Civ6 Gunpowder reinterpretation","Gunpowder","KEEP","Project intentionally moves Gunpowder to its historically early stage, so an early gunpowder weapon is required instead of anachronistic Musketman","Requires Niter"
"EM006","Early Medieval","SYSTEM","Gunpowder Munitions","Gunpowder","","TECH","Historical addition; Civ5/Civ6 Gunpowder","Gunpowder","KEEP","Turns previously revealed Niter into a military strategic input for incendiary/explosive weapons","Niter reveal remains Military Engineering"
"EM007","Early Medieval","UNIT","Musketman","Metallurgy","","TECH","Civ5 BNW; Civ6 GS remap","Gunpowder","REMAP_TECH","Civ5/Civ6 use Musketman at Gunpowder, but project Gunpowder is centuries earlier; mature shoulder firearms belong to later metallurgy/firearms stage","Reconfirm during Renaissance audit"
"EM008","Early Medieval","YIELD_UPGRADE","Quarry +1 Production","Gunpowder","","TECH","Civ6 GS","Gunpowder","DROP","Source effect is not a good representation of early gunpowder; blasting-based quarry productivity is much later",""
"EM009","Early Medieval","UNIT","Conquistador / Hwacha / Janissary / other unique gunpowder units","Gunpowder","","TECH","Civ5 BNW; Civ6 GS","Gunpowder","DEFER_CIV_UNIQUE","Civilization-specific units remain unique and will be placed at historically appropriate later weapon stages",""
"EM010","Early Medieval","CITY_BUILDING","Woodblock Printing House","Block Printing","Written Culture","TECH+CIVIC","Historical addition; Asian Art Museum woodblock-printing history","Block Printing","KEEP","Physical printing technique plus a literate manuscript culture are both needed for a durable publishing institution","Upgrades/requires Scriptorium"
