"CIVIC_EN","CIVIC_KO","PROJECT_ERA","ERA_INDEX","PREREQUISITES_AND","SOURCE","EDGE_STATUS","SUCCESSORS"
"Code of Laws","법전","Ancient","1","","CIV6","ROOT","Craftsmanship; Foreign Trade"
"Craftsmanship","장인 정신","Ancient","1","Code of Laws","CIV6","ORIGINAL","Military Tradition; State Workforce"
"Foreign Trade","외국 무역","Ancient","1","Code of Laws","CIV6","ORIGINAL","Early Empire; Mysticism"
"Military Tradition","군사 전통","Ancient","1","Craftsmanship","CIV6","ORIGINAL","Military Training"
"State Workforce","국가 노동력","Ancient","1","Craftsmanship","CIV6","ORIGINAL","Games and Recreation; Political Philosophy"
"Early Empire","초기 제국","Ancient","1","Foreign Trade","CIV6","ORIGINAL","Political Philosophy; Drama and Poetry"
"Mysticism","신비주의","Ancient","1","Foreign Trade","CIV6","ORIGINAL","Theology"
"Games and Recreation","오락과 여가","Classical","2","State Workforce","CIV6","ORIGINAL","Military Training; Defensive Tactics"
"Political Philosophy","정치 철학","Classical","2","State Workforce; Early Empire","CIV6","ORIGINAL","Recorded History; Defensive Tactics"
"Drama and Poetry","드라마와 시","Classical","2","Early Empire","CIV6","ORIGINAL","Recorded History; Theology"
"Military Training","군사 훈련","Classical","2","Military Tradition; Games and Recreation","CIV6","ORIGINAL","Mercenaries"
"Recorded History","역사 기록","Classical","2","Political Philosophy; Drama and Poetry","CIV6","ORIGINAL","Civil Service"
"Defensive Tactics","방어술","Late Antiquity","3","Games and Recreation; Political Philosophy","CIV6","ORIGINAL_MOVED_ERA","Naval Tradition; Civil Service; Feudalism"
"Theology","신학","Late Antiquity","3","Mysticism; Drama and Poetry","CIV6","ORIGINAL_MOVED_ERA","Written Culture; Divine Right"
"Naval Tradition","해군 전통","Late Antiquity","3","Defensive Tactics","CIV6","ORIGINAL_MOVED_ERA","Mercantilism"
